,County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
185,Pecos,39731,628667000,52763,50303,18.7,23.1
186,Polk,39818,2044752000,50416,41096,16.7,26.6
187,Potter,46086,5411245000,41138,47140,20.3,26.1
188,Presidio,46581,312276000,33499,42904,19.2,29.1
189,Rains,34819,435726000,65657,34052,13.4,22.9
190,Randall,49544,6822849000,70694,44893,9.0,12.1
191,Reagan,51945,199938000,67384,73895,8.9,12.2
192,Real,36070,124513000,40834,27178,17.7,32.7
193,Red River,43039,517458000,41325,36410,19.6,27.2
194,Reeves,45458,726234000,48990,67430,22.1,24.6
195,Refugio,46464,322835000,46883,42607,18.0,27.0
196,Roberts,48344,41286000,70705,47697,7.4,9.3
197,Robertson,42463,725012000,47016,45868,20.7,31.0
198,Rockwall,62237,6529641000,105763,42974,4.8,6.5
199,Runnels,41929,430361000,48650,37745,17.2,23.7
200,Rusk,37697,2050937000,56036,44895,15.4,20.4
201,Sabine,36627,386124000,43778,36876,17.6,26.6
202,San Augustine,42299,348414000,40094,44306,22.5,32.1
203,San Jacinto,36260,1046419000,42633,36308,16.8,26.2
204,San Patricio,46506,3103332000,57302,48784,14.4,20.6
205,San Saba,40521,245352000,46061,41989,20.7,34.4
206,Schleicher,42255,118018000,53286,47603,15.0,23.4
207,Scurry,42915,716802000,56299,57016,14.7,18.3
208,Shackelford,113163,369478000,65095,58647,12.7,17.5
209,Shelby,41767,1055615000,39708,40288,21.4,32.5
210,Sherman,97002,293139000,55473,46705,11.1,13.7
211,Smith,56292,13102118000,59538,46803,12.9,17.8
212,Somervell,45812,418168000,67897,65884,9.4,14.2
213,Starr,27713,1791172000,32516,31251,32.5,43.2
214,Stephens,43971,411828000,46658,39063,17.0,26.9
215,Sterling,61920,79939000,66790,45189,10.7,12.9
216,Stonewall,58541,79030000,48267,41116,15.1,20.2
217,Sutton,61646,232776000,63427,66193,13.1,17.8
218,Swisher,51779,383008000,44388,38412,20.6,29.1
219,Tarrant,53292,112046590000,70130,57802,10.2,13.9
220,Taylor,47793,6597086000,54465,44118,14.0,18.9
221,Terrell,49591,38483000,45677,41992,17.5,20.7
222,Terry,37741,465616000,42953,45301,21.6,31.0
223,Throckmorton,41454,62223000,42746,31200,13.9,27.2
224,Titus,37070,1214043000,49924,38269,16.3,23.2
225,Tom Green,48876,5826055000,54774,45109,12.9,17.4
226,Travis,71666,91299737000,80690,69809,10.8,13.6
227,Trinity,36062,528344000,43788,34744,17.9,29.8
228,Tyler,32978,714706000,48254,35994,17.2,23.3
229,Upshur,37563,1568358000,53078,39921,14.9,21.1
230,Upton,47118,172310000,58908,78995,13.8,18.8
231,Uvalde,41116,1099483000,44690,35851,19.8,29.9
232,Val Verde,38331,1879200000,45034,38256,20.8,28.9
233,Van Zandt,39609,2241467000,55554,36491,13.6,19.5
234,Victoria,48938,4506415000,57344,47507,14.3,22.6
235,Walker,29838,2177308000,47519,41910,21.4,22.4
236,Waller,42456,2345508000,61822,46350,13.2,18.2
237,Ward,53870,646330000,61396,65553,12.4,15.8
238,Washington,55735,1999888000,59039,40911,10.6,17.5
239,Webb,32466,8981800000,52576,37237,20.9,28.7
240,Wharton,45221,1879217000,49901,41926,16.4,21.5
241,Wheeler,44309,224025000,58544,47217,11.6,17.5
242,Wichita,44479,5881416000,51535,41493,13.9,17.4
243,Wilbarger,46314,591379000,42570,38348,14.9,21.4
244,Willacy,27584,589147000,35821,37959,30.5,38.1
245,Williamson,53145,31384616000,92661,61857,5.4,6.5
246,Wilson,46448,2372083000,76905,41496,8.3,11.7
247,Winkler,63667,509969000,64894,69953,12.5,17.9
248,Wise,44870,3140164000,70468,48240,8.3,11.7
249,Wood,39803,1812585000,56945,38780,14.3,22.3
250,Yoakum,44932,391489000,62636,65683,10.6,14.9
251,Young,50732,913684000,52643,43489,13.6,20.4
252,Zapata,28936,410289000,36069,52913,30.1,43.7
253,Zavala,30779,364421000,32538,39689,29.6,40.4
