,Project Types,Total Year-Round Beds 2018,Total Year-Round Beds 2019,Difference
0,ES,3682,4212,530
1,TH,969,985,16
2,PSH,1126,977,-149
3,RRH,960,859,-101
4,Total,6737,7033,296
