Area,County,Hourly wage necessary to afford 2 BR FMR,Housing Costs: 2 BR FMR,Housing Costs: Annual income needed to affor 2 BR FMR,Housing Costs: Full-time jobs at minimum wage needed to afford 2 BR FMR,Annual Area Median Income (AMI),Monthly rent affordable at AMI,30% of AMI,Monthly rent affordable at 30% of AMI,Renter households,% of total households,Estimated hourly mean renter wage,Rent affordable at mean renter wage,Full-time jobs at mean renter wage needed to afford 2 BR FMR
Counties,Cherokee County,14.31,744,29760,2.0,56300,1408,16890,422,5104,28%,11.78,612,1.2
Counties,Childress County,16.06,835,33400,2.2,58800,1470,17640,441,966,40%,15.15,788,1.1
Counties,Clay County,16.00,832,33280,2.2,69000,1725,20700,518,642,16%,11.37,591,1.4
Counties,Cochran County,14.12,734,29360,1.9,64500,1613,19350,484,216,22%,12.04,626,1.2
Counties,Coke County,14.12,734,29360,1.9,63300,1583,18990,475,425,26%,19.50,1014,0.7
Counties,Coleman County,14.12,734,29360,1.9,56100,1403,16830,421,870,25%,12.12,630,1.2
Counties,Collin County,26.00,1352,54080,3.6,89000,2225,26700,668,119335,35%,22.13,1151,1.2
Counties,Collingsworth County,14.12,734,29360,1.9,53100,1328,15930,398,256,25%,11.98,623,1.2
Counties,Colorado County,14.56,757,30280,2.0,62000,1550,18600,465,1308,18%,13.51,703,1.1
Counties,Comal County,21.42,1114,44560,3.0,74100,1853,22230,556,12904,25%,12.70,661,1.7
Counties,Comanche County,14.12,734,29360,1.9,57200,1430,17160,429,1098,20%,11.93,620,1.2
Counties,Concha County,16.23,844,33760,2.2,60500,1513,18150,454,226,25%,11.59,603,1.4
Counties,Cooke County,16.15,840,33600,2.2,72900,1823,21870,547,4709,31%,14.87,773,1.1
Counties,Coryell County,15.67,815,32600,2.2,64700,1618,19410,485,9391,42%,16.21,843,1.0
Counties,Cottle County,14.12,734,29360,1.9,47500,1188,14250,356,310,44%,14.65,762,1.0
Counties,Crane County,14.12,734,29360,1.9,81000,2025,24300,608,204,14%,19.07,992,0.7
Counties,Crockett County,14.12,734,29360,1.9,68200,1705,20460,512,353,26%,15.01,781,0.9
Counties,Crosby County,17.23,896,35840,2.4,72800,1820,21840,546,509,25%,12.45,648,1.4
Counties,Culberson County t,14.46,752,30080,2.0,42400,1060,12720,318,193,33%,,,
Counties,Dallam County,14.65,762,30480,2.0,65000,1625,19500,488,841,36%,14.89,774,1.0
Counties,Dallas County,26.00,1352,54080,3.6,89000,2225,26700,668,464121,50%,27.02,1405,1.0
Counties,Dawson County,14.12,734,29360,1.9,55700,1393,16710,418,1327,31%,9.57,497,1.5
Counties,Deaf Smith County,16.58,862,34480,2.3,63500,1588,19050,476,2210,36%,19.42,1010,0.9
Counties,Delta County,14.12,734,29360,1.9,58300,1458,17490,437,436,22%,8.01,417,1.8
Counties,Denton County,26.00,1352,54080,3.6,89000,2225,26700,668,101387,35%,15.23,792,1.7
Counties,DeWitt County,15.38,800,32000,2.1,71100,1778,21330,533,1919,27%,15.38,800,1.0
Counties,Dickens County,14.12,734,29360,1.9,59900,1498,17970,449,197,23%,11.35,590,1.2
Counties,Dimmit County,15.21,791,31640,2.1,36500,913,10950,274,1063,34%,25.26,1313,0.6
Counties,Donley County,14.12,734,29360,1.9,56200,1405,16860,422,397,30%,10.71,557,1.3
Counties,Duval County,14.12,734,29360,1.9,47700,1193,14310,358,1213,35%,12.11,630,1.2
Counties,Eastland County,14.12,734,29360,1.9,47500,1188,14250,356,1519,23%,18.98,987,0.7
Counties,Ector County,23.35,1214,48560,3.2,84300,2108,25290,632,18443,35%,24.68,1283,0.9
Counties,Edwards County,15.21,791,31640,2.1,65000,1625,19500,488,114,14%,13.95,726,1.1
Counties,Ellis County,26.00,1352,54080,3.6,89000,2225,26700,668,14685,26%,13.42,698,1.9
Counties,El Paso County,15.98,831,33240,2.2,51600,1290,15480,387,104292,39%,12.13,631,1.3
Counties,Erath County,16.10,837,33480,2.2,67500,1688,20250,506,4972,37%,11.91,619,1.4
Counties,Falls County,14.12,734,29360,1.9,50400,1260,15120,378,1435,28%,6.49,337,2.2
Counties,Fannin County,14.83,771,30840,2.0,66900,1673,20070,502,3336,27%,13.68,711,1.1
Counties,Fayette County,15.33,797,31880,2.1,72300,1808,21690,542,1675,18%,12.05,627,1.3
Counties,Fisher County,14.12,734,29360,1.9,61600,1540,18480,462,422,26%,14.72,765,1.0
Counties,Floyd County,14.81,770,30800,2.0,56000,1400,16800,420,571,25%,13.30,692,1.1
Counties,Foard County,15.21,791,31640,2.1,57900,1448,17370,434,90,17%,7.65,398,2.0
Counties,Fort Bend County,22.62,1176,47040,3.1,79200,1980,23760,594,54300,23%,14.65,762,1.5
Counties,Franklin County,14.88,774,30960,2.1,68100,1703,20430,511,844,21%,16.00,832,0.9
Counties,Freestone County,14.12,734,29360,1.9,65700,1643,19710,493,1524,23%,13.17,685,1.1
Counties,Frio County,14.96,778,31120,2.1,51100,1278,15330,383,1406,31%,20.97,1091,0.7
Counties,Gaines County,14.12,734,29360,1.9,67900,1698,20370,509,1319,23%,20.53,1068,0.7
Counties,Galveston County,22.62,1176,47040,3.1,79200,1980,23760,594,39443,32%,13.69,712,1.7
Counties,Garza County,14.56,757,30280,2.0,66100,1653,19830,496,455,29%,15.40,801,0.9
Counties,Gillespie County,18.60,967,38680,2.6,73900,1848,22170,554,2947,28%,13.23,688,1.4
Counties,Glasscock County t,15.21,791,31640,2.1,76900,1923,23070,577,138,34%,,,
Counties,Goliad County,19.87,1033,41320,2.7,74400,1860,22320,558,545,20%,7.18,373,2.8
Counties,Gonzales County,14.69,764,30560,2.0,64700,1618,19410,485,2408,33%,14.59,759,1.0
Counties,Gray County,15.65,814,32560,2.2,65500,1638,19650,491,2086,26%,16.67,867,0.9
Counties,Grayson County,18.44,959,38360,2.5,70500,1763,21150,529,15698,32%,14.51,755,1.3
Counties,Gregg County,16.35,850,34000,2.3,69700,1743,20910,523,18574,41%,16.84,875,1.0
Counties,Grimes County,14.29,743,29720,2.0,63000,1575,18900,473,2119,24%,14.35,746,1.0
Counties,Guadalupe County,21.42,1114,44560,3.0,74100,1853,22230,556,12611,23%,15.42,802,1.4
Counties,Hale County,14.12,734,29360,1.9,56800,1420,17040,426,4123,38%,13.17,685,1.1
Counties,Hall County,14.12,734,29360,1.9,40700,1018,12210,305,440,35%,9.27,482,1.5
Counties,Hamilton County,14.12,734,29360,1.9,66000,1650,19800,495,542,18%,11.47,597,1.2
Counties,Hansford County,15.65,814,32560,2.2,43400,1085,13020,326,543,30%,21.92,1140,0.7
Counties,Hardeman County,14.12,734,29360,1.9,54900,1373,16470,412,512,32%,12.55,653,1.1
Counties,Hardin County,16.92,880,35200,2.3,65800,1645,19740,494,3874,19%,12.40,645,1.4
Counties,Harris County,22.62,1176,47040,3.1,79200,1980,23760,594,728914,45%,24.88,1294,0.9
Counties,Harrison County,16.00,832,33280,2.2,69100,1728,20730,518,6452,28%,16.67,867,1.0
Counties,Hartley County,16.48,857,34280,2.3,69200,1730,20760,519,626,37%,16.58,862,1.0
Counties,Haskell County,14.12,734,29360,1.9,58500,1463,17550,439,524,24%,9.60,499,1.5
Counties,Hays County,27.58,1434,57360,3.8,98900,2473,29670,742,27698,38%,11.44,595,2.4
Counties,Hemphill County,18.69,972,38880,2.6,70300,1758,21090,527,373,29%,21.84,1136,0.9
Counties,Henderson County,15.42,802,32080,2.1,54800,1370,16440,411,7624,25%,12.39,644,1.2
Counties,Hidalgo County,14.21,739,29560,2.0,45200,1130,13560,339,76182,32%,10.22,531,1.4
Counties,Hill County,14.65,762,30480,2.0,62400,1560,18720,468,3563,27%,13.87,721,1.1
Counties,Hockley County,14.12,734,29360,1.9,59200,1480,17760,444,2357,29%,23.71,1233,0.6
Counties,Hood County,21.29,1107,44280,2.9,76200,1905,22860,572,5018,23%,12.55,653,1.7
Counties,Hopkins County,15.06,783,31320,2.1,64700,1618,19410,485,4081,30%,13.81,718,1.1
Counties,Houston County,14.12,734,29360,1.9,48800,1220,14640,366,2478,30%,16.50,858,0.9
Counties,Howard County,18.54,964,38560,2.6,63400,1585,19020,476,3829,35%,18.21,947,1.0
Counties,Hudspeth County,14.12,734,29360,1.9,31500,788,9450,236,275,28%,26.35,1370,0.5
Counties,Hunt County,26.00,1352,54080,3.6,89000,2225,26700,668,10329,31%,15.78,821,1.6
Counties,Hutchinson County,15.65,814,32560,2.2,65800,1645,19740,494,1363,20%,18.41,957,0.9
Counties,Ilion County,18.85,980,39200,2.6,68500,1713,20550,514,153,22%,31.78,1653,0.6
Counties,Jack County,14.12,734,29360,1.9,68400,1710,20520,513,593,19%,11.29,587,1.3
Counties,Jackson County,16.08,836,33440,2.2,73700,1843,22110,553,1495,30%,15.43,802,1.0
Counties,Jasper County,15.83,823,32920,2.2,65100,1628,19530,488,2901,22%,13.18,686,1.2
Counties,Jeff Davis County,16.62,864,34560,2.3,67400,1685,20220,506,194,18%,17.03,886,1.0
Counties,Jefferson County,16.92,880,35200,2.3,65800,1645,19740,494,36196,39%,19.79,1029,0.9
Counties,Jim Hogg County,14.12,734,29360,1.9,45400,1135,13620,341,461,28%,5.95,310,2.4
Counties,Jim Wells County,16.90,879,35160,2.3,55600,1390,16680,417,3817,29%,14.62,760,1.2
Counties,Johnson County,23.88,1242,49680,3.3,80800,2020,24240,606,15278,27%,15.88,826,1.5
Counties,Jones County,18.37,955,38200,2.5,63400,1585,19020,476,1447,25%,15.30,796,1.2
Counties,Karnes County,15.50,806,32240,2.1,67200,1680,20160,504,1092,26%,24.51,1275,0.6
Counties,Kaufman County,26.00,1352,54080,3.6,89000,2225,26700,668,8892,23%,13.26,690,2.0
Counties,Kendall County,24.87,1293,51720,3.4,103800,2595,31140,779,3690,26%,15.68,815,1.6
Counties,Kenedy County,15.21,791,31640,2.1,60900,1523,18270,457,151,77%,40.61,2112,0.4
Counties,Kent County t,15.21,791,31640,2.1,77300,1933,23190,580,83,30%,,,
Counties,Kerr County,16.12,838,33520,2.2,66300,1658,19890,497,6267,29%,13.74,714,1.2
Counties,Kimble County,14.44,751,30040,2.0,55200,1380,16560,414,424,24%,9.91,515,1.5
Counties,King Countyt,17.08,888,35520,2.4,78300,1958,23490,587,51,66%,,,
Counties,Kinney County,16.13,839,33560,2.2,53600,1340,16080,402,313,23%,14.13,735,1.1
Counties,Kleberg County,17.27,898,35920,2.4,54900,1373,16470,412,5174,47%,10.88,566,1.6
Counties,Knox County,14.12,734,29360,1.9,62600,1565,18780,470,235,17%,15.46,804,0.9
Counties,Lamar County,14.77,768,30720,2.0,58700,1468,17610,440,7033,36%,13.50,702,1.1
Counties,Lamb County,14.12,734,29360,1.9,54600,1365,16380,410,1348,29%,18.09,940,0.8
Counties,Lampasas County,15.31,796,31840,2.1,74500,1863,22350,559,1768,23%,9.28,483,1.6
Counties,La Salle County,14.12,734,29360,1.9,53200,1330,15960,399,710,31%,34.60,1799,0.4
Counties,Lavaca County,14.94,777,31080,2.1,67400,1685,20220,506,2015,26%,15.87,825,0.9
Counties,Lee County,17.52,911,36440,2.4,63700,1593,19110,478,1174,19%,19.47,1012,0.9
Counties,Leon County,14.12,734,29360,1.9,63900,1598,19170,479,1458,23%,23.63,1229,0.6
Counties,Liberty County,22.62,1176,47040,3.1,79200,1980,23760,594,6571,24%,15.83,823,1.4
Counties,Limestone County,15.12,786,31440,2.1,55000,1375,16500,413,2173,26%,13.84,720,1.1
Counties,Lipscomb County,14.56,757,30280,2.0,76100,1903,22830,571,312,26%,20.45,1064,0.7
Counties,Live Oak County,14.12,734,29360,1.9,65700,1643,19710,493,677,18%,20.62,1072,0.7
Counties,Llano County,16.90,879,35160,2.3,67000,1675,20100,503,1903,22%,12.14,631,1.4
Counties,Loving Countyt,15.21,791,31640,2.1,97500,2438,29250,731,11,37%,,,
Counties,Lubbock County,17.23,896,35840,2.4,72800,1820,21840,546,50815,45%,13.11,682,1.3
Counties,Lynn County,14.12,734,29360,1.9,55600,1390,16680,417,683,32%,14.09,733,1.0
Counties,McCulloch County,16.33,849,33960,2.3,57600,1440,17280,432,873,28%,15.24,793,1.1
Counties,McLennan County,17.96,934,37360,2.5,61900,1548,18570,464,36713,41%,14.39,748,1.2
Counties,McMullen County,15.21,791,31640,2.1,74100,1853,22230,556,65,24%,26.96,1402,0.6
Counties,Madison County,17.06,887,35480,2.4,64200,1605,19260,482,1103,26%,10.92,568,1.6
Counties,Marion County,14.12,734,29360,1.9,51900,1298,15570,389,1070,23%,11.64,605,1.2
Counties,Martin County,14.12,734,29360,1.9,87600,2190,26280,657,443,26%,25.18,1309,0.6
Counties,Mason County,15.92,828,33120,2.2,60500,1513,18150,454,498,29%,10.80,562,1.5
Counties,Matagorda County,15.54,808,32320,2.1,57900,1448,17370,434,4061,29%,26.44,1375,0.6
Counties,Maverick County,14.15,736,29440,2.0,44400,1110,13320,333,5584,34%,9.07,471,1.6
Counties,Medina County,16.65,866,34640,2.3,76700,1918,23010,575,3074,20%,13.43,699,1.2
Counties,Menard County,14.12,734,29360,1.9,56500,1413,16950,424,313,31%,7.08,368,2.0
Counties,Midland County,26.75,1391,55640,3.7,99100,2478,29730,743,18853,33%,29.43,1531,0.9
Counties,Milam County,14.12,734,29360,1.9,61400,1535,18420,461,2637,29%,14.57,758,1.0
Counties,Mills County,14.12,734,29360,1.9,59200,1480,17760,444,267,15%,7.36,383,1.9
Counties,Mitchell County,14.12,734,29360,1.9,78800,1970,23640,591,501,21%,18.16,944,0.8
Counties,Montague County,16.90,879,35160,2.3,58400,1460,17520,438,2153,28%,13.65,710,1.2
Counties,Montgomery County,22.62,1176,47040,3.1,79200,1980,23760,594,57512,29%,19.43,1011,1.2
Counties,Moore County,15.83,823,32920,2.2,58400,1460,17520,438,2300,34%,18.80,978,0.8
Counties,Morris County,14.12,734,29360,1.9,55900,1398,16770,419,1383,27%,17.81,926,0.8
Counties,Motley County,14.12,734,29360,1.9,60900,1523,18270,457,155,32%,14.48,753,1.0
Counties,Nacogdoches County,16.12,838,33520,2.2,68400,1710,20520,513,10318,43%,9.83,511,1.6
Counties,Navarro County,15.83,823,32920,2.2,60500,1513,18150,454,5391,31%,13.65,710,1.2
Counties,Newton County,14.12,734,29360,1.9,53600,1340,16080,402,818,15%,8.43,438,1.7
Counties,Nolan County,14.17,737,29480,2.0,63300,1583,18990,475,1772,33%,14.22,739,1.0
Counties,Nueces County,20.75,1079,43160,2.9,69300,1733,20790,520,54434,42%,17.05,887,1.2
Counties,Ochiltree County,14.79,769,30760,2.0,65100,1628,19530,488,927,27%,20.36,1059,0.7
Counties,Oldham County,19.71,1025,41000,2.7,77500,1938,23250,581,128,22%,21.14,1099,0.9
Counties,Orange County,16.92,880,35200,2.3,65800,1645,19740,494,7830,25%,17.27,898,1.0
Counties,Palo Pinto County,15.31,796,31840,2.1,58800,1470,17640,441,2799,27%,12.93,673,1.2
Counties,Panola County,15.06,783,31320,2.1,59200,1480,17760,444,2011,23%,17.13,891,0.9
Counties,Parker County,23.88,1242,49680,3.3,80800,2020,24240,606,9366,21%,13.35,694,1.8
Counties,Parmer County,14.12,734,29360,1.9,63200,1580,18960,474,1059,33%,14.98,779,0.9
Counties,Pecos County,17.27,898,35920,2.4,64000,1600,19200,480,1293,28%,20.02,1041,0.9
Counties,Polk County,14.56,757,30280,2.0,58900,1473,17670,442,4322,24%,14.25,741,1.0
Counties,Potter County,17.42,906,36240,2.4,72100,1803,21630,541,19896,45%,16.58,862,1.1
Counties,Presidio County,14.12,734,29360,1.9,38900,973,11670,292,1072,42%,11.59,603,1.2
Counties,Rains County,14.12,734,29360,1.9,67400,1685,20220,506,964,22%,10.62,552,1.3
Counties,Randall County,17.42,906,36240,2.4,72100,1803,21630,541,14411,29%,14.05,730,1.2
Counties,Reagan County,18.73,974,38960,2.6,77800,1945,23340,584,353,33%,28.32,1473,0.7
Counties,Real County,16.46,856,34240,2.3,53600,1340,16080,402,265,24%,9.19,478,1.8
Counties,Red River County,14.12,734,29360,1.9,53800,1345,16140,404,1163,23%,13.79,717,1.0
Counties,Reeves County,15.15,788,31520,2.1,72000,1800,21600,540,969,28%,26.89,1398,0.6
Counties,Refugia County,14.56,757,30280,2.0,61300,1533,18390,460,694,27%,12.01,625,1.2
Counties,Roberts County,15.21,791,31640,2.1,87500,2188,26250,656,61,20%,18.74,974,0.8
Counties,Robertson County,17.48,909,36360,2.4,75600,1890,22680,567,1542,24%,12.17,633,1.4
Counties,Rockwall County,26.00,1352,54080,3.6,89000,2225,26700,668,6016,18%,12.21,635,2.1
Counties,Runnels County,14.35,746,29840,2.0,51200,1280,15360,384,1124,29%,12.74,662,1.1
Counties,Rusk County,14.50,754,30160,2.0,63600,1590,19080,477,4011,22%,13.08,680,1.1
Counties,Sabine County,14.12,734,29360,1.9,48400,1210,14520,363,507,12%,9.14,475,1.5
Counties,San Augustine County,14.75,767,30680,2.0,51800,1295,15540,389,777,23%,14.87,773,1.0
Counties,San Jacinto County,14.12,734,29360,1.9,59100,1478,17730,443,1945,19%,13.79,717,1.0
Counties,San Patricio County,20.75,1079,43160,2.9,69300,1733,20790,520,7253,32%,16.40,853,1.3
Counties,San Saba County,14.12,734,29360,1.9,57900,1448,17370,434,657,32%,12.74,662,1.1
Counties,Schleicher Countyt,15.21,791,31640,2.1,74400,1860,22320,558,227,21%,,,
Counties,Scurry County,16.87,877,35080,2.3,74700,1868,22410,560,1474,25%,20.03,1041,0.8
Counties,Shackelford County,14.12,734,29360,1.9,56700,1418,17010,425,269,20%,27.63,1437,0.5
Counties,Shelby County,14.12,734,29360,1.9,50200,1255,15060,377,2449,26%,11.95,621,1.2
Counties,Sherman County,14.12,734,29360,1.9,67800,1695,20340,509,279,27%,17.70,921,0.8
Counties,Smith County,20.87,1085,43400,2.9,72900,1823,21870,547,26089,34%,15.88,826,1.3
Counties,Somervell County,17.10,889,35560,2.4,61100,1528,18330,458,615,20%,18.69,972,0.9
Counties,Starr County,14.12,734,29360,1.9,33500,838,10050,251,4028,25%,6.54,340,2.2
Counties,Stephens County,14.12,734,29360,1.9,51600,1290,15480,387,582,18%,9.17,477,1.5
Counties,Sterling County,15.21,791,31640,2.1,72300,1808,21690,542,66,14%,21.63,1125,0.7
Counties,Stonewall County,15.21,791,31640,2.1,82100,2053,24630,616,142,24%,10.48,545,1.5
Counties,Sutton County,14.12,734,29360,1.9,66700,1668,20010,500,435,31%,32.58,1694,0.4
Counties,Swisher County,14.12,734,29360,1.9,48500,1213,14550,364,727,29%,12.85,668,1.1
Counties,Tarrant County,23.88,1242,49680,3.3,80800,2020,24240,606,279622,39%,18.90,983,1.3
Counties,Taylor County,18.37,955,38200,2.5,63400,1585,19020,476,20767,42%,15.44,803,1.2
Counties,Terrell Countyt,16.31,848,33920,2.2,60900,1523,18270,457,29,7%,,,
