Area,County,Hourly wage necessary to afford 2 BR FMR,Housing Costs: 2 BR FMR,Housing Costs: Annual income needed to affor 2 BR FMR,Housing Costs: Full-time jobs at minimum wage needed to afford 2 BR FMR,Annual Area Median Income (AMI),Monthly rent affordable at AMI,30% of AMI,Monthly rent affordable at 30% of AMI,Renter households,% of total households,Estimated hourly mean renter wage,Rent affordable at mean renter wage,Full-time jobs at mean renter wage needed to afford 2 BR FMR
Metropolitan,Abilene MSA,18.37,955,38200,2.5,63400,1585,19020,476,23175,38%,15.39,800,1.2
Metropolitan,Amarillo HMFA,17.42,906,36240,2.4,72100,1803,21630,541,34824,36%,16.34,850,1.1
Metropolitan,Aransas County HMFA,17.42,906,36240,2.4,61700,1543,18510,463,1891,20%,14.22,739,1.2
Metropolitan,Atascosa County HMFA,16.94,881,35240,2.3,63000,1575,18900,473,3835,25%,23.17,1205,0.7
Metropolitan,Austin County HMFA,18.38,956,38240,2.5,82700,2068,24810,620,2688,24%,12.18,633,1.5
Metropolitan,Austin-Round Rock MSA,27.58,1434,57360,3.8,98900,2473,29670,742,319758,42%,22.69,1180,1.2
Metropolitan,Beaumont-PortArthur HMFA,16.92,880,35200,2.3,65800,1645,19740,494,47900,33%,18.87,981,0.9
Metropolitan,Brazoria County HMFA,21.90,1139,45560,3.0,93500,2338,28050,701,33878,28%,18.89,982,1.2
Metropolitan,Brownsville-Harlingen MSA,14.48,753,30120,2.0,45900,1148,13770,344,42508,34%,9.71,505,1.5
Metropolitan,College Station-Bryan MSA,17.48,909,36360,2.4,75600,1890,22680,567,45016,49%,12.66,658,1.4
Metropolitan,Corpus Christi HMFA,20.75,1079,43160,2.9,69300,1733,20790,520,61687,40%,16.99,883,1.2
Metropolitan,Dallas HMFA,26.00,1352,54080,3.6,89000,2225,26700,668,724765,42%,24.38,1268,1.1
Metropolitan,El Paso HMFA,15.98,831,33240,2.2,51600,1290,15480,387,104292,39%,12.13,631,1.3
Metropolitan,Falls County HMFA,14.12,734,29360,1.9,50400,1260,15120,378,1435,28%,6.49,337,2.2
Metropolitan,Fort Worth-Arlington HMFA,23.88,1242,49680,3.3,80800,2020,24240,606,304266,38%,18.58,966,1.3
Metropolitan,Hood County HMFA,21.29,1107,44280,2.9,76200,1905,22860,572,5018,23%,12.55,653,1.7
Metropolitan,Houston-The Woodlands-Sugar Land HMFA,22.62,1176,47040,3.1,79200,1980,23760,594,893944,40%,23.31,1212,1.0
Metropolitan,Hudspeth County HMFA,14.12,734,29360,1.9,31500,788,9450,236,275,28%,26.35,1370,0.5
Metropolitan,Kendall County HMFA,24.87,1293,51720,3.4,103800,2595,31140,779,3690,26%,15.68,815,1.6
Metropolitan,Killeen-Temple HMFA,15.67,815,32600,2.2,64700,1618,19410,485,65448,45%,17.17,893,0.9
Metropolitan,Lampasas County HMFA,15.31,796,31840,2.1,74500,1863,22350,559,1768,23%,9.28,483,1.6
Metropolitan,Laredo MSA,17.60,915,36600,2.4,54100,1353,16230,406,28276,38%,10.07,524,1.7
Metropolitan,Longview HMFA,16.35,850,34000,2.3,69700,1743,20910,523,21567,36%,16.50,858,1.0
Metropolitan,Lubbock HMFA,17.23,896,35840,2.4,72800,1820,21840,546,51324,44%,13.10,681,1.3
Metropolitan,Lynn County HMFA,14.12,734,29360,1.9,55600,1390,16680,417,683,32%,14.09,733,1.0
Metropolitan,Martin County HMFA,14.12,734,29360,1.9,87600,2190,26280,657,443,26%,25.18,1309,0.6
Metropolitan,McAllen-Edinburg-Mission,14.21,739,29560,2.0,45200,1130,13560,339,76182,32%,10.22,531,1.4
Metropolitan,Medina County HMFA,16.65,866,34640,2.3,76700,1918,23010,575,3074,20%,13.43,699,1.2
Metropolitan,Midland HMFA,26.75,1391,55640,3.7,99100,2478,29730,743,18853,33%,29.43,1531,0.9
Metropolitan,Newton County HMFA,14.12,734,29360,1.9,53600,1340,16080,402,818,15%,8.43,438,1.7
Metropolitan,Odessa MSA,23.35,1214,48560,3.2,84300,2108,25290,632,18443,35%,24.68,1283,0.9
Metropolitan,Oldham County HMFA,19.71,1025,41000,2.7,77500,1938,23250,581,128,22%,21.14,1099,0.9
Metropolitan,Rusk County HMFA,14.50,754,30160,2.0,63600,1590,19080,477,4011,22%,13.08,680,1.1
Metropolitan,San Angelo MSA,18.85,980,39200,2.6,68500,1713,20550,514,15967,36%,15.44,803,1.2
Metropolitan,San Antonio-New Braunfels HMFA,21.42,1114,44560,3.0,74100,1853,22230,556,293104,38%,16.81,874,1.3
Metropolitan,Sherman-Denison MSA,18.44,959,38360,2.5,70500,1763,21150,529,15698,32%,14.51,755,1.3
Metropolitan,Somervell County HMFA,17.10,889,35560,2.4,61100,1528,18330,458,615,20%,18.69,972,0.9
Metropolitan,Texarkana HMFA,15.88,826,33040,2.2,57800,1445,17340,434,12452,37%,12.59,655,1.3
Metropolitan,Tyler MSA,20.87,1085,43400,2.9,72900,1823,21870,547,26089,34%,15.88,826,1.3
Metropolitan,Victoria MSA,19.87,1033,41320,2.7,74400,1860,22320,558,11453,33%,14.91,775,1.3
Metropolitan,Waco HMFA,17.96,934,37360,2.5,61900,1548,18570,464,36713,41%,14.39,748,1.2
Metropolitan,Wichita Falls MSA,16.00,832,33280,2.2,69000,1725,20700,518,20398,36%,12.88,670,1.2
Metropolitan,Wise County HMFA,20.90,1087,43480,2.9,79700,1993,23910,598,4935,22%,15.06,783,1.4
Counties,Anderson County,14.88,774,30960,2.1,55500,1388,16650,416,5071,30%,17.34,902,0.9
Counties,Andrews County,20.08,1044,41760,2.8,89800,2245,26940,674,1443,26%,26.10,1357,0.8
Counties,Angelina County,16.75,871,34840,2.3,53900,1348,16170,404,10504,34%,12.02,625,1.4
Counties,Aransas County,17.42,906,36240,2.4,61700,1543,18510,463,1891,20%,14.22,739,1.2
Counties,Archer County,16.00,832,33280,2.2,69000,1725,20700,518,564,16%,9.37,487,1.7
Counties,Armstrong County,17.42,906,36240,2.4,72100,1803,21630,541,83,12%,26.07,1356,0.7
Counties,Atascosa County,16.94,881,35240,2.3,63000,1575,18900,473,3835,25%,23.17,1205,0.7
Counties,Austin County,18.38,956,38240,2.5,82700,2068,24810,620,2688,24%,12.18,633,1.5
Counties,Bailey County,14.12,734,29360,1.9,51600,1290,15480,387,522,25%,15.23,792,0.9
Counties,Bandera County,21.42,1114,44560,3.0,74100,1853,22230,556,1258,15%,10.81,562,2.0
Counties,Bastrop County,27.58,1434,57360,3.8,98900,2473,29670,742,5709,22%,13.18,685,2.1
Counties,Baylor County,14.12,734,29360,1.9,57300,1433,17190,430,423,28%,10.03,521,1.4
Counties,Bee County,17.79,925,37000,2.5,49900,1248,14970,374,3084,37%,13.05,678,1.4
Counties,Bell County,15.67,815,32600,2.2,64700,1618,19410,485,56057,46%,17.27,898,0.9
Counties,Bexar County,21.42,1114,44560,3.0,74100,1853,22230,556,263873,41%,17.24,897,1.2
Counties,Blanco County,17.21,895,35800,2.4,72500,1813,21750,544,930,21%,16.11,838,1.1
Counties,Borden County,15.21,791,31640,2.1,94200,2355,28260,707,55,24%,12.76,664,1.2
Counties,Bosque County,14.12,734,29360,1.9,61300,1533,18390,460,1632,23%,15.77,820,0.9
Counties,Bowie County,15.88,826,33040,2.2,57800,1445,17340,434,12452,37%,12.59,655,1.3
Counties,Brazoria County,21.90,1139,45560,3.0,93500,2338,28050,701,33878,28%,18.89,982,1.2
Counties,Brazos County,17.48,909,36360,2.4,75600,1890,22680,567,41987,53%,12.38,644,1.4
Counties,Brewster County,15.87,825,33000,2.2,62000,1550,18600,465,1725,42%,14.07,732,1.1
Counties,Briscoe County,14.12,734,29360,1.9,56700,1418,17010,425,185,31%,13.12,682,1.1
Counties,Brooks County,14.12,734,29360,1.9,31300,783,9390,235,820,39%,9.12,474,1.5
Counties,Brown County,15.40,801,32040,2.1,60500,1513,18150,454,3968,28%,12.64,657,1.2
Counties,Burleson County,17.48,909,36360,2.4,75600,1890,22680,567,1487,22%,18.57,966,0.9
Counties,Burnet County,16.63,865,34600,2.3,71100,1778,21330,533,3819,23%,14.30,743,1.2
Counties,Caldwell County,27.58,1434,57360,3.8,98900,2473,29670,742,4389,33%,12.04,626,2.3
Counties,Calhoun County,15.81,822,32880,2.2,72100,1803,21630,541,2064,27%,27.24,1416,0.6
Counties,Callahan County,18.37,955,38200,2.5,63400,1585,19020,476,961,18%,14.04,730,1.3
Counties,Cameron County,14.48,753,30120,2.0,45900,1148,13770,344,42508,34%,9.71,505,1.5
Counties,Camp County,14.12,734,29360,1.9,55300,1383,16590,415,1270,28%,13.32,693,1.1
Counties,Carson County,17.42,906,36240,2.4,72100,1803,21630,541,434,19%,26.59,1382,0.7
Counties,Cass County,14.12,734,29360,1.9,55900,1398,16770,419,2465,21%,11.64,605,1.2
Counties,Castro County,14.12,734,29360,1.9,54300,1358,16290,407,900,36%,13.28,690,1.1
Counties,Chambers County,22.62,1176,47040,3.1,79200,1980,23760,594,2400,17%,16.54,860,1.4
