,County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,Population_Poverty%,Population_Under_18_Poverty%
0,Anderson,"$36,027 ","$2,080,020,000 ","$48,461 ","$45,799 ",19.8,23.8
1,Andrews,"$51,769 ","$968,334,000 ","$74,918 ","$69,845 ",10.2,12.7
2,Angelina,"$39,644 ","$3,437,761,000 ","$51,750 ","$40,974 ",15.6,22.6
3,Aransas,"$51,614 ","$1,213,451,000 ","$53,085 ","$39,316 ",18.7,32.1
4,Archer,"$52,335 ","$447,617,000 ","$63,731 ","$38,006 ",10.3,12.8
5,Armstrong,"$53,422 ","$100,807,000 ","$64,424 ","$42,240 ",10.6,16.7
6,Atascosa,"$37,644 ","$1,925,578,000 ","$57,309 ","$55,264 ",14.7,19.0
7,Austin,"$51,118 ","$1,535,171,000 ","$68,311 ","$49,650 ",11.1,17.0
8,Bailey,"$44,665 ","$312,657,000 ","$46,174 ","$39,542 ",15.9,25.8
9,Bandera,"$44,925 ","$1,038,296,000 ","$59,604 ","$37,215 ",12.9,23.6
10,Bastrop,"$38,289 ","$3,397,143,000 ","$62,627 ","$40,661 ",14.0,23.8
11,Baylor,"$46,615 ","$163,573,000 ","$41,539 ","$34,452 ",15.9,24.5
12,Bee,"$29,792 ","$970,173,000 ","$44,171 ","$38,345 ",24.0,27.8
13,Bell,"$43,919 ","$15,939,217,000 ","$54,831 ","$48,842 ",13.8,18.4
14,Bexar,"$47,830 ","$95,829,678,000 ","$58,956 ","$52,560 ",15.2,22.4
15,Blanco,"$54,814 ","$653,991,000 ","$68,404 ","$49,686 ",8.6,14.7
16,Borden,"$61,287 ","$40,082,000 ","$71,926 ","$41,767 ",10.6,15.4
17,Bosque,"$42,366 ","$791,602,000 ","$55,179 ","$41,632 ",13.7,19.7
18,Bowie,"$41,172 ","$3,839,053,000 ","$51,207 ","$41,088 ",16.8,23.3
19,Brazoria,"$48,374 ","$18,104,830,000 ","$83,704 ","$58,755 ",8.6,11.1
20,Brazos,"$41,348 ","$9,477,504,000 ","$54,471 ","$42,552 ",20.0,19.4
21,Brewster,"$48,422 ","$445,624,000 ","$48,581 ","$40,642 ",13.1,19.8
22,Briscoe,"$44,413 ","$68,663,000 ","$44,259 ","$32,043 ",15.0,24.6
23,Brooks,"$36,558 ","$259,309,000 ","$31,410 ","$43,244 ",29.6,44.4
24,Brown,"$39,661 ","$1,501,734,000 ","$56,040 ","$38,752 ",13.7,21.8
25,Burleson,"$45,970 ","$847,823,000 ","$61,745 ","$47,721 ",13.8,21.8
26,Burnet,"$49,731 ","$2,394,797,000 ","$62,827 ","$43,862 ",10.5,16.3
27,Caldwell,"$34,617 ","$1,511,526,000 ","$55,301 ","$38,478 ",14.4,20.5
28,Calhoun,"$46,208 ","$983,763,000 ","$55,909 ","$69,405 ",14.7,22.6
29,Callahan,"$41,962 ","$585,075,000 ","$50,812 ","$41,919 ",12.1,18.7
30,Cameron,"$29,928 ","$12,664,258,000 ","$40,893 ","$34,689 ",25.5,36.3
31,Camp,"$37,111 ","$485,926,000 ","$47,091 ","$39,949 ",16.6,26.1
32,Carson,"$48,571 ","$287,829,000 ","$69,760 ","$85,618 ",8.5,11.0
33,Cass,"$37,566 ","$1,127,953,000 ","$44,529 ","$37,854 ",17.3,23.6
34,Castro,"$64,427 ","$485,133,000 ","$51,736 ","$37,842 ",15.3,22.7
35,Chambers,"$56,610 ","$2,481,633,000 ","$93,351 ","$68,196 ",8.6,11.9
36,Cherokee,"$35,245 ","$1,855,486,000 ","$46,576 ","$37,122 ",16.5,22.7
37,Childress,"$30,731 ","$224,520,000 ","$44,095 ","$39,493 ",21.9,25.9
38,Clay,"$44,295 ","$463,811,000 ","$59,983 ","$38,090 ",11.5,16.0
39,Cochran,"$39,333 ","$112,216,000 ","$43,742 ","$41,906 ",19.5,30.1
40,Coke,"$41,669 ","$141,132,000 ","$48,435 ","$41,707 ",13.1,17.9
41,Coleman,"$42,683 ","$348,937,000 ","$44,834 ","$32,780 ",17.7,30.4
42,Collin,"$68,474 ","$70,852,208,000 ","$96,847 ","$68,366 ",6.1,6.8
43,Collingsworth,"$42,026 ","$122,717,000 ","$40,314 ","$40,776 ",19.8,35.8
44,Colorado,"$46,909 ","$1,008,214,000 ","$55,607 ","$44,297 ",13.6,20.9
45,Comal,"$60,056 ","$9,381,221,000 ","$87,976 ","$45,313 ",6.7,9.4
46,Comanche,"$43,242 ","$589,606,000 ","$54,122 ","$35,799 ",13.5,22.1
47,Concho,"$35,758 ","$97,476,000 ","$43,321 ","$40,265 ",15.1,27.0
48,Cooke,"$52,875 ","$2,181,468,000 ","$61,186 ","$48,263 ",12.7,18.4
49,Coryell,"$35,570 ","$2,701,551,000 ","$53,083 ","$43,292 ",11.8,15.7
50,Cottle,"$60,260 ","$84,244,000 ","$40,449 ","$45,590 ",18.9,32.5
51,Crane,"$51,025 ","$244,768,000 ","$68,626 ","$58,450 ",9.6,13.6
52,Crockett,"$44,458 ","$154,002,000 ","$54,165 ","$44,046 ",13.8,19.3
53,Crosby,"$37,580 ","$215,596,000 ","$38,871 ","$39,051 ",22.1,33.6
54,Culberson,"$59,506 ","$129,188,000 ","$44,462 ","$55,299 ",19.7,30.6
55,Dallam,"$64,756 ","$471,877,000 ","$55,793 ","$45,744 ",11.4,17.4
56,Dallas,"$62,782 ","$165,463,378,000 ","$61,807 ","$71,047 ",14.0,20.9
57,Dawson,"$40,131 ","$510,783,000 ","$48,165 ","$41,594 ",20.6,28.9
58,Deaf Smith,"$52,368 ","$971,214,000 ","$46,178 ","$43,165 ",17.0,24.8
59,Delta,"$40,622 ","$216,558,000 ","$51,348 ","$27,058 ",16.0,25.5
60,Denton,"$59,414 ","$52,712,796,000 ","$90,910 ","$51,064 ",6.5,7.1
61,DeWitt,"$59,389 ","$1,197,273,000 ","$52,544 ","$47,891 ",17.1,24.3
62,Dickens,"$33,843 ","$74,826,000 ","$41,973 ","$33,430 ",19.4,26.2
63,Dimmit,"$38,800 ","$392,812,000 ","$40,315 ","$58,160 ",25.3,34.8
64,Donley,"$45,531 ","$149,251,000 ","$41,093 ","$31,965 ",16.4,24.5
65,Duval,"$39,029 ","$435,444,000 ","$37,100 ","$38,808 ",23.9,33.5
66,Eastland,"$78,826 ","$1,447,238,000 ","$46,991 ","$52,027 ",16.7,24.2
67,Ector,"$50,161 ","$8,337,928,000 ","$65,564 ","$64,472 ",12.1,17.0
68,Edwards,"$45,429 ","$87,769,000 ","$40,424 ","$40,388 ",20.7,34.5
69,El Paso,"$37,715 ","$31,651,549,000 ","$48,629 ","$39,993 ",18.8,26.2
70,Ellis,"$45,968 ","$8,496,165,000 ","$78,341 ","$45,867 ",8.7,12.8
71,Erath,"$40,462 ","$1,727,640,000 ","$53,044 ","$37,314 ",15.2,18.9
72,Falls,"$35,258 ","$609,859,000 ","$41,484 ","$38,232 ",21.6,28.1
73,Fannin,"$39,830 ","$1,414,505,000 ","$56,123 ","$42,205 ",13.2,16.1
74,Fayette,"$54,552 ","$1,382,683,000 ","$62,195 ","$42,509 ",10.9,15.3
75,Fisher,"$44,630 ","$170,934,000 ","$51,053 ","$43,639 ",13.3,22.2
76,Floyd,"$44,646 ","$255,020,000 ","$45,022 ","$36,360 ",17.3,30.3
77,Foard,"$44,895 ","$51,854,000 ","$38,615 ","$30,348 ",17.0,26.2
78,Fort Bend,"$59,653 ","$48,419,712,000 ","$101,361 ","$52,506 ",6.6,7.4
79,Franklin,"$41,307 ","$443,022,000 ","$50,630 ","$43,137 ",14.4,22.8
80,Freestone,"$38,182 ","$752,829,000 ","$52,511 ","$42,993 ",15.5,19.5
81,Frio,"$30,223 ","$613,716,000 ","$40,360 ","$52,360 ",27.7,35.9
82,Gaines,"$44,405 ","$954,346,000 ","$67,171 ","$55,226 ",13.2,19.5
83,Galveston,"$54,250 ","$18,561,154,000 ","$73,214 ","$51,357 ",11.3,16.1
84,Garza,"$32,601 ","$203,070,000 ","$48,975 ","$43,816 ",24.2,24.4
85,Gillespie,"$63,291 ","$1,708,105,000 ","$62,143 ","$40,023 ",8.5,13.6
86,Glasscock,"$84,623 ","$119,234,000 ","$93,759 ","$56,354 ",7.9,10.7
87,Goliad,"$45,589 ","$349,121,000 ","$56,758 ","$42,771 ",13.4,22.5
88,Gonzales,"$44,789 ","$933,271,000 ","$48,425 ","$43,715 ",16.2,23.7
89,Gray,"$44,127 ","$965,766,000 ","$52,543 ","$50,227 ",14.5,19.0
90,Grayson,"$43,987 ","$5,991,490,000 ","$57,439 ","$44,719 ",11.6,17.1
91,Gregg,"$47,109 ","$5,838,955,000 ","$53,137 ","$48,485 ",16.5,24.2
92,Grimes,"$36,909 ","$1,065,941,000 ","$51,651 ","$51,571 ",15.9,20.5
93,Guadalupe,"$45,797 ","$7,641,166,000 ","$78,801 ","$46,087 ",7.4,11.2
94,Hale,"$35,633 ","$1,190,367,000 ","$49,187 ","$38,710 ",17.9,23.9
95,Hall,"$33,095 ","$98,095,000 ","$35,940 ","$29,765 ",25.4,40.5
96,Hamilton,"$60,584 ","$512,599,000 ","$52,505 ","$38,388 ",14.3,21.9
97,Hansford,"$65,330 ","$352,717,000 ","$58,703 ","$55,688 ",11.7,16.8
98,Hardeman,"$42,023 ","$165,278,000 ","$40,057 ","$37,028 ",19.2,32.9
99,Hardin,"$47,221 ","$2,720,004,000 ","$62,616 ","$44,753 ",12.1,16.2
100,Harris,"$60,002 ","$282,809,166,000 ","$61,638 ","$72,710 ",15.0,21.3
101,Harrison,"$42,891 ","$2,854,497,000 ","$55,171 ","$51,401 ",17.8,26.8
102,Hartley,"$81,238 ","$452,982,000 ","$72,796 ","$42,036 ",8.6,8.3
103,Haskell,"$39,899 ","$225,748,000 ","$38,613 ","$32,726 ",20.7,29.0
104,Hays,"$45,332 ","$10,435,043,000 ","$72,890 ","$42,158 ",11.2,11.3
105,Hemphill,"$57,053 ","$217,886,000 ","$71,299 ","$62,120 ",9.1,11.7
106,Henderson,"$40,135 ","$3,320,621,000 ","$49,896 ","$38,325 ",17.5,30.3
107,Hidalgo,"$27,415 ","$23,815,443,000 ","$41,656 ","$35,208 ",26.9,37.4
108,Hill,"$41,240 ","$1,511,408,000 ","$53,210 ","$42,712 ",13.1,18.1
109,Hockley,"$42,162 ","$970,619,000 ","$51,149 ","$59,590 ",15.5,19.7
110,Hood,"$51,384 ","$3,167,445,000 ","$74,534 ","$45,031 ",9.2,14.8
111,Hopkins,"$41,562 ","$1,541,276,000 ","$50,332 ","$40,013 ",14.7,20.2
