CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH),"(percentage) HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",(percentage) HMIS Participation Rate for Year-Round Beds (ES),(percentage) HMIS Participation Rate for Year-Round Beds (TH),(percentage) HMIS Participation Rate for Year-Round Beds (RRH),(percentage) HMIS Participation Rate for Year-Round Beds (PSH)
4.0,3530.0,3375.0,881.0,2903.0,627.0,0.0,431.0,847.0,2683.0,0.0,171.0,281.0,2822.0,617.0,65.0,10.0,312.0,657.0,2246.0,0.0,95.0,89.0,553.0,264.0,119.0,190.0,437.0,0.0,76.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.0,1187.0,1187.0,422.0,422.0,765.0,0.0,24.0,152.0,5897.0,5897.0,3324.0,353.0,822.0,5075.0,0.0,1371.0,106.0,3913.0,4154.0,4154.0,2932.0,358.0,1091.0,3063.0,0.0,0.0,64.0,24.96,21.25,42.11,100.0,56.37
4.0,2032.0,1847.0,1491.0,1383.0,617.0,32.0,159.0,554.0,1460.0,18.0,215.0,169.0,1208.0,933.0,160.0,33.0,109.0,391.0,974.0,18.0,95.0,66.0,607.0,526.0,50.0,163.0,454.0,0.0,88.0,103.0,32.0,32.0,0.0,0.0,32.0,0.0,32.0,0.0,633.0,633.0,633.0,102.0,353.0,278.0,2.0,25.0,87.0,3545.0,3543.0,2684.0,441.0,1205.0,2325.0,15.0,699.0,80.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.38,67.46,85.25,100.0,75.71
4.0,1783.0,1701.0,1502.0,1193.0,590.0,0.0,223.0,642.0,1141.0,0.0,139.0,216.0,1133.0,1027.0,130.0,3.0,109.0,337.0,856.0,0.0,40.0,54.0,568.0,475.0,114.0,305.0,285.0,0.0,99.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,772.0,766.0,185.0,635.0,137.0,0.0,79.0,63.0,3251.0,3251.0,2624.0,414.0,1335.0,1916.0,0.0,713.0,55.0,2594.0,91.0,91.0,91.0,4.0,12.0,79.0,0.0,31.0,0.0,84.24,86.09,80.51,99.22,80.71
4.0,1112.0,1080.0,836.0,737.0,375.0,0.0,54.0,268.0,838.0,6.0,26.0,55.0,705.0,645.0,119.0,90.0,36.0,194.0,537.0,6.0,18.0,43.0,375.0,191.0,18.0,74.0,301.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,617.0,541.0,136.0,285.0,345.0,0.0,40.0,9.0,823.0,823.0,399.0,36.0,79.0,744.0,0.0,421.0,42.0,518.0,145.0,145.0,145.0,14.0,36.0,109.0,0.0,0.0,24.0,75.18,87.52,50.93,85.87,48.48
4.0,726.0,675.0,675.0,532.0,194.0,0.0,60.0,207.0,519.0,0.0,31.0,32.0,508.0,508.0,78.0,20.0,45.0,160.0,372.0,0.0,15.0,15.0,167.0,167.0,15.0,47.0,147.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,231.0,62.0,184.0,47.0,0.0,47.0,0.0,1156.0,1156.0,868.0,246.0,667.0,489.0,0.0,304.0,10.0,584.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,92.98,95.49,86.08,100.0,75.09
4.0,920.0,875.0,656.0,411.0,509.0,0.0,126.0,567.0,353.0,0.0,83.0,12.0,366.0,159.0,132.0,0.0,21.0,175.0,236.0,0.0,10.0,12.0,509.0,497.0,105.0,392.0,117.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,226.0,226.0,53.0,163.0,63.0,0.0,51.0,0.0,301.0,301.0,71.0,23.0,60.0,241.0,0.0,221.0,2.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,38.69,97.64,100.0,23.59
4.0,381.0,291.0,291.0,201.0,180.0,0.0,54.0,177.0,204.0,0.0,16.0,4.0,171.0,171.0,0.0,0.0,10.0,50.0,151.0,0.0,0.0,0.0,120.0,120.0,44.0,127.0,53.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,24.0,32.0,16.0,0.0,5.0,3.0,514.0,514.0,514.0,35.0,117.0,397.0,0.0,65.0,0.0,368.0,90.0,90.0,49.0,14.0,37.0,53.0,0.0,0.0,0.0,76.38,85.07,66.67,100.0,100.0
4.0,628.0,610.0,544.0,446.0,182.0,0.0,87.0,261.0,367.0,0.0,18.0,34.0,428.0,406.0,0.0,20.0,57.0,163.0,283.0,0.0,12.0,0.0,182.0,138.0,30.0,98.0,84.0,0.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,420.0,118.0,334.0,86.0,0.0,49.0,7.0,658.0,658.0,287.0,43.0,121.0,537.0,0.0,352.0,7.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.62,91.03,75.82,100.0,43.62
4.0,171.0,130.0,73.0,47.0,124.0,0.0,22.0,113.0,58.0,0.0,0.0,26.0,34.0,26.0,66.0,0.0,5.0,47.0,0.0,0.0,0.0,6.0,96.0,47.0,17.0,66.0,58.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,21.0,1.0,20.0,21.0,0.0,21.0,21.0,363.0,363.0,353.0,26.0,149.0,214.0,0.0,148.0,13.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.69,55.32,37.9,51.22,97.25
4.0,1065.0,1052.0,915.0,817.0,248.0,0.0,85.0,248.0,795.0,22.0,16.0,38.0,804.0,667.0,73.0,0.0,51.0,152.0,643.0,22.0,0.0,22.0,248.0,248.0,34.0,96.0,152.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,2.0,2.0,9.0,3.0,0.0,11.0,0.0,555.0,555.0,326.0,75.0,239.0,316.0,0.0,217.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.92,81.64,100.0,16.67,58.74
4.0,1307.0,1263.0,1179.0,947.0,360.0,0.0,167.0,680.0,619.0,8.0,46.0,18.0,903.0,903.0,100.0,7.0,122.0,507.0,432.0,8.0,6.0,10.0,360.0,276.0,45.0,173.0,187.0,0.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,364.0,360.0,99.0,347.0,17.0,0.0,24.0,0.0,726.0,726.0,726.0,92.0,275.0,451.0,0.0,326.0,45.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.21,95.35,76.67,98.9,100.0
4.0,752.0,704.0,696.0,580.0,172.0,0.0,123.0,413.0,333.0,6.0,60.0,16.0,552.0,544.0,0.0,4.0,76.0,258.0,316.0,6.0,60.0,6.0,152.0,152.0,47.0,155.0,17.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,360.0,358.0,90.0,330.0,37.0,0.0,10.0,0.0,1218.0,1218.0,977.0,105.0,370.0,848.0,0.0,348.0,30.0,375.0,47.0,0.0,0.0,13.0,45.0,2.0,0.0,0.0,0.0,92.55,93.79,88.37,97.55,80.21
4.0,494.0,369.0,333.0,310.0,184.0,0.0,40.0,208.0,286.0,0.0,0.0,20.0,233.0,233.0,0.0,0.0,28.0,160.0,150.0,0.0,0.0,0.0,136.0,100.0,12.0,48.0,136.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,139.0,139.0,13.0,46.0,93.0,0.0,64.0,0.0,235.0,235.0,169.0,24.0,66.0,169.0,0.0,52.0,0.0,158.0,65.0,65.0,65.0,5.0,20.0,45.0,0.0,0.0,0.0,67.41,75.16,54.35,100.0,71.91
4.0,1046.0,843.0,351.0,898.0,148.0,0.0,166.0,522.0,514.0,10.0,84.0,46.0,740.0,248.0,83.0,4.0,129.0,437.0,451.0,10.0,41.0,26.0,103.0,103.0,37.0,85.0,63.0,0.0,43.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,403.0,391.0,196.0,627.0,140.0,0.0,63.0,0.0,1338.0,1338.0,696.0,154.0,511.0,827.0,0.0,707.0,0.0,844.0,44.0,44.0,44.0,2.0,7.0,37.0,0.0,44.0,0.0,33.56,27.62,69.59,50.98,52.02
4.0,408.0,242.0,232.0,242.0,166.0,0.0,32.0,186.0,222.0,0.0,0.0,6.0,187.0,181.0,0.0,0.0,16.0,122.0,120.0,0.0,0.0,0.0,55.0,51.0,16.0,64.0,102.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,44.0,44.0,28.0,71.0,3.0,0.0,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.86,74.79,30.72,59.46,100.0
4.0,625.0,554.0,130.0,436.0,189.0,0.0,89.0,481.0,144.0,0.0,23.0,1.0,371.0,39.0,33.0,0.0,70.0,398.0,38.0,0.0,1.0,1.0,183.0,91.0,19.0,83.0,106.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,251.0,251.0,231.0,233.0,18.0,0.0,11.0,0.0,55.0,55.0,36.0,17.0,29.0,26.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,8.94,48.15,100.0,65.45
4.0,145.0,129.0,117.0,123.0,22.0,0.0,16.0,56.0,89.0,0.0,0.0,10.0,107.0,107.0,55.0,5.0,11.0,39.0,84.0,0.0,0.0,0.0,22.0,10.0,5.0,17.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,59.0,17.0,30.0,29.0,0.0,12.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.69,86.99,45.45,100.0,100.0
4.0,331.0,331.0,201.0,222.0,109.0,0.0,12.0,133.0,198.0,0.0,30.0,35.0,222.0,137.0,0.0,0.0,11.0,113.0,109.0,0.0,18.0,0.0,109.0,64.0,1.0,20.0,89.0,0.0,12.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,177.0,177.0,12.0,48.0,129.0,0.0,106.0,0.0,228.0,228.0,54.0,29.0,94.0,134.0,0.0,136.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.73,61.71,58.72,100.0,23.68
4.0,573.0,530.0,424.0,319.0,254.0,0.0,88.0,279.0,289.0,5.0,0.0,16.0,287.0,232.0,16.0,22.0,25.0,105.0,214.0,0.0,0.0,4.0,243.0,192.0,63.0,174.0,75.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,16.0,5.0,5.0,16.0,0.0,0.0,0.0,176.0,176.0,176.0,33.0,120.0,56.0,0.0,0.0,12.0,27.0,115.0,115.0,115.0,13.0,61.0,54.0,0.0,0.0,28.0,74.0,72.73,75.59,76.19,100.0
4.0,416.0,389.0,252.0,272.0,144.0,0.0,64.0,203.0,213.0,0.0,8.0,6.0,260.0,231.0,0.0,18.0,56.0,179.0,93.0,0.0,8.0,0.0,129.0,21.0,8.0,24.0,120.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,163.0,163.0,78.0,27.0,75.0,88.0,0.0,85.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58,84.93,14.58,100.0,47.85
4.0,244.0,209.0,195.0,193.0,51.0,0.0,34.0,107.0,137.0,0.0,0.0,23.0,158.0,152.0,75.0,8.0,26.0,84.0,109.0,0.0,0.0,0.0,51.0,43.0,8.0,23.0,28.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,291.0,291.0,92.0,293.0,41.0,0.0,0.0,24.0,242.0,242.0,127.0,22.0,64.0,178.0,0.0,40.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.92,78.76,84.31,87.13,52.48
4.0,379.0,379.0,169.0,294.0,85.0,0.0,18.0,134.0,240.0,5.0,51.0,5.0,294.0,84.0,18.0,0.0,11.0,90.0,204.0,0.0,15.0,0.0,85.0,85.0,7.0,44.0,36.0,5.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,213.0,213.0,71.0,192.0,21.0,0.0,11.0,0.0,57.0,57.0,57.0,2.0,10.0,47.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.59,28.57,100.0,100.0,100.0
4.0,338.0,338.0,338.0,296.0,42.0,0.0,46.0,173.0,165.0,0.0,0.0,0.0,296.0,296.0,30.0,35.0,42.0,149.0,147.0,0.0,0.0,0.0,42.0,42.0,4.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,213.0,209.0,54.0,198.0,15.0,0.0,0.0,0.0,18.0,18.0,18.0,1.0,4.0,14.0,0.0,18.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,100.0,100.0,98.12,100.0
4.0,148.0,115.0,43.0,82.0,66.0,0.0,29.0,104.0,32.0,12.0,0.0,12.0,64.0,12.0,92.0,0.0,21.0,70.0,0.0,12.0,0.0,12.0,51.0,31.0,8.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,10.0,25.0,75.0,10.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.05,14.63,46.97,11.76,0.0
4.0,223.0,141.0,141.0,172.0,51.0,0.0,45.0,149.0,74.0,0.0,12.0,0.0,114.0,114.0,0.0,0.0,35.0,113.0,59.0,0.0,0.0,0.0,27.0,27.0,10.0,36.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,23.0,75.0,25.0,0.0,9.0,0.0,58.0,58.0,17.0,8.0,21.0,37.0,0.0,41.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23,66.28,52.94,100.0,29.31
