CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH),"(percentage) HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",(percentage) HMIS Participation Rate for Year-Round Beds (ES),(percentage) HMIS Participation Rate for Year-Round Beds (TH),(percentage) HMIS Participation Rate for Year-Round Beds (RRH),(percentage) HMIS Participation Rate for Year-Round Beds (PSH)
0.0,920.0,843.0,666.0,720.0,200.0,0.0,74.0,311.0,598.0,11.0,0.0,111.0,668.0,502.0,176.0,8.0,38.0,183.0,533.0,4.0,0.0,60.0,175.0,164.0,36.0,128.0,65.0,7.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,184.0,184.0,43.0,142.0,70.0,0.0,32.0,22.0,558.0,558.0,341.0,55.0,184.0,374.0,0.0,217.0,10.0,311.0,92.0,92.0,92.0,4.0,8.0,84.0,0.0,0.0,0.0,72.39,69.72,82.0,86.79,61.11
0.0,965.0,504.0,456.0,690.0,275.0,0.0,120.0,411.0,543.0,11.0,14.0,40.0,305.0,281.0,156.0,31.0,91.0,314.0,365.0,11.0,0.0,11.0,199.0,175.0,29.0,97.0,178.0,0.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,9.0,29.0,18.0,0.0,9.0,0.0,405.0,405.0,137.0,51.0,134.0,271.0,0.0,236.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,40.72,63.64,100.0,33.83
1.0,888.0,767.0,612.0,545.0,309.0,34.0,101.0,282.0,594.0,12.0,98.0,42.0,459.0,407.0,0.0,40.0,64.0,182.0,351.0,12.0,85.0,16.0,274.0,171.0,37.0,100.0,209.0,0.0,13.0,26.0,34.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,235.0,235.0,235.0,37.0,101.0,134.0,0.0,37.0,1.0,1823.0,1823.0,1249.0,169.0,448.0,1375.0,0.0,656.0,0.0,189.0,32.0,32.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,68.92,74.68,55.34,100.0,68.51
1.0,396.0,321.0,321.0,274.0,122.0,0.0,66.0,214.0,182.0,0.0,38.0,0.0,221.0,221.0,0.0,12.0,44.0,135.0,139.0,0.0,0.0,0.0,100.0,100.0,22.0,79.0,43.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,114.0,114.0,28.0,88.0,26.0,0.0,17.0,0.0,247.0,247.0,197.0,8.0,33.0,214.0,0.0,50.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.06,80.66,81.97,100.0,79.76
1.0,572.0,517.0,189.0,530.0,42.0,0.0,51.0,213.0,344.0,15.0,0.0,22.0,480.0,152.0,0.0,2.0,40.0,178.0,337.0,15.0,0.0,15.0,37.0,37.0,11.0,35.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,2.0,5.0,8.0,0.0,12.0,0.0,369.0,369.0,74.0,57.0,146.0,223.0,0.0,295.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.04,28.68,88.1,100.0,20.05
1.0,356.0,296.0,296.0,226.0,130.0,0.0,43.0,126.0,230.0,0.0,33.0,0.0,220.0,220.0,0.0,0.0,16.0,47.0,179.0,0.0,33.0,0.0,76.0,76.0,27.0,79.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,4.0,4.0,0.0,8.0,0.0,373.0,373.0,150.0,34.0,114.0,259.0,0.0,223.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.15,97.35,58.46,100.0,40.21
1.0,202.0,133.0,93.0,110.0,92.0,0.0,50.0,136.0,66.0,0.0,4.0,23.0,41.0,5.0,14.0,1.0,23.0,58.0,52.0,0.0,4.0,23.0,92.0,88.0,27.0,78.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,107.0,19.0,75.0,32.0,0.0,3.0,0.0,76.0,76.0,76.0,4.0,12.0,64.0,0.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.04,4.55,95.65,100.0,100.0
2.0,882.0,693.0,328.0,641.0,241.0,0.0,82.0,258.0,624.0,0.0,78.0,23.0,502.0,171.0,0.0,20.0,56.0,188.0,453.0,0.0,31.0,0.0,191.0,157.0,26.0,70.0,171.0,0.0,47.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,237.0,22.0,77.0,160.0,0.0,87.0,0.0,959.0,959.0,551.0,107.0,293.0,666.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.19,26.68,65.15,100.0,57.46
2.0,242.0,142.0,127.0,214.0,28.0,0.0,38.0,112.0,130.0,0.0,15.0,18.0,114.0,99.0,0.0,0.0,31.0,100.0,114.0,0.0,15.0,18.0,28.0,28.0,7.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,66.0,66.0,66.0,17.0,44.0,22.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.48,46.26,100.0,100.0,100.0
2.0,562.0,358.0,225.0,475.0,87.0,0.0,61.0,247.0,315.0,0.0,0.0,0.0,271.0,169.0,0.0,0.0,51.0,212.0,263.0,0.0,0.0,0.0,87.0,56.0,10.0,35.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,212.0,212.0,52.0,153.0,59.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.04,35.58,64.37,100.0,100.0
3.0,1108.0,662.0,579.0,876.0,232.0,0.0,102.0,469.0,634.0,5.0,81.0,5.0,519.0,463.0,23.0,19.0,66.0,358.0,513.0,5.0,5.0,5.0,143.0,116.0,36.0,111.0,121.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,840.0,840.0,129.0,475.0,365.0,0.0,141.0,2.0,1087.0,1087.0,911.0,119.0,424.0,663.0,0.0,536.0,0.0,528.0,8.0,8.0,8.0,1.0,5.0,3.0,0.0,8.0,0.0,52.26,52.85,50.0,100.0,83.81
3.0,965.0,882.0,882.0,584.0,357.0,24.0,132.0,375.0,586.0,4.0,152.0,78.0,521.0,521.0,109.0,12.0,81.0,220.0,360.0,4.0,48.0,8.0,337.0,337.0,51.0,155.0,202.0,0.0,95.0,70.0,24.0,24.0,0.0,0.0,24.0,0.0,9.0,0.0,755.0,740.0,740.0,153.0,570.0,185.0,0.0,35.0,15.0,1759.0,1759.0,952.0,157.0,540.0,1210.0,9.0,807.0,65.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,89.21,94.4,98.01,54.12
3.0,4006.0,3399.0,2891.0,2172.0,1781.0,53.0,587.0,2032.0,1950.0,24.0,329.0,123.0,1761.0,1627.0,0.0,121.0,313.0,1088.0,1068.0,16.0,32.0,47.0,1585.0,1211.0,274.0,944.0,829.0,8.0,244.0,76.0,53.0,53.0,0.0,0.0,53.0,0.0,53.0,0.0,1463.0,1434.0,1436.0,279.0,1053.0,410.0,0.0,287.0,31.0,5857.0,5857.0,5857.0,426.0,1453.0,4404.0,0.0,1124.0,17.0,1192.0,338.0,338.0,338.0,74.0,289.0,49.0,0.0,25.0,10.0,72.17,74.91,68.0,98.15,100.0
4.0,1648.0,1553.0,1553.0,1069.0,559.0,20.0,127.0,419.0,1221.0,8.0,212.0,99.0,988.0,988.0,386.0,15.0,88.0,295.0,766.0,8.0,75.0,24.0,545.0,545.0,39.0,124.0,435.0,0.0,117.0,75.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1486.0,1380.0,1396.0,357.0,1215.0,271.0,0.0,92.0,51.0,3829.0,3761.0,1940.0,484.0,1495.0,2334.0,0.0,1374.0,62.0,2040.0,126.0,126.0,126.0,33.0,126.0,0.0,0.0,0.0,0.0,94.24,92.42,97.5,93.94,50.67
