Year (CY),Type,Source,Implementing Department,Action Category,Direct/Indirect?,Targeted at Homelessness?,Actionable?,Status of the Recommendation/Resolution 
2011.0,3.0,230.0,14.0,3.0,1.0,0.0,1.0,20.0
2011.0,3.0,230.0,14.0,7.0,1.0,0.0,1.0,20.0
2012.0,3.0,234.0,4.0,1.0,1.0,0.0,1.0,20.0
2012.0,3.0,234.0,4.0,1.0,1.0,0.0,1.0,20.0
2015.0,3.0,236.0,4.0,1.0,1.0,0.0,1.0,20.0
2015.0,3.0,236.0,4.0,1.0,1.0,0.0,1.0,20.0
2015.0,3.0,236.0,4.0,1.0,1.0,0.0,1.0,20.0
2015.0,3.0,259.0,14.0,4.0,1.0,0.0,1.0,20.0
2015.0,3.0,259.0,14.0,4.0,1.0,0.0,1.0,20.0
2015.0,3.0,259.0,14.0,4.0,1.0,0.0,1.0,20.0
2015.0,3.0,259.0,14.0,4.0,1.0,0.0,1.0,20.0
2015.0,3.0,259.0,14.0,4.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,4.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,6.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,3.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,4.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,3.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,3.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,7.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,4.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,7.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,4.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,4.0,1.0,0.0,1.0,20.0
2002.0,3.0,261.0,14.0,3.0,1.0,0.0,1.0,20.0
2002.0,3.0,242.0,1.0,5.0,1.0,0.0,1.0,20.0
2002.0,3.0,242.0,1.0,7.0,1.0,0.0,1.0,20.0
2002.0,3.0,242.0,10.0,5.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,1.0,1.0,0.0,1.0,9.0
2002.0,3.0,242.0,0.0,5.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,7.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,4.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,4.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,7.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2003.0,3.0,260.0,14.0,3.0,1.0,0.0,1.0,20.0
2007.0,3.0,235.0,4.0,3.0,1.0,0.0,1.0,20.0
2007.0,3.0,235.0,4.0,7.0,1.0,0.0,1.0,20.0
2007.0,3.0,235.0,4.0,7.0,1.0,0.0,1.0,20.0
2007.0,3.0,235.0,4.0,7.0,1.0,0.0,1.0,20.0
2007.0,3.0,235.0,4.0,7.0,1.0,0.0,1.0,20.0
2007.0,3.0,235.0,4.0,3.0,1.0,0.0,1.0,20.0
2006.0,3.0,239.0,8.0,6.0,1.0,0.0,1.0,20.0
2006.0,3.0,239.0,8.0,3.0,1.0,0.0,1.0,20.0
2006.0,3.0,239.0,8.0,3.0,1.0,0.0,1.0,20.0
2009.0,3.0,244.0,14.0,5.0,1.0,0.0,1.0,20.0
2009.0,3.0,244.0,14.0,5.0,1.0,0.0,1.0,20.0
2009.0,3.0,244.0,14.0,5.0,1.0,0.0,1.0,20.0
2009.0,3.0,244.0,14.0,5.0,1.0,0.0,1.0,20.0
2009.0,3.0,244.0,14.0,3.0,1.0,0.0,1.0,20.0
2009.0,3.0,244.0,14.0,5.0,1.0,0.0,1.0,20.0
2009.0,3.0,244.0,14.0,5.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,0.0,1.0,0.0,1.0,22.0
2017.0,4.0,8.0,9.0,1.0,0.0,0.0,2.0,20.0
2017.0,4.0,8.0,9.0,1.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,1.0,0.0,0.0,2.0,0.0
2017.0,4.0,8.0,9.0,1.0,1.0,0.0,1.0,27.0
2017.0,4.0,8.0,9.0,1.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,1.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,27.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,32.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,22.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,22.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,32.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,22.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,6.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,32.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,22.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,22.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,6.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,4.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,4.0,1.0,0.0,1.0,32.0
2017.0,4.0,8.0,9.0,4.0,1.0,0.0,1.0,32.0
2017.0,4.0,8.0,9.0,4.0,0.0,0.0,2.0,20.0
2017.0,4.0,8.0,9.0,4.0,0.0,0.0,0.0,32.0
2017.0,4.0,8.0,9.0,4.0,1.0,0.0,1.0,32.0
2017.0,4.0,8.0,9.0,4.0,1.0,0.0,1.0,20.0
2017.0,4.0,8.0,9.0,4.0,1.0,0.0,1.0,22.0
2017.0,4.0,8.0,9.0,4.0,1.0,0.0,1.0,29.0
2017.0,4.0,8.0,9.0,4.0,0.0,0.0,0.0,29.0
2007.0,4.0,229.0,9.0,6.0,1.0,0.0,1.0,23.0
2007.0,4.0,229.0,9.0,6.0,1.0,0.0,1.0,15.0
2007.0,4.0,229.0,9.0,7.0,1.0,0.0,1.0,25.0
2007.0,4.0,229.0,9.0,7.0,1.0,0.0,1.0,24.0
2007.0,4.0,229.0,9.0,6.0,1.0,0.0,1.0,31.0
2007.0,4.0,229.0,9.0,6.0,1.0,0.0,1.0,17.0
2007.0,4.0,229.0,9.0,7.0,1.0,0.0,1.0,25.0
2007.0,4.0,229.0,9.0,7.0,1.0,0.0,1.0,23.0
2007.0,4.0,229.0,9.0,7.0,1.0,0.0,1.0,30.0
2007.0,4.0,229.0,9.0,6.0,1.0,0.0,1.0,22.0
2007.0,4.0,229.0,9.0,6.0,0.0,0.0,0.0,16.0
2007.0,4.0,229.0,9.0,6.0,0.0,0.0,0.0,16.0
2007.0,4.0,229.0,9.0,6.0,1.0,0.0,1.0,20.0
2007.0,4.0,229.0,9.0,4.0,1.0,0.0,1.0,28.0
2007.0,4.0,229.0,9.0,4.0,1.0,0.0,1.0,22.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2007.0,4.0,229.0,9.0,4.0,1.0,0.0,1.0,8.0
2007.0,4.0,229.0,9.0,4.0,1.0,0.0,1.0,23.0
2007.0,4.0,229.0,9.0,4.0,1.0,0.0,1.0,33.0
2001.0,4.0,248.0,9.0,6.0,1.0,0.0,1.0,20.0
2001.0,4.0,248.0,9.0,6.0,1.0,0.0,1.0,20.0
2001.0,4.0,248.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,22.0
2002.0,4.0,249.0,9.0,6.0,0.0,0.0,0.0,14.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,3.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,22.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,22.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,22.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,6.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,7.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,4.0,1.0,0.0,1.0,20.0
2002.0,4.0,249.0,9.0,4.0,1.0,0.0,1.0,20.0
2015.0,4.0,253.0,9.0,7.0,1.0,0.0,1.0,20.0
2003.0,4.0,262.0,9.0,0.0,1.0,0.0,1.0,2.0
2003.0,4.0,262.0,9.0,1.0,0.0,0.0,0.0,4.0
2003.0,4.0,262.0,9.0,6.0,1.0,0.0,1.0,20.0
2003.0,4.0,262.0,9.0,7.0,1.0,0.0,1.0,29.0
2003.0,4.0,262.0,9.0,6.0,0.0,0.0,0.0,5.0
2003.0,4.0,262.0,9.0,7.0,1.0,0.0,1.0,7.0
2003.0,4.0,262.0,9.0,6.0,1.0,0.0,1.0,21.0
2003.0,4.0,262.0,9.0,6.0,1.0,0.0,1.0,29.0
2003.0,4.0,262.0,9.0,6.0,1.0,0.0,1.0,2.0
2003.0,4.0,262.0,9.0,4.0,1.0,0.0,1.0,2.0
2003.0,4.0,262.0,9.0,4.0,1.0,0.0,1.0,22.0
2003.0,4.0,262.0,9.0,4.0,1.0,0.0,1.0,22.0
2015.0,2.0,172.0,8.0,7.0,1.0,0.0,1.0,20.0
2015.0,2.0,171.0,8.0,6.0,1.0,0.0,1.0,20.0
2015.0,2.0,173.0,8.0,6.0,1.0,0.0,1.0,20.0
