,Demographic Category,Fiscal Year,Measure,Numerator,Denominator,Rate (%),Fiscal Year Start Date,Fiscal Year End Date
63,5,2018,0,5,14,0.3571,2,2
64,5,2018,0,0,4,0.0,2,2
65,5,2018,0,1,3,0.3333,2,2
66,5,2018,0,0,6,0.0,2,2
67,8,2018,0,121,382,0.3168,2,2
68,8,2018,0,998,3470,0.2876,2,2
69,8,2018,0,1,8,0.125,2,2
70,1,2018,0,619,2761,0.2242,2,2
71,1,2018,0,120,335,0.3582,2,2
72,1,2018,0,67,260,0.2577,2,2
73,1,2018,0,316,515,0.6136,2,2
74,1,2018,0,0,0,0.0,2,2
75,3,2018,0,439,2072,0.2119,2,2
76,3,2018,0,680,1762,0.3859,2,2
77,3,2018,0,2,30,0.0667,2,2
78,6,2019,0,16,66,0.2424,3,3
79,6,2019,0,6,25,0.24,3,3
80,6,2019,0,550,1561,0.3523,3,3
81,6,2019,0,2,20,0.1,3,3
82,6,2019,0,9,47,0.1915,3,3
83,6,2019,0,553,2055,0.2691,3,3
84,4,2019,0,353,979,0.3606,3,3
85,4,2019,0,777,2774,0.2801,3,3
86,4,2019,0,6,21,0.2857,3,3
87,5,2019,0,556,1432,0.3883,3,3
88,5,2019,0,1,6,0.1667,3,3
89,5,2019,0,560,2305,0.243,3,3
90,5,2019,0,13,21,0.619,3,3
91,5,2019,0,4,7,0.5714,3,3
92,5,2019,0,2,3,0.6667,3,3
93,7,2019,0,1017,3397,0.2994,3,3
94,7,2019,0,3,28,0.1071,3,3
95,7,2019,0,116,349,0.3324,3,3
96,0,2019,0,597,2648,0.2255,3,3
97,0,2019,0,368,599,0.6144,3,3
98,0,2019,0,72,243,0.2963,3,3
99,0,2019,0,99,284,0.3486,3,3
100,0,2019,0,0,0,0.0,3,3
101,2,2019,0,639,1657,0.3856,3,3
102,2,2019,0,9,39,0.2308,3,3
103,2,2019,0,488,2078,0.2348,3,3
104,6,2016,1,11,13,0.8462,0,0
105,6,2016,1,10,10,1.0,0,0
106,6,2016,1,485,537,0.9032,0,0
107,6,2016,1,14,14,1.0,0,0
108,6,2016,1,755,790,0.9557,0,0
109,6,2016,1,12,12,1.0,0,0
110,4,2016,1,302,320,0.9438,0,0
111,4,2016,1,976,1047,0.9322,0,0
112,4,2016,1,9,9,1.0,0,0
113,5,2016,1,441,475,0.9284,0,0
114,5,2016,1,839,893,0.9395,0,0
115,5,2016,1,5,6,0.8333,0,0
116,5,2016,1,1,1,1.0,0,0
117,5,2016,1,0,0,0.0,0,0
118,5,2016,1,1,1,1.0,0,0
119,8,2016,1,484,520,0.9308,0,0
120,8,2016,1,796,849,0.9376,0,0
121,8,2016,1,3,3,1.0,0,0
122,1,2016,1,869,922,0.9425,0,0
123,1,2016,1,44,49,0.898,0,0
124,1,2016,1,89,94,0.9468,0,0
125,1,2016,1,285,311,0.9164,0,0
126,1,2016,1,0,0,0.0,0,0
127,3,2016,1,805,857,0.9393,0,0
128,3,2016,1,456,492,0.9268,0,0
129,3,2016,1,15,15,1.0,0,0
130,6,2017,1,14,14,1.0,1,1
131,6,2017,1,10,11,0.9091,1,1
132,6,2017,1,465,502,0.9263,1,1
133,6,2017,1,12,13,0.9231,1,1
134,6,2017,1,797,833,0.9568,1,1
135,6,2017,1,15,15,1.0,1,1
136,4,2017,1,303,313,0.9681,1,1
137,4,2017,1,1000,1065,0.939,1,1
138,4,2017,1,10,10,1.0,1,1
139,5,2017,1,436,466,0.9356,1,1
140,5,2017,1,870,915,0.9508,1,1
141,5,2017,1,5,5,1.0,1,1
142,5,2017,1,1,1,1.0,1,1
143,5,2017,1,0,0,0.0,1,1
144,5,2017,1,1,1,1.0,1,1
145,8,2017,1,502,528,0.9508,1,1
146,8,2017,1,804,853,0.9426,1,1
147,8,2017,1,3,3,1.0,1,1
148,1,2017,1,902,946,0.9535,1,1
149,1,2017,1,47,50,0.94,1,1
150,1,2017,1,98,102,0.9608,1,1
151,1,2017,1,266,290,0.9172,1,1
152,1,2017,1,0,0,0.0,1,1
153,3,2017,1,862,902,0.9557,1,1
154,3,2017,1,426,461,0.9241,1,1
155,3,2017,1,14,14,1.0,1,1
156,6,2018,1,20,21,0.9524,2,2
157,6,2018,1,16,16,1.0,2,2
158,6,2018,1,462,474,0.9747,2,2
159,6,2018,1,14,14,1.0,2,2
160,6,2018,1,806,839,0.9607,2,2
161,6,2018,1,18,18,1.0,2,2
162,4,2018,1,318,326,0.9755,2,2
163,4,2018,1,1007,1045,0.9636,2,2
164,4,2018,1,11,11,1.0,2,2
165,5,2018,1,435,447,0.9732,2,2
166,5,2018,1,893,927,0.9633,2,2
167,5,2018,1,5,5,1.0,2,2
168,5,2018,1,0,0,0.0,2,2
169,5,2018,1,1,1,1.0,2,2
170,5,2018,1,1,1,1.0,2,2
171,8,2018,1,531,554,0.9585,2,2
172,8,2018,1,796,819,0.9719,2,2
173,8,2018,1,4,4,1.0,2,2
174,1,2018,1,916,951,0.9632,2,2
175,1,2018,1,58,60,0.9667,2,2
176,1,2018,1,109,114,0.9561,2,2
177,1,2018,1,253,257,0.9844,2,2
178,1,2018,1,0,0,0.0,2,2
179,3,2018,1,914,948,0.9641,2,2
180,3,2018,1,397,409,0.9707,2,2
181,3,2018,1,15,15,1.0,2,2
182,6,2019,1,25,25,1.0,3,3
183,6,2019,1,16,17,0.9412,3,3
184,6,2019,1,474,491,0.9654,3,3
185,6,2019,1,6,7,0.8571,3,3
186,6,2019,1,18,21,0.8571,3,3
187,6,2019,1,810,837,0.9677,3,3
188,4,2019,1,322,331,0.9728,3,3
189,4,2019,1,1017,1055,0.964,3,3
190,4,2019,1,10,12,0.8333,3,3
191,5,2019,1,436,449,0.971,3,3
192,5,2019,1,2,2,1.0,3,3
193,5,2019,1,903,939,0.9617,3,3
194,5,2019,1,7,7,1.0,3,3
195,5,2019,1,0,0,0.0,3,3
196,5,2019,1,1,1,1.0,3,3
197,7,2019,1,829,855,0.9696,3,3
198,7,2019,1,7,7,1.0,3,3
199,7,2019,1,513,536,0.9571,3,3
200,0,2019,1,904,942,0.9597,3,3
201,0,2019,1,277,281,0.9858,3,3
202,0,2019,1,117,119,0.9832,3,3
203,0,2019,1,51,56,0.9107,3,3
204,0,2019,1,0,0,0.0,3,3
205,2,2019,1,391,402,0.9726,3,3
206,2,2019,1,26,26,1.0,3,3
207,2,2019,1,932,970,0.9608,3,3
208,6,2020,0,16,41,0.390243902,4,4
209,6,2020,0,8,15,0.533333333,4,4
210,6,2020,0,464,1031,0.450048497,4,4
211,6,2020,0,2,4,0.5,4,4
212,6,2020,0,74,189,0.391534392,4,4
213,6,2020,0,14,69,0.202898551,4,4
214,6,2020,0,480,1332,0.36036036,4,4
215,4,2020,0,346,698,0.495702006,4,4
216,4,2020,0,711,1934,0.367631851,4,4
217,4,2020,0,1,49,0.020408163,4,4
218,5,2020,0,504,1124,0.448398577,4,4
219,5,2020,0,1,3,0.333333333,4,4
220,5,2020,0,540,1489,0.362659503,4,4
221,5,2020,0,10,17,0.588235294,4,4
222,5,2020,0,3,6,0.5,4,4
223,5,2020,0,0,42,0.0,4,4
224,7,2020,0,955,2400,0.397916667,4,4
225,7,2020,0,11,62,0.177419355,4,4
226,7,2020,0,92,219,0.420091324,4,4
227,0,2020,0,525,1740,0.301724138,4,4
228,0,2020,0,373,509,0.73280943,4,4
229,0,2020,0,57,176,0.323863636,4,4
230,0,2020,0,0,40,0.0,4,4
231,0,2020,0,103,216,0.476851852,4,4
232,2,2020,0,588,1113,0.528301887,4,4
233,2,2020,0,5,170,0.029411765,4,4
234,2,2020,0,465,1398,0.332618026,4,4
235,6,2020,1,14,14,1.0,4,4
236,6,2020,1,7,7,1.0,4,4
237,6,2020,1,407,421,0.966745843,4,4
238,6,2020,1,2,2,1.0,4,4
239,6,2020,1,64,66,0.96969697,4,4
240,6,2020,1,117,121,0.966942149,4,4
241,6,2020,1,706,726,0.972451791,4,4
242,4,2020,1,247,257,0.961089494,4,4
243,4,2020,1,961,987,0.973657548,4,4
244,4,2020,1,109,113,0.96460177,4,4
245,5,2020,1,353,358,0.98603352,4,4
246,5,2020,1,1,1,1.0,4,4
247,5,2020,1,853,884,0.964932127,4,4
248,5,2020,1,7,7,1.0,4,4
249,5,2020,1,103,107,0.962616822,4,4
250,7,2020,1,713,729,0.978052126,4,4
251,7,2020,1,107,111,0.963963964,4,4
252,7,2020,1,497,517,0.96131528,4,4
253,0,2020,1,857,886,0.967268623,4,4
254,0,2020,1,176,179,0.983240223,4,4
255,0,2020,1,137,141,0.971631206,4,4
256,0,2020,1,102,106,0.962264151,4,4
257,0,2020,1,45,45,1.0,4,4
258,2,2020,1,233,235,0.991489362,4,4
259,2,2020,1,163,169,0.964497041,4,4
260,2,2020,1,921,953,0.966421826,4,4
