,Demographic Category,Fiscal Year,Measure,Numerator,Denominator,Rate (%),Fiscal Year Start Date,Fiscal Year End Date
0,6,2016,0,3,65,0.0462,0,0
1,6,2016,0,8,31,0.2581,0,0
2,6,2016,0,502,1689,0.2972,0,0
3,6,2016,0,7,14,0.5,0,0
4,6,2016,0,510,2082,0.245,0,0
5,6,2016,0,9,36,0.25,0,0
6,4,2016,0,357,1022,0.3493,0,0
7,4,2016,0,678,2884,0.2351,0,0
8,4,2016,0,4,11,0.3636,0,0
9,5,2016,0,511,1496,0.3416,0,0
10,5,2016,0,523,2397,0.2182,0,0
11,5,2016,0,2,12,0.1667,0,0
12,5,2016,0,2,7,0.2857,0,0
13,5,2016,0,0,1,0.0,0,0
14,5,2016,0,1,3,0.3333,0,0
15,8,2016,0,154,394,0.3909,0,0
16,8,2016,0,884,3514,0.2516,0,0
17,8,2016,0,0,2,0.0,0,0
18,1,2016,0,533,2694,0.1978,0,0
19,1,2016,0,68,301,0.2259,0,0
20,1,2016,0,52,211,0.2464,0,0
21,1,2016,0,386,712,0.5421,0,0
22,1,2016,0,0,0,0.0,0,0
23,3,2016,0,328,1837,0.1786,0,0
24,3,2016,0,703,2052,0.3426,0,0
25,3,2016,0,7,28,0.25,0,0
26,6,2017,0,7,56,0.125,1,1
27,6,2017,0,6,40,0.15,1,1
28,6,2017,0,483,1520,0.3178,1,1
29,6,2017,0,3,20,0.15,1,1
30,6,2017,0,434,1996,0.2174,1,1
31,6,2017,0,7,44,0.1591,1,1
32,4,2017,0,263,914,0.2877,1,1
33,4,2017,0,675,2744,0.246,1,1
34,4,2017,0,2,18,0.1111,1,1
35,5,2017,0,423,1172,0.3609,1,1
36,5,2017,0,509,2481,0.2052,1,1
37,5,2017,0,6,15,0.4,1,1
38,5,2017,0,2,5,0.4,1,1
39,5,2017,0,0,1,0.0,1,1
40,5,2017,0,0,1,0.0,1,1
41,8,2017,0,147,422,0.3483,1,1
42,8,2017,0,789,3238,0.2437,1,1
43,8,2017,0,0,9,0.0,1,1
44,1,2017,0,518,2687,0.1928,1,1
45,1,2017,0,71,283,0.2509,1,1
46,1,2017,0,48,213,0.2254,1,1
47,1,2017,0,304,494,0.6154,1,1
48,1,2017,0,0,0,0.0,1,1
49,3,2017,0,347,1764,0.1967,1,1
50,3,2017,0,590,1871,0.3153,1,1
51,3,2017,0,2,35,0.0571,1,1
52,6,2018,0,11,77,0.1429,2,2
53,6,2018,0,12,38,0.3158,2,2
54,6,2018,0,544,1582,0.3439,2,2
55,6,2018,0,2,15,0.1333,2,2
56,6,2018,0,538,2100,0.2562,2,2
57,6,2018,0,15,56,0.2679,2,2
58,4,2018,0,352,963,0.3655,2,2
59,4,2018,0,768,2887,0.266,2,2
60,4,2018,0,2,18,0.1111,2,2
61,5,2018,0,501,1429,0.3506,2,2
62,5,2018,0,615,2414,0.2548,2,2
