,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES).1,Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH).1,Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH).1,Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
0,1885,1347,1122,1410,475,0,194,722,1141,22,14,151,1410,973,783,332,39,129,497,898,15,0,71,475,374,339,65,225,243,7,14,80,0,0,0,0,0,0,0,0,0,259,231,231,52,171,88,0,41,22,963,963,478,106,318,645,0,453,10,459,92,92,92,4,8,84,0,0,0
1,2913,2291,1659,1992,887,34,411,1134,1736,43,185,117,1992,1607,1137,44,67,238,697,1268,27,126,68,887,650,488,173,437,434,16,59,49,34,34,34,0,0,34,0,0,0,477,477,477,88,273,204,0,77,1,3274,3274,1823,311,822,2452,0,1501,4,943,40,40,32,0,0,40,0,0,0
2,1686,1193,680,1330,356,0,181,617,1069,0,93,41,1330,887,439,0,20,138,500,830,0,46,18,356,306,241,43,117,239,0,47,23,0,0,0,0,0,0,0,0,0,490,490,490,74,230,260,0,87,0,1040,1040,632,124,337,703,0,408,0,22,0,0,0,0,0,0,0,0,0
3,6079,4943,4352,3632,2370,77,821,2876,3170,33,562,206,3632,2801,2611,132,152,460,1666,1941,25,85,60,2370,2065,1664,361,1210,1152,8,415,146,77,77,77,0,0,77,0,62,0,3058,3014,3016,561,2098,960,0,463,48,8703,8703,7720,702,2417,6277,9,2467,82,1903,346,346,346,75,294,52,0,33,10
4,53265,48649,35666,38241,14760,264,7344,23569,29515,181,3043,2764,38241,35499,26196,3963,559,5182,17034,21038,169,906,984,14760,12886,9228,2162,6535,8213,12,1939,1780,264,264,242,0,0,264,0,198,0,22611,21349,20789,5386,15895,6714,2,2130,701,65872,65585,46205,6517,20342,45515,15,21385,1176,23391,8707,8618,6185,849,2684,6011,12,464,171
5,8274,7693,4460,5073,3138,63,1131,3108,5137,29,359,183,5073,4547,3118,531,265,589,1257,3797,19,24,96,3138,3108,1304,542,1851,1277,10,297,87,63,38,38,0,0,63,0,38,0,1834,1747,1668,516,1546,288,0,151,69,5132,5132,3506,448,950,4119,63,2223,185,3633,1516,1516,594,183,507,1007,2,29,32
6,2600,2260,2176,2062,527,11,369,1141,1436,23,178,142,2062,1796,1754,449,139,288,937,1102,23,19,28,527,453,411,81,204,323,0,148,114,11,11,11,0,0,11,0,11,0,1360,1231,1231,238,705,655,0,258,221,7268,7189,5832,795,2188,5080,0,1204,26,5278,0,0,0,0,0,0,0,0,0
7,6687,6344,5959,5110,1577,0,1053,3252,3416,19,170,604,5110,5040,4849,783,0,801,2598,2493,19,0,111,1577,1304,1110,252,654,923,0,170,493,0,0,0,0,0,0,0,0,0,5972,5953,5953,1836,5742,230,0,70,23,9958,9863,8535,1682,5100,4858,0,1589,136,9657,5309,5258,3983,1371,4178,1131,0,0,0
8,1026,955,536,644,382,0,192,446,578,2,51,12,644,573,311,0,309,88,236,406,2,10,2,382,382,225,104,210,172,0,41,10,0,0,0,0,0,0,0,0,0,169,169,169,35,118,51,0,25,0,670,670,670,64,228,442,0,0,0,666,19,19,19,0,0,19,0,0,0
9,17793,15246,13295,11462,6113,218,2057,7375,10074,344,1318,843,11462,9383,8697,183,596,1335,4975,6192,295,257,487,6113,5645,4380,722,2400,3664,49,917,356,218,218,218,0,0,218,0,144,0,6630,6425,6361,1711,5013,1617,0,869,340,17841,17841,14276,2217,5845,11996,0,8482,172,11345,1814,1814,1672,294,785,1029,0,117,15
10,7413,6041,4588,4554,2859,0,893,3346,4024,43,239,175,4554,3577,2848,202,109,540,2029,2491,34,56,104,2859,2464,1740,353,1317,1533,9,183,71,0,0,0,0,0,0,0,0,0,2955,2718,2686,741,2522,433,0,359,95,8218,8159,6832,1435,3233,4985,0,2974,44,3358,250,250,155,52,126,124,0,1,0
11,145,94,89,131,14,0,26,92,34,19,5,24,131,88,83,0,7,22,87,26,18,5,18,14,6,6,4,5,8,1,0,6,0,0,0,0,0,0,0,0,0,28,28,28,5,22,6,0,8,0,191,191,85,24,89,102,0,106,0,81,3,3,3,0,0,3,0,0,0
12,3384,3159,3107,2055,1287,42,501,1819,1565,0,362,67,2055,1903,1873,0,4,206,838,1217,0,238,49,1287,1214,1192,295,981,306,0,82,18,42,42,42,0,0,42,0,42,0,1190,1190,1190,222,786,395,9,324,106,2554,2554,2554,288,612,1932,10,1186,45,1329,0,0,0,0,0,0,0,0,0
13,2566,2081,1548,1620,922,24,364,1031,1490,45,79,119,1620,1331,937,363,91,196,531,1049,40,5,53,922,726,587,168,500,417,5,50,66,24,24,24,0,0,24,0,24,0,1041,736,736,195,704,337,0,113,37,1060,1039,738,74,263,797,0,449,1,805,239,239,239,44,171,68,0,12,0
14,1577,1183,886,1194,383,0,184,727,840,10,88,10,1194,931,786,56,122,121,494,690,10,18,10,383,252,100,63,233,150,0,70,0,0,0,0,0,0,0,0,0,0,393,386,314,101,333,60,0,54,4,907,907,868,108,333,574,0,453,0,200,0,0,0,0,0,0,0,0,0
15,10233,8737,7948,7149,3002,82,1401,4690,5494,49,474,842,7149,6183,5589,837,238,791,2883,4237,29,107,221,3002,2472,2277,610,1807,1175,20,340,621,82,82,82,0,0,82,0,27,0,2565,2397,2321,623,1830,735,0,268,58,14114,14022,11008,2092,5797,8316,1,3594,83,5131,1005,900,704,234,836,169,0,95,34
16,5821,4373,2874,4206,1539,76,734,2444,3323,54,383,104,4206,3206,2087,454,390,518,1742,2410,54,62,61,1539,1091,711,216,702,837,0,296,43,76,76,76,0,0,76,0,25,0,1222,983,944,242,859,363,0,250,16,4231,4187,2958,488,1396,2835,0,1360,0,1392,466,466,89,52,181,285,0,132,0
17,2813,2134,1020,1731,1082,0,359,1309,1439,65,108,142,1731,1254,563,195,76,171,733,993,5,63,7,1082,880,457,188,576,446,60,45,135,0,0,0,0,0,0,0,0,0,717,697,505,155,514,199,4,115,4,1429,1429,1185,174,371,1058,0,509,0,385,0,0,0,0,0,0,0,0,0
18,3322,2723,1892,2665,657,0,324,1102,2178,42,327,125,2665,2117,1338,220,300,258,897,1726,42,30,48,657,606,554,66,205,452,0,297,77,0,0,0,0,0,0,0,0,0,1262,984,992,257,892,370,0,177,132,3187,3038,2836,423,1368,1819,0,925,50,1482,245,245,235,38,137,108,0,0,0
19,2580,2260,2039,1748,730,102,223,733,1815,32,372,194,1748,1475,1317,0,68,174,566,1150,32,52,99,730,683,620,49,167,563,0,233,95,102,102,102,0,0,102,0,87,0,1799,1620,1642,365,1211,588,0,303,119,5427,5346,4755,534,1538,3889,0,1290,46,2728,0,0,0,0,0,0,0,0,0
20,17528,16654,16117,15360,2080,88,4173,13107,4394,27,723,190,15360,14844,14595,524,486,3860,12318,3016,26,90,50,2080,1722,1434,313,789,1290,1,585,140,88,88,88,0,0,88,0,48,0,5700,5673,3881,1676,4788,912,0,387,64,12635,12580,10080,1740,4029,8606,0,4168,129,7745,4997,4976,3236,1537,3722,1275,0,83,14
21,5221,4771,4116,3450,1712,59,646,2338,2874,9,426,84,3450,3057,2821,652,482,413,1690,1751,9,95,33,1712,1655,1236,233,648,1064,0,317,51,59,59,59,0,0,59,0,14,0,1439,1411,1372,339,1037,402,0,105,103,7924,7917,6595,1102,3636,4288,0,1556,51,4072,1926,1926,440,425,1083,843,0,0,0
22,2348,2050,1886,1241,1092,15,342,1035,1293,20,68,99,1241,1081,925,0,177,163,522,703,16,14,57,1092,954,946,179,513,575,4,54,42,15,15,15,0,0,15,0,0,0,309,309,309,67,209,100,0,0,0,2404,2396,2375,307,960,1444,0,311,4,261,114,38,38,28,103,11,0,0,0
23,8964,6830,6386,6588,2317,59,1259,4169,4676,119,534,434,6588,5239,4889,902,170,802,2842,3649,97,103,110,2317,1532,1438,457,1327,968,22,388,324,59,59,59,0,0,59,0,43,0,4052,3948,3935,968,3230,822,0,292,329,9031,8991,7459,1268,3899,5132,0,2241,134,4751,939,939,404,192,574,365,0,1,15
24,6730,5839,4882,4263,2467,0,1164,3669,2984,77,136,675,4263,3555,3075,292,195,605,2045,2173,45,4,170,2467,2284,1807,559,1624,811,32,132,505,0,0,0,0,0,0,0,0,0,2553,2513,2515,661,2019,534,0,120,294,11029,10905,9787,1477,4680,6348,1,1051,539,2584,4960,4916,4678,775,2446,2495,19,31,155
25,5763,3953,3038,3921,1791,51,865,2718,2886,159,332,585,3921,2311,1970,489,379,490,1753,2054,114,140,204,1791,1591,1017,375,965,781,45,167,381,51,51,51,0,0,51,0,25,0,1361,1189,1139,295,983,375,3,205,77,5867,5854,4875,970,2552,3315,0,1379,39,5192,254,254,117,7,14,240,0,47,2
26,30,0,0,30,0,0,4,5,20,5,0,5,30,0,0,0,0,4,5,20,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,962,678,424,538,424,0,142,468,472,22,32,79,538,319,289,0,10,71,277,239,22,2,40,424,359,135,71,191,233,0,30,39,0,0,0,0,0,0,0,0,0,1144,1134,1131,245,707,437,0,206,34,910,898,898,456,685,225,0,100,12,403,75,75,75,4,16,59,0,10,0
28,1351,1035,433,961,390,0,201,667,661,23,115,43,961,741,361,86,56,134,444,517,0,12,0,390,294,72,67,223,144,23,103,43,0,0,0,0,0,0,0,0,0,232,232,232,55,152,80,0,73,7,941,941,272,164,311,630,0,572,13,245,0,0,0,0,0,0,0,0,0
