,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES).1,Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH).1,Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH).1,Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
29,7928,6582,4852,5932,1976,20,861,3177,4700,51,471,106,5932,4721,3707,387,391,541,2282,3614,36,111,45,1976,1861,1145,315,880,1086,10,360,56,20,0,0,5,15,0,5,0,5,1606,1568,1550,375,1172,434,0,184,32,6174,6162,4413,732,2476,3698,0,2130,0,3201,387,387,326,84,274,113,0,50,0
30,757,383,380,563,178,16,73,268,479,10,36,36,563,316,313,52,4,36,181,372,10,0,10,178,51,51,37,87,91,0,20,26,16,16,16,0,0,16,0,16,0,129,118,118,11,34,95,0,90,0,743,719,347,62,254,489,0,372,0,330,0,0,0,0,0,0,0,0,0
31,2764,2499,2434,1997,733,34,291,951,1783,30,87,125,1997,1786,1751,0,134,180,622,1349,26,10,28,733,679,649,111,329,400,4,43,97,34,34,34,0,0,34,0,34,0,955,860,857,199,641,314,0,99,45,1260,1260,1260,130,345,915,0,564,30,972,291,291,121,28,103,188,0,26,0
32,1574,1389,1275,1039,526,9,293,887,679,8,106,60,1039,878,785,66,13,161,503,528,8,0,8,526,502,481,132,384,142,0,106,52,9,9,9,0,0,9,0,0,0,272,262,262,54,188,84,0,14,5,1105,1105,754,170,524,581,0,364,0,191,88,88,73,19,56,32,0,0,0
33,7178,6369,5914,4817,2341,20,1850,3910,3209,59,415,343,4817,4276,3902,225,2242,1379,2699,2069,49,39,157,2341,2073,1992,471,1211,1120,10,376,186,20,20,20,0,0,20,0,0,0,3208,3158,3100,1169,1835,1373,0,221,70,7564,7524,5718,1660,3350,4210,4,1605,234,3859,748,748,660,167,456,292,0,14,0
34,2379,1849,1141,1718,661,0,301,1122,1146,111,87,163,1718,1248,696,185,176,163,678,954,86,39,86,661,601,445,138,444,192,25,48,77,0,0,0,0,0,0,0,0,0,820,566,564,195,674,146,0,73,59,2070,2070,1409,369,886,1184,0,390,0,1338,116,116,116,29,116,0,0,0,0
35,3153,2858,2746,2083,1045,25,206,660,2462,31,493,275,2083,1856,1831,385,383,161,550,1508,25,70,132,1045,977,890,45,110,929,6,423,143,25,25,25,0,0,25,0,0,0,1115,1011,1011,218,748,367,0,228,126,2947,2947,1546,237,728,2219,0,1846,5,1242,50,50,50,3,10,40,0,27,6
36,88955,84539,75223,82974,5899,82,16068,50170,38577,208,725,1670,82974,78870,72220,547,2430,15567,48794,34022,158,243,705,5899,5587,2961,501,1376,4473,50,412,965,82,82,42,0,0,82,0,70,0,4508,4192,4143,951,2967,1533,8,364,339,46836,46091,25243,4306,12126,34671,39,8008,1123,25597,3096,3090,3017,678,2492,604,0,29,0
37,9253,7547,6495,7357,1804,92,1226,3879,5288,86,558,457,7357,6125,5195,408,674,918,3031,4249,77,112,260,1804,1330,1208,308,848,947,9,394,197,92,92,92,0,0,92,0,52,0,6069,5842,5662,1261,4198,1871,0,531,402,18124,17981,16099,2292,7142,10982,0,2937,244,9673,209,209,38,25,48,161,0,24,0
38,3101,2468,1865,2440,636,25,290,1083,1957,61,132,181,2440,1847,1358,124,405,199,821,1561,58,61,88,636,596,482,91,262,371,3,71,93,25,25,25,0,0,25,0,0,0,509,481,472,123,337,172,0,164,9,1859,1859,1136,129,376,1483,0,740,47,748,0,0,0,0,0,0,0,0,0
39,5957,5509,4758,3729,2218,10,658,1623,4224,110,474,378,3729,3337,2919,795,31,395,1133,2528,68,146,144,2218,2162,1829,263,490,1686,42,328,234,10,10,10,0,0,10,0,0,0,4259,3901,3514,1165,3192,1059,8,589,236,7639,7558,6177,971,2879,4760,0,2287,163,3092,152,152,81,78,78,74,0,0,0
40,12789,11133,9550,8787,3694,308,1845,6027,6704,58,750,483,8787,7570,6351,1414,366,1161,4009,4724,54,119,217,3694,3255,2910,684,2018,1672,4,575,242,308,308,289,0,0,308,0,56,24,5530,4944,4924,1286,3978,1552,0,334,476,13225,13140,10522,1926,6276,6949,0,3124,80,5518,397,393,257,21,60,337,0,30,0
41,731,533,533,325,384,22,55,185,546,0,32,9,325,242,242,0,0,22,73,252,0,7,0,384,269,269,33,112,272,0,25,9,22,22,22,0,0,22,0,0,0,326,239,239,52,156,170,0,10,15,1803,1689,1641,147,417,1386,0,230,10,1150,255,255,255,0,0,255,0,0,0
42,993,826,730,726,267,0,158,411,582,0,62,0,726,648,552,82,40,89,240,486,0,0,0,267,178,178,69,171,96,0,62,0,0,0,0,0,0,0,0,0,0,394,332,332,75,255,139,0,63,11,1237,1213,929,160,538,699,0,294,5,540,633,631,631,70,196,437,0,0,0
43,3067,2611,1764,2067,983,17,226,1113,1933,21,274,107,2067,1691,1041,655,1,146,808,1243,16,20,32,983,903,706,80,305,673,5,249,75,17,17,17,0,0,17,0,5,0,472,465,468,73,233,239,0,200,32,2110,2044,1618,198,620,1490,0,1317,6,1029,451,451,175,66,182,245,24,0,32
44,1215,750,181,1123,92,0,206,595,620,0,35,26,1123,665,171,14,19,196,579,544,0,23,4,92,85,10,10,16,76,0,12,22,0,0,0,0,0,0,0,0,0,321,278,119,76,259,62,0,58,0,621,621,183,73,233,388,0,438,0,552,25,25,25,0,0,25,0,25,0
45,5060,4468,2837,3423,1632,5,445,1484,3561,15,362,71,3423,2933,1614,519,164,294,983,2425,15,11,19,1632,1530,1218,151,501,1131,0,346,52,5,5,5,0,0,5,0,5,0,1664,1481,1465,457,1269,383,12,225,27,4443,4443,3915,589,1939,2504,0,1247,5,1302,331,331,313,52,183,148,0,0,18
46,18141,14274,10942,13872,4110,159,2081,7575,10360,206,972,736,13872,10799,8638,78,385,1463,5385,8285,202,438,421,4110,3316,2145,618,2190,1916,4,420,315,159,159,159,0,0,159,0,114,0,5645,4391,4189,1141,3518,2127,0,1018,265,14797,14522,13714,1695,4847,9950,0,5633,92,8415,2374,2374,2164,594,1850,524,0,25,20
47,2865,2030,1816,2315,550,0,248,1239,1577,49,105,115,2315,1789,1584,58,190,148,879,1388,48,0,78,550,241,232,100,360,189,1,105,37,0,0,0,0,0,0,0,0,0,999,920,904,178,640,359,0,87,30,3119,3074,2934,408,1338,1781,0,744,20,1687,174,174,96,13,56,118,0,5,0
48,4973,3781,3197,4041,885,47,780,2686,2258,29,122,86,4041,3050,2686,1333,192,565,2025,1987,29,36,29,885,684,464,215,661,224,0,54,57,47,47,47,0,0,47,0,32,0,2664,2215,2083,610,1943,721,0,215,42,4660,4660,3068,535,1413,3247,0,1703,7,1752,1141,1141,1116,140,518,623,0,25,0
49,92,65,57,34,58,0,17,19,73,0,0,0,34,22,22,0,0,2,4,30,0,0,0,58,43,35,15,15,43,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,24,0,22,0,45,45,45,0,0,45,0,2,0,0,0,0,0,0,0,0,0,0,0
50,823,649,564,621,202,0,87,299,506,18,61,81,621,498,462,204,353,72,258,348,15,4,28,202,151,102,15,41,158,3,57,53,0,0,0,0,0,0,0,0,0,576,542,417,149,443,133,0,50,0,550,550,313,35,107,443,0,237,0,502,104,104,26,2,8,96,0,0,0
51,14817,13294,10113,10213,4520,84,1983,7043,7540,234,501,951,10213,9198,7062,1109,285,1067,4006,6037,170,112,416,4520,4012,2967,916,3037,1419,64,350,535,84,84,84,0,0,84,0,39,0,5661,5192,4770,1090,3251,2393,17,578,276,12204,12166,10149,1122,3388,8816,0,3590,106,5768,4669,4462,3851,1075,3695,974,0,172,227
52,4341,3221,2915,3215,1072,54,739,2380,1908,53,232,114,3215,2354,2228,564,333,535,1687,1477,51,0,87,1072,813,633,204,693,377,2,232,27,54,54,54,0,0,54,0,0,0,1556,1452,1503,339,1225,331,0,71,109,3706,3697,3350,347,1112,2594,0,1409,18,1168,740,740,672,71,275,465,0,92,0
53,1480,1109,923,1284,188,8,188,602,864,14,70,57,1284,946,766,65,202,157,535,738,11,39,11,188,155,149,31,67,118,3,31,46,8,8,8,0,0,8,0,0,0,667,609,601,85,284,383,0,102,0,1199,1199,795,146,385,814,0,542,3,444,130,122,122,9,26,104,0,8,0
54,804,599,585,533,271,0,125,325,418,61,20,115,533,328,322,0,0,99,225,301,7,0,7,271,271,263,26,100,117,54,20,108,0,0,0,0,0,0,0,0,0,34,34,34,3,10,24,0,32,0,210,210,58,25,78,132,0,152,0,58,0,0,0,0,0,0,0,0,0
55,396149,346851,286968,301589,92258,2302,58858,189422,203688,3039,17958,15804,301589,264311,224659,20958,14919,44503,146083,153095,2411,4209,6276,92258,80283,60133,14350,43324,48311,623,12538,9499,2302,2257,2176,5,15,2282,5,1211,29,122815,114321,109582,29049,88049,34703,63,13152,5510,373030,370163,283173,44554,128076,244812,142,105841,5179,179569,49877,49264,37521,9388,28547,21273,57,1607,751
