PIT Count Year,Sheltered,Unsheltered,Total Unduplicated Individuals,Difference from Previous Year
2011,1358,1004,2362,275
2012,1375,869,2244,-118
2013,1325,765,2090,-154
2014,1539,448,1987,-103
2015,1165,667,1832,-155
2016,1322,816,2138,306
2017,1202,834,2036,-102
2018,1133,1014,2147,111
2019,1169,1086,2255,108
2020,932,1574,2506,251
