,Year,State,CoC Number,CoC Name,Measures
0,0,0,0,7,2
1,0,0,0,7,4
2,0,0,0,7,5
3,0,0,0,7,15
4,0,0,0,7,17
5,0,0,0,7,18
6,0,0,0,7,19
7,0,0,0,7,27
8,0,0,0,7,30
9,0,0,0,7,32
10,0,0,0,7,33
11,0,0,0,7,34
12,0,0,1,1,2
13,0,0,1,1,4
14,0,0,1,1,5
15,0,0,1,1,15
16,0,0,1,1,17
17,0,0,1,1,18
18,0,0,1,1,19
19,0,0,1,1,27
20,0,0,1,1,30
21,0,0,1,1,32
22,0,0,1,1,33
23,0,0,1,1,34
24,0,0,2,3,2
25,0,0,2,3,4
26,0,0,2,3,5
27,0,0,2,3,15
28,0,0,2,3,17
29,0,0,2,3,18
30,0,0,2,3,19
31,0,0,2,3,27
32,0,0,2,3,30
33,0,0,2,3,32
34,0,0,2,3,33
35,0,0,2,3,34
36,0,0,3,5,2
37,0,0,3,5,4
38,0,0,3,5,5
39,0,0,3,5,15
40,0,0,3,5,17
41,0,0,3,5,18
42,0,0,3,5,19
43,0,0,3,5,27
44,0,0,3,5,30
45,0,0,3,5,32
46,0,0,3,5,33
47,0,0,3,5,34
48,0,0,4,4,2
49,0,0,4,4,4
50,0,0,4,4,5
51,0,0,4,4,15
52,0,0,4,4,17
53,0,0,4,4,18
54,0,0,4,4,19
55,0,0,4,4,27
56,0,0,4,4,30
57,0,0,4,4,32
58,0,0,4,4,33
59,0,0,4,4,34
60,0,0,5,9,2
61,0,0,5,9,4
62,0,0,5,9,5
63,0,0,5,9,15
64,0,0,5,9,17
65,0,0,5,9,18
66,0,0,5,9,19
67,0,0,5,9,27
68,0,0,5,9,30
69,0,0,5,9,32
70,0,0,5,9,33
71,0,0,5,9,34
72,0,0,6,8,2
73,0,0,6,8,4
74,0,0,6,8,5
75,0,0,6,8,15
76,0,0,6,8,17
77,0,0,6,8,18
78,0,0,6,8,19
79,0,0,6,8,27
80,0,0,6,8,30
81,0,0,6,8,32
82,0,0,6,8,33
83,0,0,6,8,34
84,0,0,7,0,2
85,0,0,7,0,4
86,0,0,7,0,5
87,0,0,7,0,15
88,0,0,7,0,17
89,0,0,7,0,18
90,0,0,7,0,19
91,0,0,7,0,27
92,0,0,7,0,30
93,0,0,7,0,32
94,0,0,7,0,33
95,0,0,7,0,34
96,0,0,8,10,2
97,0,0,8,10,4
98,0,0,8,10,5
99,0,0,8,10,15
100,0,0,8,10,17
101,0,0,8,10,18
102,0,0,8,10,19
103,0,0,8,10,27
104,0,0,8,10,30
105,0,0,8,10,32
106,0,0,8,10,33
107,0,0,8,10,34
108,0,0,9,6,2
109,0,0,9,6,4
110,0,0,9,6,5
111,0,0,9,6,15
112,0,0,9,6,17
113,0,0,9,6,18
114,0,0,9,6,19
115,0,0,9,6,27
116,0,0,9,6,30
117,0,0,9,6,32
118,0,0,9,6,33
119,0,0,9,6,34
120,0,0,10,2,2
121,0,0,10,2,4
122,0,0,10,2,5
123,0,0,10,2,15
124,0,0,10,2,17
125,0,0,10,2,18
126,0,0,10,2,19
127,0,0,10,2,27
128,0,0,10,2,30
129,0,0,10,2,32
130,0,0,10,2,33
131,0,0,10,2,34
132,1,0,0,7,2
133,1,0,0,7,4
134,1,0,0,7,5
135,1,0,0,7,15
136,1,0,0,7,17
137,1,0,0,7,18
138,1,0,0,7,19
139,1,0,0,7,27
140,1,0,0,7,30
141,1,0,0,7,32
142,1,0,0,7,33
143,1,0,0,7,34
144,1,0,1,1,2
145,1,0,1,1,4
146,1,0,1,1,5
147,1,0,1,1,15
148,1,0,1,1,17
149,1,0,1,1,18
150,1,0,1,1,19
151,1,0,1,1,27
152,1,0,1,1,30
153,1,0,1,1,32
154,1,0,1,1,33
155,1,0,1,1,34
156,1,0,2,3,2
157,1,0,2,3,4
158,1,0,2,3,5
159,1,0,2,3,15
160,1,0,2,3,17
161,1,0,2,3,18
162,1,0,2,3,19
163,1,0,2,3,27
164,1,0,2,3,30
165,1,0,2,3,32
166,1,0,2,3,33
167,1,0,2,3,34
168,1,0,3,5,2
169,1,0,3,5,4
170,1,0,3,5,5
171,1,0,3,5,15
172,1,0,3,5,17
173,1,0,3,5,18
174,1,0,3,5,19
175,1,0,3,5,27
176,1,0,3,5,30
177,1,0,3,5,32
178,1,0,3,5,33
179,1,0,3,5,34
180,1,0,4,4,2
181,1,0,4,4,4
182,1,0,4,4,5
183,1,0,4,4,15
184,1,0,4,4,17
185,1,0,4,4,18
186,1,0,4,4,19
187,1,0,4,4,27
188,1,0,4,4,30
189,1,0,4,4,32
190,1,0,4,4,33
191,1,0,4,4,34
192,1,0,5,9,2
193,1,0,5,9,4
194,1,0,5,9,5
195,1,0,5,9,15
196,1,0,5,9,17
197,1,0,5,9,18
198,1,0,5,9,19
199,1,0,5,9,27
200,1,0,5,9,30
201,1,0,5,9,32
202,1,0,5,9,33
203,1,0,5,9,34
204,1,0,6,8,2
205,1,0,6,8,4
206,1,0,6,8,5
207,1,0,6,8,15
208,1,0,6,8,17
209,1,0,6,8,18
210,1,0,6,8,19
211,1,0,6,8,27
212,1,0,6,8,30
213,1,0,6,8,32
214,1,0,6,8,33
215,1,0,6,8,34
216,1,0,7,0,2
217,1,0,7,0,4
218,1,0,7,0,5
219,1,0,7,0,15
220,1,0,7,0,17
221,1,0,7,0,18
222,1,0,7,0,19
223,1,0,7,0,27
224,1,0,7,0,30
225,1,0,7,0,32
226,1,0,7,0,33
227,1,0,7,0,34
228,1,0,8,10,2
229,1,0,8,10,4
230,1,0,8,10,5
231,1,0,8,10,15
232,1,0,8,10,17
233,1,0,8,10,18
234,1,0,8,10,19
235,1,0,8,10,27
236,1,0,8,10,30
237,1,0,8,10,32
238,1,0,8,10,33
239,1,0,8,10,34
240,1,0,9,6,2
241,1,0,9,6,4
242,1,0,9,6,5
243,1,0,9,6,15
244,1,0,9,6,17
245,1,0,9,6,18
246,1,0,9,6,19
247,1,0,9,6,27
248,1,0,9,6,30
249,1,0,9,6,32
250,1,0,9,6,33
251,1,0,9,6,34
252,1,0,10,2,2
253,1,0,10,2,4
254,1,0,10,2,5
255,1,0,10,2,15
256,1,0,10,2,17
257,1,0,10,2,18
258,1,0,10,2,19
259,1,0,10,2,27
260,1,0,10,2,30
261,1,0,10,2,32
