Unnamed: 0,State,Total/Sex,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
138,Texas,Total,24575,26522,29892,31502,36149,35259,36682,37532,38534,38821,40437,44022,50042,51677,60467,92013,118195,127766,132383,140351,144510,163190,166719,162070,162003,166911,168105,169003,172116,171790,172506,171249,173649,172224,166372,168280,166043,163909,163703
139,Texas,Male,23570,25355,28671,30050,34472,33789,34987,35938,36789,37279,38789,41953,47846,49186,58056,85064,109356,119831,122450,130051,134178,150688,153097,149701,148952,153424,154147,155497,158317,157859,158653,157679,159298,158036,152823,154450,151717,149501,149368
140,Texas,Female,1005,1167,1221,1452,1677,1470,1695,1594,1745,1542,1648,2069,2196,2491,2411,6949,8839,7935,9933,10300,10332,12502,13622,12369,13051,13487,13958,13506,13799,13931,13853,13570,14351,14188,13549,13830,14326,14408,14335
