Year,CoC Number,CoC Name,Measures,Count
2007.0,0.0,7.0,2.0,218.0
2007.0,0.0,7.0,4.0,1375.0
2007.0,0.0,7.0,5.0,872.0
2007.0,0.0,7.0,15.0,96.0
2007.0,0.0,7.0,17.0,1798.0
2007.0,0.0,7.0,18.0,945.0
2007.0,0.0,7.0,19.0,853.0
2007.0,0.0,7.0,27.0,2247.0
2007.0,0.0,7.0,30.0,122.0
2007.0,0.0,7.0,32.0,449.0
2007.0,0.0,7.0,33.0,430.0
2007.0,0.0,7.0,34.0,19.0
2007.0,1.0,1.0,2.0,443.0
2007.0,1.0,1.0,4.0,3116.0
2007.0,1.0,1.0,5.0,2165.0
2007.0,1.0,1.0,15.0,92.0
2007.0,1.0,1.0,17.0,1395.0
2007.0,1.0,1.0,18.0,773.0
2007.0,1.0,1.0,19.0,622.0
2007.0,1.0,1.0,27.0,5281.0
2007.0,1.0,1.0,30.0,351.0
2007.0,1.0,1.0,32.0,3886.0
2007.0,1.0,1.0,33.0,2343.0
2007.0,1.0,1.0,34.0,1543.0
2007.0,2.0,3.0,2.0,574.0
2007.0,2.0,3.0,4.0,2046.0
2007.0,2.0,3.0,5.0,1362.0
2007.0,2.0,3.0,15.0,472.0
2007.0,2.0,3.0,17.0,3041.0
2007.0,2.0,3.0,18.0,1683.0
2007.0,2.0,3.0,19.0,1358.0
2007.0,2.0,3.0,27.0,3408.0
2007.0,2.0,3.0,30.0,102.0
2007.0,2.0,3.0,32.0,367.0
2007.0,2.0,3.0,33.0,363.0
2007.0,2.0,3.0,34.0,4.0
2007.0,3.0,5.0,2.0,479.0
2007.0,3.0,5.0,4.0,1550.0
2007.0,3.0,5.0,5.0,1326.0
2007.0,3.0,5.0,15.0,392.0
2007.0,3.0,5.0,17.0,2675.0
2007.0,3.0,5.0,18.0,1349.0
2007.0,3.0,5.0,19.0,1326.0
2007.0,3.0,5.0,27.0,2876.0
2007.0,3.0,5.0,30.0,87.0
2007.0,3.0,5.0,32.0,201.0
2007.0,3.0,5.0,33.0,201.0
2007.0,3.0,5.0,34.0,0.0
2007.0,4.0,4.0,2.0,208.0
2007.0,4.0,4.0,4.0,804.0
2007.0,4.0,4.0,5.0,437.0
2007.0,4.0,4.0,15.0,72.0
2007.0,4.0,4.0,17.0,968.0
2007.0,4.0,4.0,18.0,531.0
2007.0,4.0,4.0,19.0,437.0
2007.0,4.0,4.0,27.0,1241.0
2007.0,4.0,4.0,30.0,136.0
2007.0,4.0,4.0,32.0,273.0
2007.0,4.0,4.0,33.0,273.0
2007.0,4.0,4.0,34.0,0.0
2007.0,5.0,9.0,2.0,70.0
2007.0,5.0,9.0,4.0,321.0
2007.0,5.0,9.0,5.0,110.0
2007.0,5.0,9.0,15.0,32.0
2007.0,5.0,9.0,17.0,259.0
2007.0,5.0,9.0,18.0,176.0
2007.0,5.0,9.0,19.0,83.0
2007.0,5.0,9.0,27.0,431.0
2007.0,5.0,9.0,30.0,38.0
2007.0,5.0,9.0,32.0,172.0
2007.0,5.0,9.0,33.0,145.0
2007.0,5.0,9.0,34.0,27.0
2007.0,6.0,8.0,2.0,1990.0
2007.0,6.0,8.0,4.0,8406.0
2007.0,6.0,8.0,5.0,4552.0
2007.0,6.0,8.0,15.0,978.0
2007.0,6.0,8.0,17.0,6998.0
2007.0,6.0,8.0,18.0,4385.0
2007.0,6.0,8.0,19.0,2613.0
2007.0,6.0,8.0,27.0,12958.0
2007.0,6.0,8.0,30.0,1012.0
2007.0,6.0,8.0,32.0,5960.0
2007.0,6.0,8.0,33.0,4021.0
2007.0,6.0,8.0,34.0,1939.0
2007.0,7.0,0.0,2.0,75.0
2007.0,7.0,0.0,4.0,258.0
2007.0,7.0,0.0,5.0,173.0
2007.0,7.0,0.0,15.0,53.0
2007.0,7.0,0.0,17.0,298.0
2007.0,7.0,0.0,18.0,136.0
2007.0,7.0,0.0,19.0,162.0
2007.0,7.0,0.0,27.0,431.0
2007.0,7.0,0.0,30.0,22.0
2007.0,7.0,0.0,32.0,133.0
2007.0,7.0,0.0,33.0,122.0
2007.0,7.0,0.0,34.0,11.0
2007.0,8.0,10.0,2.0,207.0
2007.0,8.0,10.0,4.0,223.0
2007.0,8.0,10.0,5.0,40.0
2007.0,8.0,10.0,15.0,158.0
2007.0,8.0,10.0,17.0,214.0
2007.0,8.0,10.0,18.0,174.0
