,City_Name,FIPS_Code,Population,Bedroom_Size
0,"Abilene, TX",4801000,123676,4
1,"Abilene, TX",4801000,123676,5
2,"Abilene, TX",4801000,123676,0
3,"Abilene, TX",4801000,123676,1
4,"Abilene, TX",4801000,123676,2
5,"Abilene, TX",4801000,123676,3
6,"Addison, TX",4801240,15626,4
7,"Addison, TX",4801240,15626,5
8,"Addison, TX",4801240,15626,0
9,"Addison, TX",4801240,15626,1
10,"Addison, TX",4801240,15626,2
11,"Addison, TX",4801240,15626,3
12,"Allen, TX",4801924,99255,4
13,"Allen, TX",4801924,99255,5
14,"Allen, TX",4801924,99255,0
15,"Allen, TX",4801924,99255,1
16,"Allen, TX",4801924,99255,2
17,"Allen, TX",4801924,99255,3
18,"Amarillo, TX",4803000,198773,4
19,"Amarillo, TX",4803000,198773,5
20,"Amarillo, TX",4803000,198773,0
21,"Amarillo, TX",4803000,198773,1
22,"Amarillo, TX",4803000,198773,2
23,"Amarillo, TX",4803000,198773,3
24,"Arlington, TX",4804000,392462,4
25,"Arlington, TX",4804000,392462,5
26,"Arlington, TX",4804000,392462,0
27,"Arlington, TX",4804000,392462,1
28,"Arlington, TX",4804000,392462,2
29,"Arlington, TX",4804000,392462,3
30,"Austin, TX",4805000,935755,4
31,"Austin, TX",4805000,935755,5
32,"Austin, TX",4805000,935755,0
33,"Austin, TX",4805000,935755,1
34,"Austin, TX",4805000,935755,2
35,"Austin, TX",4805000,935755,3
36,"Baytown, TX",4806128,76581,4
37,"Baytown, TX",4806128,76581,5
38,"Baytown, TX",4806128,76581,0
39,"Baytown, TX",4806128,76581,1
40,"Baytown, TX",4806128,76581,2
41,"Baytown, TX",4806128,76581,3
42,"Beaumont, TX",4807000,118632,4
43,"Beaumont, TX",4807000,118632,5
44,"Beaumont, TX",4807000,118632,0
45,"Beaumont, TX",4807000,118632,1
46,"Beaumont, TX",4807000,118632,2
47,"Beaumont, TX",4807000,118632,3
48,"Bedford, TX",4807132,49306,4
49,"Bedford, TX",4807132,49306,5
50,"Bedford, TX",4807132,49306,0
51,"Bedford, TX",4807132,49306,1
52,"Bedford, TX",4807132,49306,2
53,"Bedford, TX",4807132,49306,3
54,"Bryan, TX",4810912,83199,4
55,"Bryan, TX",4810912,83199,5
56,"Bryan, TX",4810912,83199,0
57,"Bryan, TX",4810912,83199,1
58,"Bryan, TX",4810912,83199,2
59,"Bryan, TX",4810912,83199,3
60,"Carrollton, TX",4813024,133438,4
61,"Carrollton, TX",4813024,133438,5
62,"Carrollton, TX",4813024,133438,0
63,"Carrollton, TX",4813024,133438,1
64,"Carrollton, TX",4813024,133438,2
65,"Carrollton, TX",4813024,133438,3
66,"Cedar Park, TX",4813552,72415,4
67,"Cedar Park, TX",4813552,72415,5
68,"Cedar Park, TX",4813552,72415,0
69,"Cedar Park, TX",4813552,72415,1
70,"Cedar Park, TX",4813552,72415,2
71,"Cedar Park, TX",4813552,72415,3
72,"College Station, TX",4815976,110782,4
73,"College Station, TX",4815976,110782,5
74,"College Station, TX",4815976,110782,0
75,"College Station, TX",4815976,110782,1
76,"College Station, TX",4815976,110782,2
77,"College Station, TX",4815976,110782,3
78,"Conroe, TX",4816432,80893,4
79,"Conroe, TX",4816432,80893,5
80,"Conroe, TX",4816432,80893,0
81,"Conroe, TX",4816432,80893,1
82,"Conroe, TX",4816432,80893,2
83,"Conroe, TX",4816432,80893,3
84,"Coppell, TX",4816612,41512,4
85,"Coppell, TX",4816612,41512,5
86,"Coppell, TX",4816612,41512,0
87,"Coppell, TX",4816612,41512,1
88,"Coppell, TX",4816612,41512,2
89,"Coppell, TX",4816612,41512,3
90,"Corpus Christi, TX",4817000,324692,4
91,"Corpus Christi, TX",4817000,324692,5
92,"Corpus Christi, TX",4817000,324692,0
93,"Corpus Christi, TX",4817000,324692,1
94,"Corpus Christi, TX",4817000,324692,2
95,"Corpus Christi, TX",4817000,324692,3
96,"Dallas, TX",4819000,1318806,4
97,"Dallas, TX",4819000,1318806,5
98,"Dallas, TX",4819000,1318806,0
99,"Dallas, TX",4819000,1318806,1
100,"Dallas, TX",4819000,1318806,2
101,"Dallas, TX",4819000,1318806,3
102,"Denton, TX",4819972,133661,4
103,"Denton, TX",4819972,133661,5
104,"Denton, TX",4819972,133661,0
105,"Denton, TX",4819972,133661,1
106,"Denton, TX",4819972,133661,2
107,"Denton, TX",4819972,133661,3
108,"El Paso, TX",4824000,680354,4
109,"El Paso, TX",4824000,680354,5
110,"El Paso, TX",4824000,680354,0
111,"El Paso, TX",4824000,680354,1
112,"El Paso, TX",4824000,680354,2
113,"El Paso, TX",4824000,680354,3
114,"Euless, TX",4824768,55047,4
115,"Euless, TX",4824768,55047,5
116,"Euless, TX",4824768,55047,0
117,"Euless, TX",4824768,55047,1
118,"Euless, TX",4824768,55047,2
119,"Euless, TX",4824768,55047,3
120,"Farmers Branch, TX",4825452,35552,4
121,"Farmers Branch, TX",4825452,35552,5
122,"Farmers Branch, TX",4825452,35552,0
123,"Farmers Branch, TX",4825452,35552,1
124,"Farmers Branch, TX",4825452,35552,2
125,"Farmers Branch, TX",4825452,35552,3
126,"Flower Mound, TX",4826232,73252,4
127,"Flower Mound, TX",4826232,73252,5
128,"Flower Mound, TX",4826232,73252,0
129,"Flower Mound, TX",4826232,73252,1
130,"Flower Mound, TX",4826232,73252,2
131,"Flower Mound, TX",4826232,73252,3
132,"Fort Worth, TX",4827000,855786,4
133,"Fort Worth, TX",4827000,855786,5
134,"Fort Worth, TX",4827000,855786,0
135,"Fort Worth, TX",4827000,855786,1
136,"Fort Worth, TX",4827000,855786,2
137,"Fort Worth, TX",4827000,855786,3
138,"Frisco, TX",4827684,165700,4
139,"Frisco, TX",4827684,165700,5
140,"Frisco, TX",4827684,165700,0
141,"Frisco, TX",4827684,165700,1
142,"Frisco, TX",4827684,165700,2
143,"Frisco, TX",4827684,165700,3
144,"Galveston, TX",4828068,50039,4
145,"Galveston, TX",4828068,50039,5
146,"Galveston, TX",4828068,50039,0
147,"Galveston, TX",4828068,50039,1
148,"Galveston, TX",4828068,50039,2
149,"Galveston, TX",4828068,50039,3
150,"Garland, TX",4829000,237982,4
151,"Garland, TX",4829000,237982,5
152,"Garland, TX",4829000,237982,0
