per_capita_income,total_personal_income,median_household_income,average_annual_pay,percentage_of_population_in_poverty
55811,7974098000,82501,45586,8.2
49541,475842000,50607,44674,11.8
39731,628667000,52763,50303,18.7
39818,2044752000,50416,41096,16.7
46086,5411245000,41138,47140,20.3
46581,312276000,33499,42904,19.2
34819,435726000,65657,34052,13.4
49544,6822849000,70694,44893,9
51945,199938000,67384,73895,8.9
36070,124513000,40834,27178,17.7
43039,517458000,41325,36410,19.6
45458,726234000,48990,67430,22.1
46464,322835000,46883,42607,18
48344,41286000,70705,47697,7.4
42463,725012000,47016,45868,20.7
62237,6529641000,105763,42974,4.8
41929,430361000,48650,37745,17.2
37697,2050937000,56036,44895,15.4
36627,386124000,43778,36876,17.6
42299,348414000,40094,44306,22.5
36260,1046419000,42633,36308,16.8
46506,3103332000,57302,48784,14.4
40521,245352000,46061,41989,20.7
42255,118018000,53286,47603,15
42915,716802000,56299,57016,14.7
113163,369478000,65095,58647,12.7
41767,1055615000,39708,40288,21.4
97002,293139000,55473,46705,11.1
56292,13102118000,59538,46803,12.9
45812,418168000,67897,65884,9.4
27713,1791172000,32516,31251,32.5
43971,411828000,46658,39063,17
61920,79939000,66790,45189,10.7
58541,79030000,48267,41116,15.1
61646,232776000,63427,66193,13.1
51779,383008000,44388,38412,20.6
53292,1.12E+11,70130,57802,10.2
47793,6597086000,54465,44118,14
49591,38483000,45677,41992,17.5
37741,465616000,42953,45301,21.6
41454,62223000,42746,31200,13.9
37070,1214043000,49924,38269,16.3
48876,5826055000,54774,45109,12.9
71666,91299737000,80690,69809,10.8
36062,528344000,43788,34744,17.9
32978,714706000,48254,35994,17.2
37563,1568358000,53078,39921,14.9
47118,172310000,58908,78995,13.8
41116,1099483000,44690,35851,19.8
38331,1879200000,45034,38256,20.8
39609,2241467000,55554,36491,13.6
48938,4506415000,57344,47507,14.3
29838,2177308000,47519,41910,21.4
42456,2345508000,61822,46350,13.2
53870,646330000,61396,65553,12.4
55735,1999888000,59039,40911,10.6
32466,8981800000,52576,37237,20.9
45221,1879217000,49901,41926,16.4
44309,224025000,58544,47217,11.6
44479,5881416000,51535,41493,13.9
46314,591379000,42570,38348,14.9
27584,589147000,35821,37959,30.5
53145,31384616000,92661,61857,5.4
46448,2372083000,76905,41496,8.3
63667,509969000,64894,69953,12.5
44870,3140164000,70468,48240,8.3
39803,1812585000,56945,38780,14.3
44932,391489000,62636,65683,10.6
50732,913684000,52643,43489,13.6
28936,410289000,36069,52913,30.1
30779,364421000,32538,39689,29.6
