ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,HomeValueIndex,HomeValueIndex_lower,HomeValueIndex_upper,Poverty_Rate,Poverty_Rate_lower,Poverty_Rate_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,unemploy_rate,unemploy_rate_lower,unemploy_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,27251.55049681769,27033.030515750932,27317.06353284468,27251.55049681769,27251.55049681769,-248.13338186080307,-248.13338186080307,-248.13338186080307,-207.35880828137263,-207.35880828137263,-207.35880828137263,-74.75001415935402,-74.75001415935402,-74.75001415935402,-116.5818014043006,-116.5818014043006,-116.5818014043006,338.9103887378751,338.9103887378751,338.9103887378751,41.83178724494659,41.83178724494659,41.83178724494659,0.0,0.0,0.0,27176.800482658335
2020-02-29,27339.388916729644,27067.439981189513,27354.07913876927,27339.388916729644,27339.388916729644,-253.80188067453105,-253.80188067453105,-253.80188067453105,-211.88053324398305,-211.88053324398305,-211.88053324398305,-130.3646078477826,-130.3646078477826,-130.3646078477826,-144.32693479193776,-144.32693479193776,-144.32693479193776,321.3554791265763,321.3554791265763,321.3554791265763,13.962326944155164,13.962326944155164,13.962326944155164,0.0,0.0,0.0,27209.02430888186
2020-03-31,27433.285158704486,26880.66641295043,27189.261602166895,27413.630786420974,27454.278592735413,-260.0360865271291,-260.0360865271291,-260.0360865271291,-210.3987092338908,-210.3987092338908,-210.3987092338908,-391.05616501093067,-391.05616501093067,-391.05616501093067,-359.7382319700281,-359.7382319700281,-359.7382319700281,110.6965637909918,110.6965637909918,110.6965637909918,-31.317933040902602,-31.317933040902602,-31.317933040902602,0.0,0.0,0.0,27042.228993693556
2020-04-30,27524.15248964789,25595.4696822913,25971.120426030724,27448.949554090108,27599.372323533546,-266.0760091542566,-266.0760091542566,-266.0760091542566,-114.61762147709759,-114.61762147709759,-114.61762147709759,-1748.0394748402218,-1748.0394748402218,-1748.0394748402218,-1674.3898357442592,-1674.3898357442592,-1674.3898357442592,-1293.696205112905,-1293.696205112905,-1293.696205112905,-73.64963909596243,-73.64963909596243,-73.64963909596243,0.0,0.0,0.0,25776.11301480767
2020-05-31,27618.048731622737,25847.17964388107,26293.685932161738,27456.626364932534,27782.89963406613,-273.0302057835983,-273.0302057835983,-273.0302057835983,-135.0390950668384,-135.0390950668384,-135.0390950668384,-1543.7341637975344,-1543.7341637975344,-1543.7341637975344,-1473.5516810164586,-1473.5516810164586,-1473.5516810164586,-1065.4823801660216,-1065.4823801660216,-1065.4823801660216,-70.18248278107585,-70.18248278107585,-70.18248278107585,0.0,0.0,0.0,26074.314567825204
2020-06-30,27708.91606256614,26106.46854830088,26708.447091469363,27438.47993625565,27978.324168148753,-280.3443978013118,-280.3443978013118,-280.3443978013118,-155.69658228992668,-155.69658228992668,-155.69658228992668,-1304.9222968923918,-1304.9222968923918,-1304.9222968923918,-1255.7546256990781,-1255.7546256990781,-1255.7546256990781,-819.7136456078397,-819.7136456078397,-819.7136456078397,-49.16767119331392,-49.16767119331392,-49.16767119331392,0.0,0.0,0.0,26403.993765673746
2020-07-31,27802.812304540985,26259.25827654908,27061.38850853384,27444.08806947066,28193.94626784125,-287.50430608115175,-287.50430608115175,-287.50430608115175,-172.15149723674182,-172.15149723674182,-172.15149723674182,-1158.716512681156,-1158.716512681156,-1158.716512681156,-1121.3752624240449,-1121.3752624240449,-1121.3752624240449,-661.7194591061514,-661.7194591061514,-661.7194591061514,-37.34125025711125,-37.34125025711125,-37.34125025711125,0.0,0.0,0.0,26644.09579185983
2020-08-31,27896.708546515834,26637.135662805842,27646.747270365533,27402.595978178964,28414.2371586458,-294.9784960492528,-294.9784960492528,-294.9784960492528,-190.6539439473561,-190.6539439473561,-190.6539439473561,-765.1826428905637,-765.1826428905637,-765.1826428905637,-726.0340684315912,-726.0340684315912,-726.0340684315912,-240.4016284349824,-240.4016284349824,-240.4016284349824,-39.14857445897248,-39.14857445897248,-39.14857445897248,0.0,0.0,0.0,27131.525903625272
2020-09-30,27987.575877459232,26454.639668443222,27716.560476648945,27369.437490101966,28613.898118628684,-302.3669728296462,-302.3669728296462,-302.3669728296462,-186.96979555565562,-186.96979555565562,-186.96979555565562,-916.9305557893571,-916.9305557893571,-916.9305557893571,-905.2874929332713,-905.2874929332713,-905.2874929332713,-415.95072454796946,-415.95072454796946,-415.95072454796946,-11.643062856085665,-11.643062856085665,-11.643062856085665,0.0,0.0,0.0,27070.645321669876
2020-10-31,28081.472119434075,26509.772902056728,28036.218175541,27333.704374805384,28849.56737516791,-306.26406576408425,-306.26406576408425,-306.26406576408425,-198.9389884119854,-198.9389884119854,-198.9389884119854,-795.1590443912805,-795.1590443912805,-795.1590443912805,-815.8243210562468,-815.8243210562468,-815.8243210562468,-310.6212668801772,-310.6212668801772,-310.6212668801772,20.665276664966285,20.665276664966285,20.665276664966285,0.0,0.0,0.0,27286.313075042795
2020-11-30,28172.33945037748,26470.899200318345,28297.819999546165,27269.33704081879,29058.33294259523,-311.9839924904367,-311.9839924904367,-311.9839924904367,-202.92061483845697,-202.92061483845697,-202.92061483845697,-803.2593736083259,-803.2593736083259,-803.2593736083259,-807.9709645977723,-807.9709645977723,-807.9709645977723,-293.0663572688785,-293.0663572688785,-293.0663572688785,4.711590989446467,4.711590989446467,4.711590989446467,0.0,0.0,0.0,27369.080076769154
2020-12-31,28266.23569235233,26351.529420578783,28558.669570930837,27180.621204019146,29351.11295076251,-316.21822396319124,-316.21822396319124,-316.21822396319124,-206.25459526189334,-206.25459526189334,-206.25459526189334,-811.6457164568652,-811.6457164568652,-811.6457164568652,-762.874447660067,-762.874447660067,-762.874447660067,-240.4016284349824,-240.4016284349824,-240.4016284349824,-48.77126879679818,-48.77126879679818,-48.77126879679818,0.0,0.0,0.0,27454.589975895466
