per_capita_income,total_personal_income,median_household_income,average_annual_pay,percentage_of_population_under_18_in_poverty
36027,2080020000,48461,45799,23.8
51769,968334000,74918,69845,12.7
39644,3437761000,51750,40974,22.6
51614,1213451000,53085,39316,32.1
52335,447617000,63731,38006,12.8
53422,100807000,64424,42240,16.7
37644,1925578000,57309,55264,19
51118,1535171000,68311,49650,17
44665,312657000,46174,39542,25.8
44925,1038296000,59604,37215,23.6
38289,3397143000,62627,40661,23.8
46615,163573000,41539,34452,24.5
29792,970173000,44171,38345,27.8
43919,15939217000,54831,48842,18.4
47830,95829678000,58956,52560,22.4
54814,653991000,68404,49686,14.7
61287,40082000,71926,41767,15.4
42366,791602000,55179,41632,19.7
41172,3839053000,51207,41088,23.3
48374,18104830000,83704,58755,11.1
41348,9477504000,54471,42552,19.4
48422,445624000,48581,40642,19.8
44413,68663000,44259,32043,24.6
36558,259309000,31410,43244,44.4
39661,1501734000,56040,38752,21.8
45970,847823000,61745,47721,21.8
49731,2394797000,62827,43862,16.3
34617,1511526000,55301,38478,20.5
46208,983763000,55909,69405,22.6
41962,585075000,50812,41919,18.7
29928,12664258000,40893,34689,36.3
37111,485926000,47091,39949,26.1
48571,287829000,69760,85618,11
37566,1127953000,44529,37854,23.6
64427,485133000,51736,37842,22.7
56610,2481633000,93351,68196,11.9
35245,1855486000,46576,37122,22.7
30731,224520000,44095,39493,25.9
44295,463811000,59983,38090,16
39333,112216000,43742,41906,30.1
41669,141132000,48435,41707,17.9
42683,348937000,44834,32780,30.4
68474,70852208000,96847,68366,6.8
42026,122717000,40314,40776,35.8
46909,1008214000,55607,44297,20.9
60056,9381221000,87976,45313,9.4
43242,589606000,54122,35799,22.1
35758,97476000,43321,40265,27
52875,2181468000,61186,48263,18.4
35570,2701551000,53083,43292,15.7
60260,84244000,40449,45590,32.5
51025,244768000,68626,58450,13.6
44458,154002000,54165,44046,19.3
37580,215596000,38871,39051,33.6
59506,129188000,44462,55299,30.6
64756,471877000,55793,45744,17.4
62782,1.65E+11,61807,71047,20.9
40131,510783000,48165,41594,28.9
52368,971214000,46178,43165,24.8
40622,216558000,51348,27058,25.5
59414,52712796000,90910,51064,7.1
59389,1197273000,52544,47891,24.3
33843,74826000,41973,33430,26.2
38800,392812000,40315,58160,34.8
45531,149251000,41093,31965,24.5
39029,435444000,37100,38808,33.5
78826,1447238000,46991,52027,24.2
50161,8337928000,65564,64472,17
45429,87769000,40424,40388,34.5
37715,31651549000,48629,39993,26.2
45968,8496165000,78341,45867,12.8
40462,1727640000,53044,37314,18.9
35258,609859000,41484,38232,28.1
39830,1414505000,56123,42205,16.1
54552,1382683000,62195,42509,15.3
44630,170934000,51053,43639,22.2
44646,255020000,45022,36360,30.3
