Number,County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
57,Dawson,51769,510783000,48165,41594,20.6,28.9
218,Swisher,36558,383008000,44388,38412,20.6,29.1
126,Jones,44309,655494000,51094,39352,20.4,22
187,Potter,39652,5411245000,41138,47140,20.3,26.1
20,Brazos,62237,9477504000,54471,42552,20,19.4
0,Anderson,130983,2080020000,48461,45799,19.8,23.8
231,Uvalde,33843,1099483000,44690,35851,19.8,29.9
43,Collingsworth,54630,122717000,40314,40776,19.8,35.8
54,Culberson,52335,129188000,44462,55299,19.7,30.6
193,Red River,39333,517458000,41325,36410,19.6,27.2
120,Jasper,44479,1450787000,47252,42528,19.5,28.2
167,Mitchell,41172,287052000,44457,43530,19.5,23.4
39,Cochran,55811,112216000,43742,41906,19.5,30.1
62,Dickens,51025,74826000,41973,33430,19.4,26.2
146,Limestone,42366,885313000,43644,45472,19.2,26
188,Presidio,39644,312276000,33499,42904,19.2,29.1
98,Hardeman,45812,165278000,40057,37028,19.2,32.9
137,Knox,43141,145046000,40808,44056,19.1,30.8
135,Kinney,43348,118147000,47076,48042,18.9,24.7
50,Cottle,53292,84244000,40449,45590,18.9,32.5
69,El Paso,49591,31651549000,48629,39993,18.8,26.2
3,Aransas,84623,1213451000,53085,39316,18.7,32.1
185,Pecos,39731,628667000,52763,50303,18.7,23.1
140,Lamb,43039,588630000,42719,43457,18.5,26.1
139,Lamar,43063,2147064000,47061,43680,18.4,27.3
171,Morris,40834,508749000,43304,52542,18.1,29
160,McLennan,41562,10818901000,51078,46902,18,22.6
195,Refugio,38895,322835000,46883,42607,18,27
151,Lubbock,42174,13761558000,54733,45118,17.9,22.5
94,Hale,46086,1190367000,49187,38710,17.9,23.9
227,Trinity,35245,528344000,43788,34744,17.9,29.8
101,Harrison,45655,2854497000,55171,51401,17.8,26.8
153,Madison,42159,466347000,46274,39384,17.8,22.2
41,Coleman,55479,348937000,44834,32780,17.7,30.4
192,Real,39334,124513000,40834,27178,17.7,32.7
201,Sabine,38182,386124000,43778,36876,17.6,26.6
159,McCulloch,41669,310537000,43262,41729,17.6,26.4
172,Motley,40827,39585000,40217,29981,17.6,30.9
106,Henderson,45429,3320621000,49896,38325,17.5,30.3
157,Matagorda,41929,1657614000,49276,56298,17.5,24.1
176,Nolan,40135,677820000,46389,44936,17.5,23.6
221,Terrell,36062,38483000,45677,41992,17.5,20.7
33,Cass,59389,1127953000,44529,37854,17.3,23.6
76,Floyd,48374,255020000,45022,36360,17.3,30.3
181,Palo Pinto,39895,1202391000,50159,46122,17.2,26.2
228,Tyler,34819,714706000,48254,35994,17.2,23.3
199,Runnels,38331,430361000,48650,37745,17.2,23.7
61,DeWitt,51118,1197273000,52544,47891,17.1,24.3
113,Howard,44889,1589317000,61112,52657,17,18.6
58,Deaf Smith,51768,971214000,46178,43165,17,24.8
214,Stephens,37111,411828000,46658,39063,17,26.9
133,Kimble,43919,192438000,44757,32320,17,32.6
77,Foard,48344,51854000,38615,30348,17,26.2
122,Jefferson,44413,11223148000,55173,58104,16.9,24.4
18,Bowie,63291,3839053000,51207,41088,16.8,23.3
203,San Jacinto,37774,1046419000,42633,36308,16.8,26.2
186,Polk,39661,2044752000,50416,41096,16.7,26.6
66,Eastland,50161,1447238000,46991,52027,16.7,24.2
31,Camp,59506,485926000,47091,39949,16.6,26.1
177,Nueces,40131,16262836000,56079,49163,16.5,23.1
91,Gregg,46314,5838955000,53137,48485,16.5,24.2
36,Cherokee,56610,1855486000,46576,37122,16.5,22.7
148,Live Oak,42262,456731000,54163,61089,16.5,23
240,Wharton,32466,1879217000,49901,41926,16.4,21.5
64,Donley,50665,149251000,41093,31965,16.4,24.5
224,Titus,35633,1214043000,49924,38269,16.3,23.2
165,Milam,41240,924367000,48989,41661,16.3,25.1
88,Gonzales,46506,933271000,48425,43715,16.2,23.7
152,Lynn,42162,256735000,45737,48957,16,23.4
59,Delta,51614,216558000,51348,27058,16,25.5
92,Grimes,46208,1065941000,51651,51571,15.9,20.5
8,Bailey,77810,312657000,46174,39542,15.9,25.8
11,Baylor,68474,163573000,41539,34452,15.9,24.5
2,Angelina,97002,3437761000,51750,40974,15.6,22.6
118,Jack,44630,364786000,55358,50017,15.6,19.4
109,Hockley,45221,970619000,51149,59590,15.5,19.7
80,Freestone,47439,752829000,52511,42993,15.5,19.5
200,Rusk,38289,2050937000,56036,44895,15.4,20.4
34,Castro,58541,485133000,51736,37842,15.3,22.7
14,Bexar,64756,95829678000,58956,52560,15.2,22.4
71,Erath,49541,1727640000,53044,37314,15.2,18.9
47,Concho,53734,97476000,43321,40265,15.1,27
216,Stonewall,36909,79030000,48267,41116,15.1,20.2
100,Harris,45663,2.83E+11,61638,72710,15,21.3
206,Schleicher,37697,118018000,53286,47603,15,23.4
22,Briscoe,61646,68663000,44259,32043,15,24.6
229,Upshur,34617,1568358000,53078,39921,14.9,21.1
243,Wilbarger,30779,591379000,42570,38348,14.9,21.4
115,Hunt,44789,3834561000,57513,50615,14.8,20.3
6,Atascosa,78849,1925578000,57309,55264,14.7,19
111,Hopkins,44925,1541276000,50332,40013,14.7,20.2
28,Calhoun,60056,983763000,55909,69405,14.7,22.6
207,Scurry,37644,716802000,56299,57016,14.7,18.3
89,Gray,46464,965766000,52543,50227,14.5,19
145,Liberty,42456,3341225000,53274,48195,14.4,19
204,San Patricio,37741,3103332000,57302,48784,14.4,20.6
27,Caldwell,60260,1511526000,55301,38478,14.4,20.5
144,Leon,42463,697138000,50522,55633,14.4,22.2
79,Franklin,47793,443022000,50630,43137,14.4,22.8
234,Victoria,33095,4506415000,57344,47507,14.3,22.6
249,Wood,28936,1812585000,56945,38780,14.3,22.3
182,Panola,39830,1054569000,56882,49486,14.3,21.5
96,Hamilton,45970,512599000,52505,38388,14.3,21.9
130,Kenedy,43981,17074000,46132,71084,14.2,21.4
56,Dallas,51779,1.65E+11,61807,71047,14,20.9
220,Taylor,36070,6597086000,54465,44118,14,18.9
10,Bastrop,71666,3397143000,62627,40661,14,23.8
242,Wichita,31380,5881416000,51535,41493,13.9,17.4
223,Throckmorton,35758,62223000,42746,31200,13.9,27.2
13,Bell,65250,15939217000,54831,48842,13.8,18.4
25,Burleson,60844,847823000,61745,47721,13.8,21.8
119,Jackson,44613,687760000,55800,47038,13.8,18.4
230,Upton,34265,172310000,58908,78995,13.8,18.8
52,Crockett,52875,154002000,54165,44046,13.8,19.3
24,Brown,60862,1501734000,56040,38752,13.7,21.8
17,Bosque,63424,791602000,55179,41632,13.7,19.7
233,Van Zandt,33593,2241467000,55554,36491,13.6,19.5
44,Colorado,54552,1008214000,55607,44297,13.6,20.9
251,Young,27584,913684000,52643,43489,13.6,20.4
46,Comanche,53870,589606000,54122,35799,13.5,22.1
174,Navarro,40521,1987095000,48649,39829,13.4,21.1
189,Rains,39609,435726000,65657,34052,13.4,22.9
87,Goliad,46581,349121000,56758,42771,13.4,22.5
75,Fisher,48422,170934000,51053,43639,13.3,22.2
236,Waller,32978,2345508000,61822,46350,13.2,18.2
73,Fannin,48876,1414505000,56123,42205,13.2,16.1
82,Gaines,47118,954346000,67171,55226,13.2,19.5
166,Mills,41193,191673000,46876,34735,13.2,24.9
108,Hill,45237,1511408000,53210,42712,13.1,18.1
21,Brewster,61920,445624000,48581,40642,13.1,19.8
217,Sutton,36627,232776000,63427,66193,13.1,17.8
40,Coke,55735,141132000,48435,41707,13.1,17.9
179,Oldham,39913,117172000,59404,42470,13.1,29.5
211,Smith,37415,13102118000,59538,46803,12.9,17.8
225,Tom Green,35570,5826055000,54774,45109,12.9,17.4
9,Bandera,72177,1038296000,59604,37215,12.9,23.6
168,Montague,41116,836915000,53649,42035,12.9,18
48,Cooke,53483,2181468000,61186,48263,12.7,18.4
208,Shackelford,37580,369478000,65095,58647,12.7,17.5
121,Jeff Davis,44458,97963000,53362,34431,12.7,39
180,Orange,39899,3808098000,62976,54469,12.5,18.7
132,Kerr,43971,2723001000,57789,43095,12.5,20.4
247,Winkler,29838,509969000,64894,69953,12.5,17.9
141,Lampasas,42915,1085460000,58817,36542,12.4,19.2
237,Ward,32648,646330000,61396,65553,12.4,15.8
147,Lipscomb,42299,251560000,65388,53628,12.4,17.2
162,Medina,41454,2119867000,60695,38571,12.2,19.4
67,Ector,49905,8337928000,65564,64472,12.1,17
99,Hardin,45797,2720004000,62616,44753,12.1,16.2
29,Callahan,60002,585075000,50812,41919,12.1,18.7
155,Martin,42023,351128000,68745,59153,12.1,17.9
170,Moore,41068,965508000,55099,47714,11.9,15.1
49,Coryell,53422,2701551000,53083,43292,11.8,15.7
184,Parmer,39803,475842000,50607,44674,11.8,17.8
97,Hansford,45968,352717000,58703,55688,11.7,16.8
156,Mason,41962,202754000,54914,34283,11.7,20.4
90,Grayson,46448,5991490000,57439,44719,11.6,17.1
241,Wheeler,32219,224025000,58544,47217,11.6,17.5
38,Clay,56292,463811000,59983,38090,11.5,16
131,Kent,43972,41628000,52591,39451,11.5,14.1
116,Hutchinson,44665,920878000,57936,64187,11.4,16.3
178,Ochiltree,40056,598643000,62567,49729,11.4,16.2
55,Dallam,51945,471877000,55793,45744,11.4,17.4
83,Galveston,47109,18561154000,73214,51357,11.3,16.1
104,Hays,45467,10435043000,72890,42158,11.2,11.3
7,Austin,78826,1535171000,68311,49650,11.1,17
210,Sherman,37563,293139000,55473,46705,11.1,13.7
125,Johnson,44311,7693658000,66538,46847,11,15.9
142,Lavaca,42891,1077906000,52632,42403,11,14.5
134,King,43759,21447000,71256,40803,11,16.7
74,Fayette,48571,1382683000,62195,42509,10.9,15.3
226,Travis,35258,91299737000,80690,69809,10.8,13.6
149,Llano,42255,1087688000,55617,38913,10.8,20.7
143,Lee,42683,873419000,59250,54641,10.7,16.1
215,Sterling,37070,79939000,66790,45189,10.7,12.9
238,Washington,32639,1999888000,59039,40911,10.6,17.5
250,Yoakum,27713,391489000,62636,65683,10.6,14.9
5,Armstrong,81238,100807000,64424,42240,10.6,16.7
16,Borden,63667,40082000,71926,41767,10.6,15.4
26,Burnet,60584,2394797000,62827,43862,10.5,16.3
161,McMullen,41526,48481000,68349,56402,10.5,13.8
4,Archer,81882,447617000,63731,38006,10.3,12.8
219,Tarrant,36260,1.12E+11,70130,57802,10.2,13.9
1,Andrews,113163,968334000,74918,69845,10.2,12.7
164,Midland,41307,23161978000,85811,78610,9.9,12.3
128,Kaufman,44127,5987018000,75009,44692,9.8,13.8
51,Crane,53145,244768000,68626,58450,9.6,13.6
212,Somervell,37238,418168000,67897,65884,9.4,14.2
110,Hood,44932,3167445000,74534,45031,9.2,14.8
105,Hemphill,45458,217886000,71299,62120,9.1,11.7
190,Randall,39609,6822849000,70694,44893,9,12.1
169,Montgomery,41095,38523113000,88833,58352,8.9,13.2
191,Reagan,39587,199938000,67384,73895,8.9,12.2
70,Ellis,49544,8496165000,78341,45867,8.7,12.8
19,Brazoria,62782,18104830000,83704,58755,8.6,11.1
35,Chambers,57053,2481633000,93351,68196,8.6,11.9
15,Blanco,64427,653991000,68404,49686,8.6,14.7
102,Hartley,45589,452982000,72796,42036,8.6,8.3
85,Gillespie,46615,1708105000,62143,40023,8.5,13.6
32,Carson,59414,287829000,69760,85618,8.5,11
248,Wise,29792,3140164000,70468,48240,8.3,11.7
246,Wilson,29928,2372083000,76905,41496,8.3,11.7
183,Parker,39818,7974098000,82501,45586,8.2,10.4
86,Glasscock,46596,119234000,93759,56354,7.9,10.7
93,Guadalupe,46108,7641166000,78801,46087,7.4,11.2
129,Kendall,43987,3883727000,94899,50465,7.4,10.9
117,Irion,44646,110864000,68630,62897,7.4,9
196,Roberts,38892,41286000,70705,47697,7.4,9.3
150,Loving,42230,9081000,88487,78135,7.1,10.2
45,Comal,54250,9381221000,87976,45313,6.7,9.4
78,Fort Bend,47830,48419712000,101361,52506,6.6,7.4
60,Denton,51384,52712796000,90910,51064,6.5,7.1
42,Collin,54814,70852208000,96847,68366,6.1,6.8
245,Williamson,30223,31384616000,92661,61857,5.4,6.5
198,Rockwall,38569,6529641000,105763,42974,4.8,6.5
