Number,County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
213,Starr,37218,1791172000,32516,31251,32.5,43.2
244,Willacy,30731,589147000,35821,37959,30.5,38.1
252,Zapata,27415,410289000,36069,52913,30.1,43.7
253,Zavala,23569,364421000,32538,39689,29.6,40.4
23,Brooks,61287,259309000,31410,43244,29.6,44.4
114,Hudspeth,44870,115159000,39309,60645,28,41.2
81,Frio,47221,613716000,40360,52360,27.7,35.9
107,Hidalgo,45332,23815443000,41656,35208,26.9,37.4
158,Maverick,41767,1842681000,40017,35059,26.9,40.3
138,La Salle,43080,300145000,41683,71990,26.6,27.4
30,Cameron,59653,12664258000,40893,34689,25.5,36.3
95,Hall,46066,98095000,35940,29765,25.4,40.5
63,Dimmit,50732,392812000,40315,58160,25.3,34.8
84,Garza,46909,203070000,48975,43816,24.2,24.4
12,Bee,65330,970173000,44171,38345,24,27.8
65,Duval,50656,435444000,37100,38808,23.9,33.5
136,Kleberg,43242,1274025000,47169,40842,23.3,31
175,Newton,40462,465829000,45890,37910,22.8,28.3
123,Jim Hogg,44405,174729000,38788,41009,22.8,35
202,San Augustine,37874,348414000,40094,44306,22.5,32.1
194,Reeves,39029,726234000,48990,67430,22.1,24.6
53,Crosby,52368,215596000,38871,39051,22.1,33.6
37,Childress,56449,224520000,44095,39493,21.9,25.9
72,Falls,48938,609859000,41484,38232,21.6,28.1
222,Terry,36027,465616000,42953,45301,21.6,31
235,Walker,32988,2177308000,47519,41910,21.4,22.4
209,Shelby,37566,1055615000,39708,40288,21.4,32.5
154,Marion,42026,393125000,37876,34450,21.4,32.9
124,Jim Wells,44371,1707270000,44444,49075,21,29
127,Karnes,44295,880663000,54843,59685,21,27
239,Webb,32601,8981800000,52576,37237,20.9,28.7
173,Nacogdoches,40622,2514839000,46207,39314,20.9,26.3
112,Houston,44895,909748000,43601,52396,20.9,28.8
232,Val Verde,33602,1879200000,45034,38256,20.8,28.9
197,Robertson,38800,725012000,47016,45868,20.7,31
205,San Saba,37715,245352000,46061,41989,20.7,34.4
103,Haskell,45531,225748000,38613,32726,20.7,29
68,Edwards,49731,87769000,40424,40388,20.7,34.5
163,Menard,41348,79573000,38425,28428,20.7,35.4
