,county,confirmed_cases,probable_cases,fatalities
91,Gregg,8693.0,9792.0,468
92,Grimes,4494.0,529.0,97
94,Hale,7573.0,0.0,178
95,Hall,418.0,109.0,15
96,Hamilton,1130.0,119.0,29
97,Hansford,429.0,645.0,26
99,Hardin,4085.0,5942.0,169
101,Harrison,4206.0,4540.0,150
102,Hartley,639.0,176.0,2
105,Hemphill,607.0,64.0,3
106,Henderson,6104.0,3219.0,291
108,Hill,4458.0,1146.0,134
109,Hockley,3352.0,657.0,127
110,Hood,5693.0,3424.0,175
111,Hopkins,2894.0,2176.0,135
112,Houston,1305.0,1427.0,76
113,Howard,3257.0,2322.0,115
114,Hudspeth,487.0,92.0,14
115,Hunt,8042.0,2182.0,250
116,Hutchinson,2553.0,770.0,81
118,Jack,708.0,101.0,18
119,Jackson,2307.0,405.0,47
120,Jasper,1473.0,2410.0,133
123,Jim Hogg,626.0,252.0,20
124,Jim Wells,5532.0,1340.0,158
126,Jones,2089.0,961.0,67
127,Karnes,3254.0,509.0,51
129,Kendall,2630.0,2153.0,90
132,Kerr,3277.0,2861.0,115
135,Kinney,424.0,60.0,8
136,Kleberg,2900.0,1287.0,124
138,La Salle,986.0,195.0,32
139,Lamar,3252.0,5048.0,185
140,Lamb,2283.0,636.0,87
141,Lampasas,2862.0,524.0,56
142,Lavaca,2291.0,806.0,91
143,Lee,1333.0,1475.0,47
144,Leon,1766.0,592.0,59
145,Liberty,9172.0,3064.0,308
146,Limestone,2544.0,993.0,102
148,Live Oak,1267.0,468.0,33
149,Llano,1746.0,724.0,66
152,Lynn,797.0,0.0,25
153,Madison,2056.0,340.0,40
154,Marion,637.0,467.0,41
155,Martin,439.0,374.0,21
157,Matagorda,4901.0,968.0,144
159,McCulloch,524.0,357.0,28
162,Medina,4629.0,1948.0,145
165,Milam,2038.0,1604.0,71
166,Mills,715.0,112.0,26
167,Mitchell,861.0,0.0,35
168,Montague,2440.0,410.0,84
170,Moore,2459.0,837.0,79
171,Morris,968.0,598.0,46
173,Nacogdoches,5363.0,2003.0,205
174,Navarro,4188.0,4179.0,167
175,Newton,401.0,516.0,46
176,Nolan,2341.0,0.0,69
178,Ochiltree,1212.0,179.0,32
180,Orange,5323.0,8042.0,235
181,Palo Pinto,3900.0,582.0,104
182,Panola,1605.0,1203.0,98
184,Parmer,1020.0,476.0,35
185,Pecos,1681.0,427.0,44
186,Polk,2462.0,3243.0,175
188,Presidio,666.0,225.0,26
189,Rains,680.0,739.0,36
193,Red River,665.0,598.0,46
194,Reeves,1368.0,1912.0,47
195,Refugio,896.0,265.0,25
197,Robertson,2305.0,549.0,61
199,Runnels,957.0,688.0,50
200,Rusk,4309.0,3343.0,150
202,San Augustine,449.0,389.0,34
203,San Jacinto,1845.0,863.0,64
204,San Patricio,5105.0,1520.0,243
205,San Saba,595.0,310.0,25
207,Scurry,2986.0,137.0,80
209,Shelby,1619.0,1158.0,92
212,Somervell,762.0,628.0,20
213,Starr,8971.0,2353.0,327
214,Stephens,660.0,436.0,31
218,Swisher,872.0,493.0,22
222,Terry,2003.0,0.0,62
224,Titus,3828.0,1706.0,96
227,Trinity,1015.0,462.0,48
228,Tyler,999.0,1382.0,62
229,Upshur,2176.0,3367.0,116
231,Uvalde,5685.0,369.0,90
233,Van Zandt,4409.0,3061.0,186
236,Waller,5024.0,1088.0,70
237,Ward,1164.0,602.0,26
238,Washington,4523.0,1012.0,119
240,Wharton,5207.0,782.0,157
241,Wheeler,602.0,125.0,12
243,Wilbarger,1805.0,335.0,57
244,Willacy,4006.0,456.0,103
246,Wilson,5160.0,1828.0,113
247,Winkler,782.0,246.0,27
248,Wise,8831.0,1766.0,171
249,Wood,3325.0,2764.0,187
250,Yoakum,1131.0,0.0,28
251,Young,2332.0,310.0,58
252,Zapata,1665.0,502.0,41
253,Zavala,2098.0,353.0,52
