,metropolitan area,cost burdened renter share (%),severely burdened renter share (%),cost burdened owner share (%),severely burdened owner share (%),moderately burdened renter households,severely burdened renter households,total burdened renter households,number of renter households,moderately burdened owner households,severely burdened owner households,total burdened owner households,number of owner households,median income of renter households,median income of owner households,median monthly housing cost of renter households,median monthly housing cost of owner households
0,"New York-Newark-Jersey City, NY-NJ-PA",52.5,29.9,36.1,17.1,"792,800","1,044,600","1,837,500","3,498,000","690,200","620,900","1,311,100","3,627,700","$43,500 ","$100,000 ","$1,300 ","$2,020 "
1,"Los Angeles-Long Beach-Anaheim, CA",57.1,31.0,35.7,16.7,"586,500","695,500","1,282,000","2,244,800","393,600","344,900","738,500","2,070,900","$44,000 ","$91,950 ","$1,354 ","$1,883 "
2,"Chicago-Naperville-Elgin, IL-IN-WI",50.3,27.9,27.8,12.1,"284,900","355,700","640,700","1,273,800","345,900","265,000","610,900","2,197,000","$37,000 ","$83,000 ","$1,010 ","$1,415 "
3,"Dallas-Fort Worth-Arlington, TX",45.9,22.7,22.3,8.6,"234,800","229,300","464,000","1,010,000","201,000","127,000","328,000","1,470,300","$40,100 ","$81,000 ",$990 ,"$1,252 "
4,"Houston-The Woodlands-Sugar Land, TX",46.7,24.2,20.5,8.8,"211,700","227,800","439,400","940,700","158,800","118,500","277,200","1,352,900","$39,600 ","$84,000 ",$980 ,"$1,204 "
5,"Washington-Arlington-Alexandria, DC-VA-MD-WV",45.9,22.6,23.9,9.2,"191,500","185,300","376,800","821,100","199,600","124,500","324,000","1,355,100","$60,000 ","$118,600 ","$1,550 ","$1,933 "
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51.0,28.6,28.0,12.1,"162,900","208,100","370,900","727,400","239,700","182,400","422,100","1,505,200","$37,500 ","$84,000 ","$1,060 ","$1,404 "
7,"Miami-Fort Lauderdale-West Palm Beach, FL",61.5,35.4,34.7,17.0,"224,800","304,200","529,100","860,100","216,700","207,100","423,800","1,220,400","$35,000 ","$64,500 ","$1,200 ","$1,220 "
8,"Atlanta-Sandy Springs-Roswell, GA",47.8,25.3,23.0,10.1,"174,700","196,300","371,100","776,900","162,300","126,200","288,500","1,253,200","$39,000 ","$75,600 ","$1,010 ","$1,167 "
9,"Boston-Cambridge-Newton, MA-NH",48.8,24.8,28.4,12.0,"165,600","171,700","337,300","691,300","177,900","130,700","308,600","1,087,600","$45,000 ","$104,070 ","$1,300 ","$1,844 "
10,"San Francisco-Oakland-Hayward, CA",46.4,24.0,30.4,13.2,"175,100","188,100","363,200","782,600","156,100","119,500","275,600","907,300","$61,000 ","$117,050 ","$1,614 ","$2,178 "
11,"Phoenix-Mesa-Scottsdale, AZ",47.3,24.3,23.9,10.6,"145,300","154,000","299,300","632,800","129,100","103,600","232,700","975,500","$38,910 ","$70,000 ",$990 ,"$1,095 "
