,metropolitan area,cost burdened renter share (%),severely burdened renter share (%),cost burdened owner share (%),severely burdened owner share (%),moderately burdened renter households,severely burdened renter households,total burdened renter households,number of renter households,moderately burdened owner households,severely burdened owner households,total burdened owner households,number of owner households,median income of renter households,median income of owner households,median monthly housing cost of renter households,median monthly housing cost of owner households
12,"Riverside-San Bernardino-Ontario, CA",56.7,30.6,33.4,14.6,"137,400","161,500","298,800","527,300","153,100","119,500","272,500","816,300","$37,000 ","$71,000 ","$1,160 ","$1,390 "
13,"Detroit-Warren-Dearborn, MI",49.5,27.5,22.9,10.5,"117,700","146,500","264,200","533,800","141,700","119,400","261,100","1,140,900","$30,000 ","$68,000 ",$870 ,$988 
14,"Seattle-Tacoma-Bellevue, WA",45.4,22.7,25.4,10.0,"130,200","130,100","260,300","573,600","133,300","86,200","219,500","863,600","$50,000 ","$96,400 ","$1,268 ","$1,662 "
15,"Minneapolis-St. Paul-Bloomington, MN-WI",46.4,23.3,20.1,7.6,"97,500","98,400","195,900","422,700","116,800","70,500","187,300","934,000","$38,600 ","$88,000 ",$960 ,"$1,310 "
16,"San Diego-Carlsbad, CA",54.6,28.4,34.2,15.0,"139,700","151,600","291,200","533,700","111,700","86,900","198,500","579,900","$50,000 ","$90,800 ","$1,440 ","$1,832 "
17,"Tampa-St. Petersburg-Clearwater, FL",50.5,26.1,25.7,11.5,"105,900","112,800","218,700","432,900","104,500","84,200","188,800","733,800","$36,000 ","$59,600 ",$970 ,$918 
18,"Denver-Aurora-Lakewood, CO",47.9,23.4,22.9,8.8,"97,500","92,900","190,500","397,500","95,100","59,600","154,600","675,600","$45,000 ","$87,000 ","$1,190 ","$1,410 "
19,"St. Louis, MO-IL",45.6,24.1,20.6,8.5,"75,600","84,700","160,200","351,700","92,000","64,200","156,100","756,300","$32,200 ","$70,050 ",$820 ,"$1,025 "
20,"Baltimore-Columbia-Towson, MD",47.8,25.4,24.5,10.8,"80,300","91,100","171,400","358,300","93,400","73,200","166,600","679,900","$44,000 ","$92,000 ","$1,172 ","$1,492 "
21,"Charlotte-Concord-Gastonia, NC-SC",45.9,23.4,22.7,10.1,"72,400","75,100","147,600","321,700","73,700","58,600","132,300","582,600","$35,000 ","$69,400 ",$910 ,"$1,025 "
22,"Portland-Vancouver-Hillsboro, OR-WA",47.6,24.3,25.1,9.5,"81,200","85,000","166,200","349,400","86,500","52,400","138,900","554,500","$41,600 ","$81,900 ","$1,047 ","$1,422 "
23,"Orlando-Kissimmee-Sanford, FL",54.6,27.6,26.8,11.6,"90,700","92,400","183,100","335,500","77,500","59,600","137,100","512,600","$36,000 ","$63,000 ","$1,053 ","$1,033 "
24,"San Antonio-New Braunfels, TX",44.2,21.5,22.1,8.0,"71,000","66,900","137,900","311,700","67,200","38,400","105,600","478,600","$38,000 ","$68,000 ",$914 ,$958 
25,"Pittsburgh, PA",43.4,23.4,18.3,7.9,"60,600","71,100","131,700","303,700","71,000","54,000","124,900","684,100","$29,700 ","$68,920 ",$750 ,$850 
26,"Sacramento--Roseville--Arden-Arcade, CA",53.3,29.1,28.1,11.5,"80,600","97,000","177,700","333,200","78,700","55,000","133,700","476,100","$37,400 ","$85,000 ","$1,090 ","$1,483 "
27,"Cincinnati, OH-KY-IN",43.3,23.8,20.9,8.9,"56,100","68,200","124,300","287,100","65,300","48,700","114,000","544,900","$31,500 ","$74,000 ",$779 ,"$1,091 "
28,"Las Vegas-Henderson-Paradise, NV",52.1,27.0,24.4,10.6,"90,500","97,100","187,600","360,200","52,600","40,400","92,900","380,800","$36,000 ","$68,900 ","$1,000 ","$1,110 "
29,"Kansas City, MO-KS",40.6,20.2,18.0,6.8,"57,500","56,700","114,200","281,200","59,700","36,100","95,800","531,800","$36,000 ","$76,000 ",$868 ,"$1,084 "
30,"Cleveland-Elyria, OH",46.8,24.2,21.5,8.4,"67,800","72,800","140,600","300,500","72,000","46,200","118,200","549,000","$28,900 ","$67,800 ",$750 ,$975 
31,"Columbus, OH",45.4,23.4,20.6,7.1,"67,900","72,000","139,900","307,900","62,500","33,100","95,600","464,800","$35,000 ","$77,000 ",$880 ,"$1,170 "
32,"Austin-Round Rock, TX",47.8,23.1,23.3,9.5,"75,400","70,800","146,200","306,000","58,000","39,600","97,600","419,000","$44,600 ","$88,100 ","$1,101 ","$1,393 "
33,"Indianapolis-Carmel-Anderson, IN",48.5,25.2,18.0,7.7,"62,900","68,000","130,900","270,000","49,900","37,200","87,100","485,100","$31,000 ","$71,600 ",$833 ,"$1,000 "
34,"San Jose-Sunnyvale-Santa Clara, CA",46.7,24.8,28.5,11.8,"62,200","70,200","132,300","283,300","60,900","43,200","104,100","365,500","$76,500 ","$130,200 ","$1,880 ","$2,311 "
35,"Nashville-Davidson--Murfreesboro--Franklin, TN",45.0,22.1,20.0,8.4,"53,500","51,700","105,200","233,600","52,400","37,900","90,300","452,500","$36,000 ","$72,200 ",$920 ,"$1,040 "
36,"Virginia Beach-Norfolk-Newport News, VA-NC",54.3,27.3,27.5,10.9,"68,500","69,100","137,600","253,300","64,500","42,400","106,900","388,500","$38,000 ","$74,600 ","$1,080 ","$1,323 "
37,"Providence-Warwick, RI-MA",46.0,25.9,27.8,11.0,"50,200","65,100","115,300","251,000","62,600","41,200","103,800","373,500","$32,500 ","$82,200 ",$910 ,"$1,438 "
38,"Milwaukee-Waukesha-West Allis, WI",48.7,25.8,23.8,8.7,"58,100","65,400","123,500","253,400","56,400","32,700","89,200","374,400","$33,700 ","$78,000 ",$840 ,"$1,277 "
39,"Jacksonville, FL",49.8,24.3,24.0,11.3,"50,500","47,900","98,400","197,600","42,600","38,000","80,700","336,900","$35,900 ","$66,600 ",$990 ,"$1,025 "
40,"Oklahoma City, OK",43.6,20.1,19.8,8.5,"43,100","36,900","79,900","183,400","36,500","27,200","63,700","321,800","$34,300 ","$66,600 ",$823 ,$920 
41,"Memphis, TN-MS-AR",50.2,26.6,22.3,9.4,"46,900","52,800","99,700","198,500","38,100","27,900","65,900","295,600","$29,000 ","$65,000 ",$838 ,$960 
42,"Louisville/Jefferson County, KY-IN",43.1,20.2,18.7,7.7,"38,000","33,400","71,400","165,800","36,500","25,500","62,100","331,800","$31,200 ","$68,010 ",$767 ,$940 
43,"Raleigh, NC",42.9,21.6,18.6,7.2,"35,600","36,000","71,600","167,100","34,700","21,700","56,400","303,200","$40,100 ","$84,000 ",$962 ,"$1,230 "
44,"Richmond, VA",47.9,25.4,22.6,9.3,"38,800","43,700","82,500","172,300","41,000","28,800","69,900","309,600","$38,300 ","$78,900 ","$1,020 ","$1,230 "
45,"New Orleans-Metairie, LA",54.8,30.9,23.6,10.6,"45,600","59,300","104,900","191,600","37,800","30,800","68,600","290,200","$29,000 ","$65,600 ",$910 ,$936 
46,"Hartford-West Hartford-East Hartford, CT",47.4,27.2,27.1,10.3,"31,400","42,400","73,800","155,700","51,900","31,800","83,700","308,900","$36,600 ","$94,700 ","$1,030 ","$1,569 "
47,"Salt Lake City, UT",43.8,21.5,20.4,7.0,"28,100","27,200","55,400","126,400","33,600","17,600","51,200","250,700","$39,700 ","$80,000 ",$960 ,"$1,252 "
48,"Birmingham-Hoover, AL",45.9,27.7,21.7,9.3,"25,100","38,100","63,100","137,500","38,000","28,500","66,500","306,400","$26,900 ","$64,000 ",$780 ,$880 
49,"Buffalo-Cheektowaga-Niagara Falls, NY",48.6,28.9,18.0,7.2,"32,100","47,300","79,300","163,300","32,900","21,900","54,800","304,700","$25,400 ","$70,100 ",$740 ,$928 
50,"Rochester, NY",52.7,29.0,21.7,8.0,"33,200","40,800","74,000","140,500","39,500","23,000","62,500","287,900","$28,000 ","$72,500 ",$820 ,"$1,057 "
51,"Grand Rapids-Wyoming, MI",46.3,27.9,17.5,6.2,"20,200","30,700","50,900","109,900","30,600","17,000","47,600","272,600","$31,500 ","$66,700 ",$800 ,$910 
52,"Tucson, AZ",49.7,26.5,23.6,10.1,"36,000","41,000","77,000","154,800","32,400","24,500","56,800","241,200","$30,300 ","$60,300 ",$820 ,$895 
53,"Urban Honolulu, HI",56.0,30.9,31.4,13.2,"35,300","43,500","78,800","140,700","30,500","22,000","52,400","167,000","$58,000 ","$103,000 ","$1,600 ","$1,820 "
54,"Tulsa, OK",42.4,20.7,19.6,7.6,"30,300","28,900","59,200","139,800","29,000","18,500","47,500","242,600","$31,000 ","$65,300 ",$790 ,$902 
55,"Fresno, CA",54.7,30.5,27.3,11.8,"34,900","44,100","78,900","144,200","24,800","18,900","43,700","160,000","$30,000 ","$67,800 ",$890 ,"$1,171 "
56,"Bridgeport-Stamford-Norwalk, CT",54.6,31.8,35.2,16.8,"24,700","34,600","59,400","108,700","41,300","37,800","79,000","224,800","$43,500 ","$110,000 ","$1,430 ","$2,197 "
57,"Worcester, MA-CT",45.7,23.3,26.8,10.7,"27,000","28,100","55,100","120,600","36,600","24,200","60,800","226,600","$35,500 ","$87,000 ",$977 ,"$1,504 "
58,"Omaha-Council Bluffs, NE-IA",43.9,23.4,18.3,7.5,"25,300","28,700","54,100","123,000","24,700","17,100","41,800","229,100","$35,000 ","$80,000 ",$850 ,"$1,134 "
59,"Albuquerque, NM",50.5,27.3,25.8,12.0,"26,300","30,900","57,300","113,500","31,800","27,600","59,400","230,200","$30,000 ","$60,000 ",$820 ,"$1,000 "
60,"Bakersfield, CA",49.6,25.7,25.3,11.8,"27,500","29,500","57,000","114,900","20,000","17,600","37,600","148,400","$34,000 ","$69,010 ",$900 ,"$1,097 "
61,"Albany-Schenectady-Troy, NY",46.4,25.8,18.9,7.5,"25,900","32,400","58,400","125,700","24,900","16,200","41,100","217,100","$35,000 ","$82,240 ",$940 ,"$1,185 "
62,"Greenville-Anderson-Mauldin, SC",42.1,21.6,18.0,7.6,"22,400","23,600","46,100","109,500","23,400","17,100","40,500","224,700","$30,000 ","$60,000 ",$768 ,$785 
63,"Knoxville, TN",44.1,21.8,17.9,8.0,"24,700","24,100","48,900","110,800","22,900","18,600","41,400","231,000","$26,700 ","$61,000 ",$730 ,$748 
64,"New Haven-Milford, CT",55.1,29.3,31.1,13.3,"32,100","36,500","68,700","124,600","35,400","26,300","61,700","198,600","$35,000 ","$91,900 ","$1,060 ","$1,556 "
65,"Oxnard-Thousand Oaks-Ventura, CA",55.5,25.8,32.7,13.7,"29,000","25,300","54,300","98,000","32,600","23,500","56,100","171,600","$51,700 ","$100,000 ","$1,560 ","$2,021 "
66,"McAllen-Edinburg-Mission, TX",47.6,28.6,24.4,11.7,"12,900","19,300","32,100","67,500","20,200","18,500","38,700","158,200","$25,000 ","$41,000 ",$700 ,$558 
67,"El Paso, TX",40.9,18.4,22.1,9.2,"23,000","18,700","41,800","102,000","20,600","14,600","35,300","159,800","$30,000 ","$54,500 ",$765 ,$828 
68,"Allentown-Bethlehem-Easton, PA-NJ",48.0,22.4,26.4,9.7,"25,300","22,200","47,600","99,000","36,100","20,900","57,000","216,000","$36,000 ","$74,200 ","$1,000 ","$1,283 "
69,"Baton Rouge, LA",49.3,28.5,19.7,9.3,"19,200","26,300","45,600","92,400","21,600","19,300","40,900","208,100","$29,150 ","$69,200 ",$855 ,$858 
70,"Columbia, SC",48.7,25.2,21.1,10.1,"23,700","25,500","49,100","100,900","22,200","20,400","42,600","201,800","$32,000 ","$62,000 ",$855 ,$904 
71,"Dayton, OH",43.9,23.5,21.6,8.9,"25,000","28,800","53,800","122,500","26,500","18,500","45,000","208,000","$30,000 ","$65,000 ",$750 ,$942 
72,"North Port-Sarasota-Bradenton, FL",50.0,24.8,24.3,10.8,"23,400","23,100","46,400","92,900","29,700","23,700","53,400","219,600","$40,000 ","$61,300 ","$1,048 ",$866 
73,"Greensboro-High Point, NC",46.3,22.2,21.6,8.6,"27,000","25,000","52,000","112,300","23,300","15,400","38,700","179,200","$30,000 ","$59,480 ",$760 ,$883 
74,"Charleston-North Charleston, SC",42.3,23.0,24.9,11.5,"18,400","21,800","40,200","95,000","24,000","20,500","44,400","178,700","$40,000 ","$70,000 ","$1,045 ","$1,124 "
75,"Little Rock-North Little Rock-Conway, AR",47.7,26.8,19.9,8.7,"21,800","28,100","49,900","104,700","19,900","15,500","35,300","177,300","$30,000 ","$64,920 ",$807 ,$893 
76,"Stockton-Lodi, CA",54.0,28.2,30.2,10.6,"26,100","28,600","54,700","101,200","23,900","12,900","36,800","121,800","$34,400 ","$71,500 ","$1,030 ","$1,367 "
77,"Akron, OH",44.7,23.0,18.2,6.3,"21,100","22,400","43,400","97,200","22,200","11,600","33,700","185,200","$30,000 ","$68,000 ",$730 ,$930 
78,"Cape Coral-Fort Myers, FL",53.0,28.5,27.3,13.5,"19,800","23,100","42,900","81,000","25,200","24,600","49,800","182,700","$35,000 ","$58,000 ","$1,000 ",$840 
79,"Colorado Springs, CO",52.0,26.4,24.9,9.3,"25,500","26,400","51,900","99,800","25,100","15,000","40,200","161,600","$36,000 ","$74,000 ","$1,030 ","$1,250 "
80,"Boise City, ID",47.1,23.2,21.7,9.9,"18,300","17,800","36,200","76,800","19,600","16,400","36,000","166,200","$32,000 ","$65,000 ",$830 ,"$1,000 "
81,"Syracuse, NY",46.9,27.2,19.1,7.5,"16,800","23,200","40,000","85,200","19,600","12,600","32,200","168,800","$30,100 ","$72,000 ",$800 ,$994 
82,"Winston-Salem, NC",43.9,22.1,19.8,8.4,"19,900","20,100","39,900","91,000","19,300","14,200","33,500","169,100","$28,000 ","$59,900 ",$711 ,$817 
83,"Lakeland-Winter Haven, FL",53.7,26.2,22.4,10.6,"20,600","19,700","40,300","75,100","18,100","16,100","34,100","152,000","$32,500 ","$51,500 ",$900 ,$763 
84,"Wichita, KS",43.3,22.2,17.7,8.4,"18,400","19,400","37,800","87,200","14,600","13,300","27,900","157,200","$30,000 ","$62,000 ",$737 ,$871 
85,"Ogden-Clearfield, UT",45.2,19.8,17.7,5.0,"13,400","10,500","23,900","52,900","18,900","7,300","26,200","148,100","$36,420 ","$77,400 ",$890 ,"$1,176 "
86,"Madison, WI",44.6,19.7,20.4,6.9,"26,100","20,600","46,800","104,800","21,400","11,000","32,400","158,800","$36,160 ","$83,920 ",$900 ,"$1,342 "
87,"Springfield, MA",52.8,28.1,24.7,9.5,"21,900","24,800","46,600","88,300","22,700","14,200","36,900","149,200","$28,000 ","$73,900 ",$920 ,"$1,270 "
88,"Deltona-Daytona Beach-Ormond Beach, FL",57.0,30.2,28.7,12.2,"19,600","22,100","41,700","73,100","29,000","21,500","50,500","175,800","$30,000 ","$49,010 ",$963 ,$790 
89,"Des Moines-West Des Moines, IA",43.4,23.0,19.2,7.1,"15,500","17,400","32,900","75,700","20,000","11,800","31,800","165,700","$34,000 ","$74,600 ",$820 ,"$1,118 "
90,"Toledo, OH",45.5,24.9,18.9,8.1,"18,700","22,600","41,300","90,900","16,500","12,200","28,700","151,700","$27,000 ","$65,000 ",$700 ,$887 
91,"Augusta-Richmond County, GA-SC",50.2,30.3,21.0,9.0,"13,900","21,100","34,900","69,700","16,600","12,600","29,200","139,500","$27,600 ","$60,000 ",$808 ,$873 
92,"Provo-Orem, UT",39.1,18.6,20.5,7.6,"10,600","9,600","20,300","51,900","13,800","8,100","21,900","106,600","$43,000 ","$79,050 ",$960 ,"$1,260 "
93,"Jackson, MS",49.4,28.9,20.7,10.7,"14,800","20,800","35,600","72,000","13,900","14,900","28,800","139,400","$26,000 ","$61,000 ",$830 ,$848 
94,"Palm Bay-Melbourne-Titusville, FL",49.8,22.7,24.2,9.5,"18,200","15,300","33,400","67,100","23,200","15,100","38,300","158,500","$36,000 ","$58,000 ",$970 ,$836 
95,"Harrisburg-Carlisle, PA",47.4,22.9,20.4,6.5,"18,100","16,900","35,000","73,900","21,000","9,900","30,900","152,000","$35,600 ","$71,000 ",$885 ,"$1,088 "
96,"Scranton--Wilkes-Barre--Hazleton, PA",45.7,27.7,23.8,11.2,"13,000","19,900","32,900","72,000","18,800","16,600","35,500","149,100","$27,220 ","$60,000 ",$740 ,$815 
97,"Durham-Chapel Hill, NC",43.0,23.6,22.8,9.7,"17,500","21,200","38,600","89,800","16,100","11,900","27,900","122,500","$35,600 ","$78,500 ",$930 ,"$1,130 "
98,"Youngstown-Warren-Boardman, OH-PA",46.3,21.7,18.7,7.2,"17,000","14,900","31,900","68,900","18,400","11,500","29,900","159,800","$24,400 ","$54,000 ",$640 ,$678 
99,"Spokane-Spokane Valley, WA",50.0,24.8,26.4,10.9,"20,800","20,500","41,300","82,600","20,600","14,600","35,200","133,400","$29,000 ","$63,160 ",$770 ,"$1,004 "
