,project_types,total_year_round_beds_2020,total_year_round_beds_2021,difference
0,ES,4328,4441,113
1,TH,847,922,75
2,PSH,1004,1337,333
3,RRH,1137,1514,377
4,Total,7316,8214,898
5,,-2147483648,-2147483648,-2147483648
6,,-2147483648,-2147483648,-2147483648
7,,-2147483648,-2147483648,-2147483648
8,HIC FAQ's,-2147483648,-2147483648,-2147483648
