----------------------- Metropolitan Area -----------------------,Share of,Share of,Median Price,Monthly,Median,Median
,All,Renter,of Single-Family,Payment on,Household,Renter
,Households,Households,House,Median-Priced,Income,Household
,(%),(%),,Single-Family,,Income
,,,,House,,
,,,,,,
"Dallas-Fort Worth-Arlington, TX",65.5,48,"$206,000 ","$1,260 ","$61,640 ","$41,110 "
"Houston-The Woodlands-Sugar Land, TX",63.7,45,"$212,000 ","$1,300 ","$61,470 ","$39,500 "
