Housing Inventory Count,,,
Project Types,Total Year-Round Beds 2019,Total Year-Round Beds 2020,Difference
ES,4212,4328,116
TH,985,847,-138
PSH,977,1004,27
RRH,859,1137,278
Total,7033,7316,283
,,,
,,,
,,,
HIC FAQ's,,,
