,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
AL-507,202,133,93,46.04%,110,92,0,50,136,66,0,4,23,110,41,5,4.55%,14,1,23,58,52,0,4,23,92,92,88,95.65%,27,78,14,0,0,0,0,0,0,.,0,0,0,0,0,0,107,107,107,100.00%,19,75,32,0,3,0,76,76,76,100.00%,4,12,64,0,10,4,3,0,0,0,.,0,0,0,0,0,0
AR-500,882,693,328,37.19%,641,241,0,82,258,624,0,78,23,641,502,171,26.68%,0,20,56,188,453,0,31,0,241,191,157,65.15%,26,70,171,0,47,23,0,0,0,.,0,0,0,0,0,0,237,237,237,100.00%,22,77,160,0,87,0,959,959,551,57.46%,107,293,666,0,408,0,0,0,0,0,.,0,0,0,0,0,0
AR-501,242,142,127,52.48%,214,28,0,38,112,130,0,15,18,214,114,99,46.26%,0,0,31,100,114,0,15,18,28,28,28,100.00%,7,12,16,0,0,0,0,0,0,.,0,0,0,0,0,0,41,41,41,100.00%,0,0,41,0,0,0,66,66,66,100.00%,17,44,22,0,0,0,7,0,0,0,.,0,0,0,0,0,0
AR-503,562,358,225,40.04%,475,87,0,61,247,315,0,0,0,475,271,169,35.58%,0,0,51,212,263,0,0,0,87,87,56,64.37%,10,35,52,0,0,0,0,0,0,.,0,0,0,0,0,0,212,212,212,100.00%,52,153,59,0,0,0,15,15,15,100.00%,0,0,15,0,0,0,15,0,0,0,.,0,0,0,0,0,0
AZ-500,1108,662,579,52.26%,876,232,0,102,469,634,5,81,5,876,519,463,52.85%,23,19,66,358,513,5,5,5,232,143,116,50.00%,36,111,121,0,76,0,0,0,0,.,0,0,0,0,0,0,840,840,840,100.00%,129,475,365,0,141,2,1087,1087,911,83.81%,119,424,663,0,536,0,528,8,8,8,100.00%,1,5,3,0,8,0
AZ-501,965,882,882,91.40%,584,357,24,132,375,586,4,152,78,584,521,521,89.21%,109,12,81,220,360,4,48,8,357,337,337,94.40%,51,155,202,0,95,70,24,24,24,100.00%,0,0,24,0,9,0,755,740,740,98.01%,153,570,185,0,35,15,1759,1759,952,54.12%,157,540,1210,9,807,65,183,0,0,0,.,0,0,0,0,0,0
AZ-502,4006,3399,2891,72.17%,2172,1781,53,587,2032,1950,24,329,123,2172,1761,1627,74.91%,0,121,313,1088,1068,16,32,47,1781,1585,1211,68.00%,274,944,829,8,244,76,53,53,53,100.00%,0,0,53,0,53,0,1463,1434,1436,98.15%,279,1053,410,0,287,31,5857,5857,5857,100.00%,426,1453,4404,0,1124,17,1192,338,338,338,100.00%,74,289,49,0,25,10
CA-500,1648,1553,1553,94.24%,1069,559,20,127,419,1221,8,212,99,1069,988,988,92.42%,386,15,88,295,766,8,75,24,559,545,545,97.50%,39,124,435,0,117,75,20,20,20,100.00%,0,0,20,0,20,0,1486,1380,1396,93.94%,357,1215,271,0,92,51,3829,3761,1940,50.67%,484,1495,2334,0,1374,62,2040,126,126,126,100.00%,33,126,0,0,0,0
CA-501,3530,3375,881,24.96%,2903,627,0,431,847,2683,0,171,281,2903,2822,617,21.25%,65,10,312,657,2246,0,95,89,627,553,264,42.11%,119,190,437,0,76,192,0,0,0,.,0,0,0,0,0,0,1187,1187,1187,100.00%,422,422,765,0,24,152,5897,5897,3324,56.37%,353,822,5075,0,1371,106,3913,4154,4154,2932,70.58%,358,1091,3063,0,0,64
CA-502,2032,1847,1491,73.38%,1383,617,32,159,554,1460,18,215,169,1383,1208,933,67.46%,160,33,109,391,974,18,95,66,617,607,526,85.25%,50,163,454,0,88,103,32,32,32,100.00%,0,0,32,0,32,0,633,633,633,100.00%,102,353,278,2,25,87,3545,3543,2684,75.71%,441,1205,2325,15,699,80,602,0,0,0,.,0,0,0,0,0,0
CA-503,1783,1701,1502,84.24%,1193,590,0,223,642,1141,0,139,216,1193,1133,1027,86.09%,130,3,109,337,856,0,40,54,590,568,475,80.51%,114,305,285,0,99,162,0,0,0,.,0,0,0,0,0,0,772,772,766,99.22%,185,635,137,0,79,63,3251,3251,2624,80.71%,414,1335,1916,0,713,55,2594,91,91,91,100.00%,4,12,79,0,31,0
CA-504,1112,1080,836,75.18%,737,375,0,54,268,838,6,26,55,737,705,645,87.52%,119,90,36,194,537,6,18,43,375,375,191,50.93%,18,74,301,0,8,12,0,0,0,.,0,0,0,0,0,0,630,617,541,85.87%,136,285,345,0,40,9,823,823,399,48.48%,36,79,744,0,421,42,518,145,145,145,100.00%,14,36,109,0,0,24
CA-505,726,675,675,92.98%,532,194,0,60,207,519,0,31,32,532,508,508,95.49%,78,20,45,160,372,0,15,15,194,167,167,86.08%,15,47,147,0,16,17,0,0,0,.,0,0,0,0,0,0,231,231,231,100.00%,62,184,47,0,47,0,1156,1156,868,75.09%,246,667,489,0,304,10,584,6,6,0,0.00%,0,0,6,0,0,0
CA-506,920,875,656,71.30%,411,509,0,126,567,353,0,83,12,411,366,159,38.69%,132,0,21,175,236,0,10,12,509,509,497,97.64%,105,392,117,0,73,0,0,0,0,.,0,0,0,0,0,0,226,226,226,100.00%,53,163,63,0,51,0,301,301,71,23.59%,23,60,241,0,221,2,242,0,0,0,.,0,0,0,0,0,0
CA-507,381,291,291,76.38%,201,180,0,54,177,204,0,16,4,201,171,171,85.07%,0,0,10,50,151,0,0,0,180,120,120,66.67%,44,127,53,0,16,4,0,0,0,.,0,0,0,0,0,0,48,48,48,100.00%,24,32,16,0,5,3,514,514,514,100.00%,35,117,397,0,65,0,368,90,90,49,54.44%,14,37,53,0,0,0
CA-508,628,610,544,86.62%,446,182,0,87,261,367,0,18,34,446,428,406,91.03%,0,20,57,163,283,0,12,0,182,182,138,75.82%,30,98,84,0,6,34,0,0,0,.,0,0,0,0,0,0,420,420,420,100.00%,118,334,86,0,49,7,658,658,287,43.62%,43,121,537,0,352,7,618,0,0,0,.,0,0,0,0,0,0
CA-509,171,130,73,42.69%,47,124,0,22,113,58,0,0,26,47,34,26,55.32%,66,0,5,47,0,0,0,6,124,96,47,37.90%,17,66,58,0,0,20,0,0,0,.,0,0,0,0,0,0,41,41,21,51.22%,1,20,21,0,21,21,363,363,353,97.25%,26,149,214,0,148,13,243,0,0,0,.,0,0,0,0,0,0
CA-510,1065,1052,915,85.92%,817,248,0,85,248,795,22,16,38,817,804,667,81.64%,73,0,51,152,643,22,0,22,248,248,248,100.00%,34,96,152,0,16,16,0,0,0,.,0,0,0,0,0,0,12,12,2,16.67%,2,9,3,0,11,0,555,555,326,58.74%,75,239,316,0,217,0,356,0,0,0,.,0,0,0,0,0,0
CA-511,1307,1263,1179,90.21%,947,360,0,167,680,619,8,46,18,947,903,903,95.35%,100,7,122,507,432,8,6,10,360,360,276,76.67%,45,173,187,0,40,8,0,0,0,.,0,0,0,0,0,0,364,364,360,98.90%,99,347,17,0,24,0,726,726,726,100.00%,92,275,451,0,326,45,271,0,0,0,.,0,0,0,0,0,0
CA-512,752,704,696,92.55%,580,172,0,123,413,333,6,60,16,580,552,544,93.79%,0,4,76,258,316,6,60,6,172,152,152,88.37%,47,155,17,0,0,10,0,0,0,.,0,0,0,0,0,0,367,360,358,97.55%,90,330,37,0,10,0,1218,1218,977,80.21%,105,370,848,0,348,30,375,47,0,0,0.00%,13,45,2,0,0,0
CA-513,494,369,333,67.41%,310,184,0,40,208,286,0,0,20,310,233,233,75.16%,0,0,28,160,150,0,0,0,184,136,100,54.35%,12,48,136,0,0,20,0,0,0,.,0,0,0,0,0,0,139,139,139,100.00%,13,46,93,0,64,0,235,235,169,71.91%,24,66,169,0,52,0,158,65,65,65,100.00%,5,20,45,0,0,0
CA-514,1046,843,351,33.56%,898,148,0,166,522,514,10,84,46,898,740,248,27.62%,83,4,129,437,451,10,41,26,148,103,103,69.59%,37,85,63,0,43,20,0,0,0,.,0,0,0,0,0,0,767,403,391,50.98%,196,627,140,0,63,0,1338,1338,696,52.02%,154,511,827,0,707,0,844,44,44,44,100.00%,2,7,37,0,44,0
CA-515,408,242,232,56.86%,242,166,0,32,186,222,0,0,6,242,187,181,74.79%,0,0,16,122,120,0,0,0,166,55,51,30.72%,16,64,102,0,0,6,0,0,0,.,0,0,0,0,0,0,74,44,44,59.46%,28,71,3,0,0,0,61,61,61,100.00%,0,0,61,0,0,0,51,0,0,0,.,0,0,0,0,0,0
CA-516,625,554,130,20.80%,436,189,0,89,481,144,0,23,1,436,371,39,8.94%,33,0,70,398,38,0,1,1,189,183,91,48.15%,19,83,106,0,22,0,0,0,0,.,0,0,0,0,0,0,251,251,251,100.00%,231,233,18,0,11,0,55,55,36,65.45%,17,29,26,0,0,0,40,0,0,0,.,0,0,0,0,0,0
CA-517,145,129,117,80.69%,123,22,0,16,56,89,0,0,10,123,107,107,86.99%,55,5,11,39,84,0,0,0,22,22,10,45.45%,5,17,5,0,0,10,0,0,0,.,0,0,0,0,0,0,59,59,59,100.00%,17,30,29,0,12,0,50,50,50,100.00%,0,0,50,0,0,0,41,0,0,0,.,0,0,0,0,0,0
CA-518,331,331,201,60.73%,222,109,0,12,133,198,0,30,35,222,222,137,61.71%,0,0,11,113,109,0,18,0,109,109,64,58.72%,1,20,89,0,12,35,0,0,0,.,0,0,0,0,0,0,177,177,177,100.00%,12,48,129,0,106,0,228,228,54,23.68%,29,94,134,0,136,0,216,0,0,0,.,0,0,0,0,0,0
CA-519,573,530,424,74.00%,319,254,0,88,279,289,5,0,16,319,287,232,72.73%,16,22,25,105,214,0,0,4,254,243,192,75.59%,63,174,75,5,0,12,0,0,0,.,0,0,0,0,0,0,21,16,16,76.19%,5,5,16,0,0,0,176,176,176,100.00%,33,120,56,0,0,12,27,115,115,115,100.00%,13,61,54,0,0,28
CA-520,416,389,252,60.58%,272,144,0,64,203,213,0,8,6,272,260,231,84.93%,0,18,56,179,93,0,8,0,144,129,21,14.58%,8,24,120,0,0,6,0,0,0,.,0,0,0,0,0,0,46,46,46,100.00%,0,0,46,0,0,0,163,163,78,47.85%,27,75,88,0,85,4,8,0,0,0,.,0,0,0,0,0,0
CA-521,244,209,195,79.92%,193,51,0,34,107,137,0,0,23,193,158,152,78.76%,75,8,26,84,109,0,0,0,51,51,43,84.31%,8,23,28,0,0,23,0,0,0,.,0,0,0,0,0,0,334,291,291,87.13%,92,293,41,0,0,24,242,242,127,52.48%,22,64,178,0,40,0,121,0,0,0,.,0,0,0,0,0,0
CA-522,379,379,169,44.59%,294,85,0,18,134,240,5,51,5,294,294,84,28.57%,18,0,11,90,204,0,15,0,85,85,85,100.00%,7,44,36,5,36,5,0,0,0,.,0,0,0,0,0,0,213,213,213,100.00%,71,192,21,0,11,0,57,57,57,100.00%,2,10,47,0,0,0,51,0,0,0,.,0,0,0,0,0,0
CA-523,119,105,90,75.63%,61,58,0,35,119,0,0,0,0,61,47,47,77.05%,0,0,22,61,0,0,0,0,58,58,43,74.14%,13,58,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-524,338,338,338,100.00%,296,42,0,46,173,165,0,0,0,296,296,296,100.00%,30,35,42,149,147,0,0,0,42,42,42,100.00%,4,24,18,0,0,0,0,0,0,.,0,0,0,0,0,0,213,213,209,98.12%,54,198,15,0,0,0,18,18,18,100.00%,1,4,14,0,18,0,0,4,4,4,100.00%,0,0,4,0,0,0
CA-525,148,115,43,29.05%,82,66,0,29,104,32,12,0,12,82,64,12,14.63%,92,0,21,70,0,12,0,12,66,51,31,46.97%,8,34,32,0,0,0,0,0,0,.,0,0,0,0,0,0,85,85,10,11.76%,25,75,10,0,0,0,5,5,0,0.00%,0,0,5,0,5,0,0,0,0,0,.,0,0,0,0,0,0
CA-526,223,141,141,63.23%,172,51,0,45,149,74,0,12,0,172,114,114,66.28%,0,0,35,113,59,0,0,0,51,27,27,52.94%,10,36,15,0,12,0,0,0,0,.,0,0,0,0,0,0,100,100,100,100.00%,23,75,25,0,9,0,58,58,17,29.31%,8,21,37,0,41,0,46,0,0,0,.,0,0,0,0,0,0
CA-527,62,22,22,35.48%,24,38,0,10,41,21,0,0,0,24,0,0,0.00%,40,0,4,21,3,0,0,0,38,22,22,57.89%,6,20,18,0,0,0,0,0,0,.,0,0,0,0,0,0,188,72,72,38.30%,46,174,14,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-529,63,60,20,31.75%,25,38,0,1,22,41,0,0,6,25,22,0,0.00%,24,0,1,22,3,0,0,0,38,38,20,52.63%,0,0,38,0,0,6,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,210,210,15,7.14%,0,0,210,0,10,0,0,24,24,0,0.00%,3,12,0,12,0,12
CA-530,32,21,21,65.63%,11,21,0,4,21,11,0,0,0,11,11,11,100.00%,0,0,1,5,6,0,0,0,21,10,10,47.62%,3,16,5,0,0,0,0,0,0,.,0,0,0,0,0,0,7,7,5,71.43%,2,5,2,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-531,99,81,81,81.82%,87,12,0,10,16,83,0,0,0,87,69,69,79.31%,75,0,10,16,71,0,0,0,12,12,12,100.00%,0,0,12,0,0,0,0,0,0,.,0,0,0,0,0,0,97,97,10,10.31%,28,87,10,0,0,0,42,42,37,88.10%,2,5,37,0,0,2,31,2,2,2,100.00%,1,2,0,0,0,0
CA-600,18955,17773,12320,65.00%,14719,4111,125,3363,10178,8777,0,784,1159,14719,14024,10151,68.97%,1169,0,2861,8650,6069,0,149,369,4111,3624,2044,49.72%,502,1528,2583,0,535,790,125,125,125,100.00%,0,0,125,0,100,0,6045,5942,5893,97.49%,1236,4372,1673,0,343,205,22683,22466,13820,60.93%,1862,5934,16749,0,6287,493,4236,2030,1988,1375,67.73%,260,752,1278,0,0,23
CA-601,4177,3711,3246,77.71%,2424,1700,53,492,1502,2667,8,587,248,2424,2230,2149,88.66%,82,2,236,815,1601,8,220,97,1700,1428,1066,62.71%,256,687,1013,0,345,151,53,53,31,58.49%,0,0,53,0,22,0,1846,1663,1618,87.65%,424,1236,610,0,416,62,4901,4901,4826,98.47%,406,1342,3559,0,2728,95,740,939,939,839,89.35%,0,0,939,0,140,16
CA-602,3184,2902,2171,68.18%,2167,1017,0,403,1250,1914,20,26,20,2167,1993,1608,74.20%,400,147,160,540,1607,20,0,20,1017,909,563,55.36%,243,710,307,0,26,0,0,0,0,.,0,0,0,0,0,0,663,529,430,64.86%,193,516,147,0,99,0,2496,2496,2431,97.40%,383,1255,1241,0,984,14,678,295,295,295,100.00%,61,229,66,0,0,0
CA-603,810,689,475,58.64%,647,163,0,48,328,469,13,38,14,647,571,376,58.11%,0,35,33,249,385,13,12,14,163,118,99,60.74%,15,79,84,0,26,0,0,0,0,.,0,0,0,0,0,0,186,186,159,85.48%,26,77,109,0,48,0,707,707,348,49.22%,40,151,556,0,316,9,278,277,277,90,32.49%,65,247,30,0,0,0
CA-604,697,579,368,52.80%,433,264,0,74,292,405,0,59,10,433,376,167,38.57%,0,10,38,181,252,0,0,7,264,203,201,76.14%,36,111,153,0,59,3,0,0,0,.,0,0,0,0,0,0,602,593,593,98.50%,58,64,538,0,37,1,2308,2308,1720,74.52%,369,1300,1008,0,318,57,450,9,9,9,100.00%,3,7,2,0,9,4
CA-606,562,451,419,74.56%,245,317,0,53,162,400,0,232,0,245,203,203,82.86%,125,0,23,75,170,0,16,0,317,248,216,68.14%,30,87,230,0,216,0,0,0,0,.,0,0,0,0,0,0,378,378,320,84.66%,70,203,175,0,161,10,1662,1662,1608,96.75%,154,582,1080,0,921,0,183,240,240,0,0.00%,0,0,240,0,240,0
CA-607,183,183,183,100.00%,132,51,0,33,89,94,0,0,6,132,132,132,100.00%,140,21,14,41,91,0,0,6,51,51,51,100.00%,19,48,3,0,0,0,0,0,0,.,0,0,0,0,0,0,25,25,25,100.00%,0,0,25,0,0,5,434,434,418,96.31%,42,134,300,0,16,7,119,0,0,0,.,0,0,0,0,0,0
CA-608,931,811,811,87.11%,839,92,0,91,352,555,24,25,56,839,759,759,90.46%,55,0,80,310,505,24,0,29,92,52,52,56.52%,11,42,50,0,25,27,0,0,0,.,0,0,0,0,0,0,318,318,318,100.00%,69,238,80,0,41,0,1744,1744,1744,100.00%,112,414,1330,0,975,17,860,0,0,0,.,0,0,0,0,0,0
CA-609,693,575,477,68.83%,483,186,24,144,410,272,11,33,22,483,419,321,66.46%,79,0,107,272,202,9,0,9,186,132,132,70.97%,37,138,46,2,9,13,24,24,24,100.00%,0,0,24,0,24,0,2101,2101,2101,100.00%,468,1633,468,0,180,0,1603,1603,1603,100.00%,199,656,947,0,708,0,657,0,0,0,.,0,0,0,0,0,0
CA-611,569,436,367,64.50%,354,205,10,101,271,293,5,18,26,354,312,248,70.06%,63,0,40,118,231,5,0,26,205,114,109,53.17%,61,153,52,0,18,0,10,10,10,100.00%,0,0,10,0,0,0,683,683,683,100.00%,166,529,154,0,33,0,693,693,485,69.99%,65,151,542,0,217,8,544,0,0,0,.,0,0,0,0,0,0
CA-612,111,99,99,89.19%,57,54,0,24,80,31,0,0,3,57,45,45,78.95%,0,0,5,26,31,0,0,3,54,54,54,100.00%,19,54,0,0,0,0,0,0,0,.,0,0,0,0,0,0,15,15,15,100.00%,5,13,2,0,0,0,189,189,120,63.49%,19,84,105,0,32,0,157,0,0,0,.,0,0,0,0,0,0
CA-613,303,201,98,32.34%,149,154,0,30,150,153,0,0,0,149,110,70,46.98%,0,10,4,59,90,0,0,0,154,91,28,18.18%,26,91,63,0,0,0,0,0,0,.,0,0,0,0,0,0,157,8,8,5.10%,51,152,5,0,8,0,321,321,273,85.05%,149,321,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-614,290,225,180,62.07%,259,31,0,31,155,135,0,0,14,259,221,180,69.50%,0,40,21,128,131,0,0,14,31,4,0,0.00%,10,27,4,0,0,0,0,0,0,.,0,0,0,0,0,0,404,404,404,100.00%,126,374,30,0,10,1,357,357,125,35.01%,25,85,272,0,230,6,131,4,4,4,100.00%,0,0,4,0,0,0
CO-500,1089,863,288,26.45%,647,442,0,384,417,672,0,48,55,647,451,260,40.19%,177,125,287,311,336,0,8,22,442,412,28,6.33%,97,106,336,0,40,33,0,0,0,.,0,0,0,0,0,0,377,328,328,87.00%,151,315,62,0,27,0,851,851,522,61.34%,169,199,652,0,465,30,184,0,0,0,.,0,0,0,0,0,0
CO-503,5535,5328,3177,57.40%,3270,2202,63,497,1990,3516,29,264,99,3270,3088,2025,61.93%,190,12,161,595,2656,19,0,54,2202,2202,1114,50.59%,336,1395,797,10,226,45,63,38,38,60.32%,0,0,63,0,38,0,1161,1133,1160,99.91%,306,997,164,0,70,47,3171,3171,1962,61.87%,157,327,2781,63,1133,106,2674,1449,1449,527,36.37%,180,471,976,2,29,28
CO-504,1184,1150,918,77.53%,790,394,0,119,427,757,0,31,29,790,756,756,95.70%,0,2,29,165,625,0,0,20,394,394,162,41.12%,90,262,132,0,31,9,0,0,0,.,0,0,0,0,0,0,99,99,99,100.00%,18,58,41,0,41,22,698,698,629,90.11%,75,290,408,0,426,39,644,40,40,40,100.00%,3,36,4,0,0,4
CO-505,466,352,77,16.52%,366,100,0,131,274,192,0,16,0,366,252,77,21.04%,164,126,112,186,180,0,16,0,100,100,0,0.00%,19,88,12,0,0,0,0,0,0,.,0,0,0,0,0,0,197,187,81,41.12%,41,176,21,0,13,0,412,412,393,95.39%,47,134,278,0,199,10,131,27,27,27,100.00%,0,0,27,0,0,0
CT-503,747,670,634,84.87%,560,187,0,132,356,377,14,47,31,560,497,461,82.32%,54,44,91,269,277,14,0,14,187,173,173,92.51%,41,87,100,0,47,17,0,0,0,.,0,0,0,0,0,0,233,205,205,87.98%,45,124,109,0,39,1,1977,1963,1963,99.29%,223,615,1362,0,114,19,1886,0,0,0,.,0,0,0,0,0,0
CT-505,1853,1590,1542,83.22%,1502,340,11,237,785,1059,9,131,111,1502,1299,1293,86.09%,395,95,197,668,825,9,19,14,340,280,238,70.00%,40,117,223,0,101,97,11,11,11,100.00%,0,0,11,0,11,0,1127,1026,1026,91.04%,193,581,546,0,219,220,5291,5226,3869,73.12%,572,1573,3718,0,1090,7,3392,0,0,0,.,0,0,0,0,0,0
DC-500,6687,6344,5959,89.11%,5110,1577,0,1053,3252,3416,19,170,604,5110,5040,4849,94.89%,783,0,801,2598,2493,19,0,111,1577,1304,1110,70.39%,252,654,923,0,170,493,0,0,0,.,0,0,0,0,0,0,5972,5953,5953,99.68%,1836,5742,230,0,70,23,9958,9863,8535,85.71%,1682,5100,4858,0,1589,136,9657,5309,5258,3983,75.02%,1371,4178,1131,0,0,0
DE-500,1026,955,536,52.24%,644,382,0,192,446,578,2,51,12,644,573,311,48.29%,0,309,88,236,406,2,10,2,382,382,225,58.90%,104,210,172,0,41,10,0,0,0,.,0,0,0,0,0,0,169,169,169,100.00%,35,118,51,0,25,0,670,670,670,100.00%,64,228,442,0,0,0,666,19,19,19,100.00%,0,0,19,0,0,0
FL-500,921,848,827,89.79%,534,387,0,80,302,577,42,50,56,534,461,455,85.21%,0,136,29,136,366,32,10,32,387,387,372,96.12%,51,166,211,10,40,24,0,0,0,.,0,0,0,0,0,0,113,113,113,100.00%,12,47,66,0,18,2,404,404,390,96.53%,60,227,177,0,260,0,356,120,120,120,100.00%,0,0,120,0,0,0
