,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK-500,920,843,666,72.39%,720,200,0,74,311,598,11,0,111,720,668,502,69.72%,176,8,38,183,533,4,0,60,200,175,164,82.00%,36,128,65,7,0,51,0,0,0,.,0,0,0,0,0,0,212,184,184,86.79%,43,142,70,0,32,22,558,558,341,61.11%,55,184,374,0,217,10,311,92,92,92,100.00%,4,8,84,0,0,0
AK-501,965,504,456,47.25%,690,275,0,120,411,543,11,14,40,690,305,281,40.72%,156,31,91,314,365,11,0,11,275,199,175,63.64%,29,97,178,0,14,29,0,0,0,.,0,0,0,0,0,0,47,47,47,100.00%,9,29,18,0,9,0,405,405,137,33.83%,51,134,271,0,236,0,148,0,0,0,.,0,0,0,0,0,0
AL-500,888,767,612,68.92%,545,309,34,101,282,594,12,98,42,545,459,407,74.68%,0,40,64,182,351,12,85,16,309,274,171,55.34%,37,100,209,0,13,26,34,34,34,100.00%,0,0,34,0,0,0,235,235,235,100.00%,37,101,134,0,37,1,1823,1823,1249,68.51%,169,448,1375,0,656,0,189,32,32,32,100.00%,0,0,32,0,0,0
AL-501,396,321,321,81.06%,274,122,0,66,214,182,0,38,0,274,221,221,80.66%,0,12,44,135,139,0,0,0,122,100,100,81.97%,22,79,43,0,38,0,0,0,0,.,0,0,0,0,0,0,114,114,114,100.00%,28,88,26,0,17,0,247,247,197,79.76%,8,33,214,0,50,0,102,0,0,0,.,0,0,0,0,0,0
AL-502,285,95,0,0.00%,118,167,0,77,109,160,16,4,16,118,40,0,0.00%,30,0,32,47,71,0,4,0,167,55,0,0.00%,45,62,89,16,0,16,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,42,42,0,0.00%,0,0,42,0,0,0,0,8,8,0,0.00%,0,0,8,0,0,0
AL-503,572,517,189,33.04%,530,42,0,51,213,344,15,0,22,530,480,152,28.68%,0,2,40,178,337,15,0,15,42,37,37,88.10%,11,35,7,0,0,7,0,0,0,.,0,0,0,0,0,0,13,13,13,100.00%,2,5,8,0,12,0,369,369,74,20.05%,57,146,223,0,295,0,355,0,0,0,.,0,0,0,0,0,0
AL-504,356,296,296,83.15%,226,130,0,43,126,230,0,33,0,226,220,220,97.35%,0,0,16,47,179,0,33,0,130,76,76,58.46%,27,79,51,0,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,100.00%,2,4,4,0,8,0,373,373,150,40.21%,34,114,259,0,223,0,23,0,0,0,.,0,0,0,0,0,0
AL-505,115,79,65,56.52%,98,17,0,13,29,86,0,0,0,98,71,57,58.16%,0,12,9,25,73,0,0,0,17,8,8,47.06%,4,4,13,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,50,50,50,100.00%,2,5,45,0,0,0,4,0,0,0,.,0,0,0,0,0,0
AL-506,99,83,83,83.84%,91,8,0,10,25,74,0,8,14,91,75,75,82.42%,0,0,10,25,66,0,0,14,8,8,8,100.00%,0,0,8,0,8,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,294,294,27,9.18%,37,64,230,0,267,0,267,0,0,0,.,0,0,0,0,0,0
