Housing Inventory Count,,,
Project Types,Total Year-Round Beds 2018,Total Year-Round Beds 2019,Difference
ES,3682,4212,530
TH,969,985,16
PSH,1126,977,-149
RRH,960,859,-101
Total,6737,7033,296
,,,
,,,
,,,
HIC FAQ's,,,
