Housing Inventory Count,,,
Project Type,2017,2016,Difference 
ES,3455,3937,-482
TH,1262,1316,-54
RRH,883,554,329
PSH,1052,1045,7
Total,6652,6852,-200
,,,
,,,
,,,
HIC FAQ's,,,
