Housing Inventory Count,,,
Project Types,Total Year-Round Beds 2017,Total Tear-Round Beds 2018,Difference
ES,3395,3682,287
PSH,1052,1126,74
RRH,883,960,77
TH,1248,969,-279
Total,6578,6737,159
,,,
,,,
,,,
HIC FAQ's,,,
